Name,STATE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_PROPERTY_CPI,POP,DMGPOP2020
Alabama,ALABAMA,2,29,10,18,21986300.0,40960492.75832998,5024279.0,8.152511585907147
Alaska,ALASKA,55,10,24,5,4896550.0,7412383.144882307,733391.0,10.107000419806498
Arizona,ARIZONA,122,141,41,14,4162000.0,5849300.456329559,7151502.0,0.8179121611557347
Arkansas,ARKANSAS,8,19,16,26,1504492100.0,2377645004.65616,3011524.0,789.51554251474
California,CALIFORNIA,246,30,89,37,30702320.0,38977839.05733088,39538223.0,0.9858267797551468
Colorado,COLORADO,27,619,24,18,105415000.0,181453489.16152075,5773714.0,31.4275160081571
Connecticut,CONNECTICUT,53,2,7,1,37152700.0,60205919.33607961,3605944.0,16.69629903738927
Delaware,DELAWARE,101,463,10,4,15300000.0,24325897.209873285,989948.0,24.572904041296397
District of Columbia,DISTRICT OF COLUMBIA,0,0,3,0,60000.0,103211.99063245852,689545.0,0.14968129800442107
Florida,FLORIDA,2,6,8,0,6395010.0,8900277.540623583,21538187.0,0.4132324387667162
Georgia,GEORGIA,7,58,1,13,68932690.0,121819863.09166755,10711908.0,11.372377646602972
Hawaii,HAWAII,0,0,0,0,0.0,0.0,1455271.0,0.0
Idaho,IDAHO,53,47,31,17,118406000.0,157419293.0082616,1839106.0,85.59555186501572
Illinois,ILLINOIS,74,248,229,92,99795500.0,145540304.20969906,12812508.0,11.359236162794907
Indiana,INDIANA,77,178,17,75,42626200.0,63054290.09968774,6785528.0,9.292466275238676
Iowa,IOWA,33,58,25,29,211512720.0,326724834.0264704,3190369.0,102.40973192331998
Kansas,KANSAS,120,490,52,69,404342500.0,639977710.4488604,2937880.0,217.83657278338816
Kentucky,KENTUCKY,42,115,37,49,368140600.0,552395703.2529348,4505836.0,122.59560784123852
Louisiana,LOUISIANA,22,3,17,14,174436000.0,314685145.2533963,4657757.0,67.56152054591863
Maine,MAINE,3,54,6,2,337012600.0,637509071.3912731,1362359.0,467.94499202579726
Maryland,MARYLAND,184,33,17,1,17720000.0,31522937.453361366,6177224.0,5.103091203000145
Massachusetts,MASSACHUSETTS,33,60,5,8,139221200.0,235674495.7975417,7029917.0,33.52450616380559
Michigan,MICHIGAN,215,121,33,46,384936000.0,574486138.5659342,10077331.0,57.00776709288741
Minnesota,MINNESOTA,30,171,46,49,178686520.0,277726450.95490503,5706494.0,48.66849083779025
Mississippi,MISSISSIPPI,1,102,15,25,99837700.0,149816038.08197457,2961279.0,50.591665993638074
Missouri,MISSOURI,83,421,11,52,934687740.0,1438165377.2744942,6154913.0,233.6613656885961
Montana,MONTANA,53,84,32,36,27255600.0,39739439.17509847,1084225.0,36.65239150093244
Nebraska,NEBRASKA,78,72,23,51,217995450.0,367681635.35009944,1961504.0,187.44883280895652
Nevada,NEVADA,25,23,22,24,15188000.0,17298297.990300447,3104614.0,5.571803126024829
New Hampshire,NEW HAMPSHIRE,17,4,6,2,78286460.0,129681462.28306714,1377529.0,94.14064043883442
New Jersey,NEW JERSEY,521,398,23,36,174900000.0,273404712.7872864,9288994.0,29.43318865178365
New Mexico,NEW MEXICO,35,164,22,42,411985000.0,546998771.039886,2117522.0,258.3202304580004
New York,NEW YORK,452,102,84,63,526278200.0,836044467.1948012,20201249.0,41.385781007639736
North Carolina,NORTH CAROLINA,191,51,34,35,341140600.0,600348593.43086,10439388.0,57.508025703313265
North Dakota,NORTH DAKOTA,135,16,29,10,464527000.0,802902970.6329587,779094.0,1030.5598177279746
Ohio,OHIO,310,101,31,22,1293928000.0,1957670577.6918802,11799448.0,165.91204755441782
Oklahoma,OKLAHOMA,15,316,21,63,1428368500.0,2239003799.4302073,3959353.0,565.4973929907758
Oregon,OREGON,84,20,36,22,226261000.0,271024072.8372057,4237256.0,63.962166278649605
Pennsylvania,PENNSYLVANIA,420,616,63,92,180558150.0,281318784.92550224,13002700.0,21.635413023872136
Puerto Rico,PUERTO RICO,0,0,0,0,0.0,0.0,3285874.0,0.0
Rhode Island,RHODE ISLAND,2,1,0,2,12101100.0,21428235.394266464,1097379.0,19.52674089286059
South Carolina,SOUTH CAROLINA,27,4,22,7,151339500.0,265253563.98048028,5118425.0,51.823278446100176
South Dakota,SOUTH DAKOTA,115,111,37,43,231459420.0,357347741.43763286,886667.0,403.0236170260457
Tennessee,TENNESSEE,19,140,35,37,91193350.0,123893614.17619644,6910840.0,17.927432001926892
Texas,TEXAS,355,1306,166,166,793363000.0,1099769765.5685432,29145505.0,37.73376942923251
Utah,UTAH,695,669,33,11,61861200.0,113878982.78958307,3271616.0,34.80817516162749
Vermont,VERMONT,9,1,8,21,54718150.0,86750911.91920269,643077.0,134.89972727869707
Virgin Islands,VIRGIN ISLANDS,0,0,0,0,0.0,0.0,,
Virginia,VIRGINIA,25,32,19,14,46511950.0,80318538.45501795,8631393.0,9.305396991542148
Washington,WASHINGTON,66,146,30,32,92816250.0,150322878.47185922,7705281.0,19.50907156687202
West Virginia,WEST VIRGINIA,19,17,7,8,89599500.0,139529426.06414023,1793716.0,77.78791406451201
Wisconsin,WISCONSIN,334,421,96,132,12477600.0,16950962.459349755,5893718.0,2.8761068071715945
Wyoming,WYOMING,131,67,16,14,15629000.0,26198064.42295928,576851.0,45.41565226195201
