Date,Year,Month,Tmin,Tmean,Tmax
1900-01,1900,1,32.4,43.2,53.9
1900-02,1900,2,27,38.4,49.8
1900-03,1900,3,37.9,49.2,60.4
1900-04,1900,4,50,61.3,72.6
1900-05,1900,5,58,71.3,84.5
1900-06,1900,6,67.9,78.6,89.4
1900-07,1900,7,70.1,82.4,94.7
1900-08,1900,8,70.8,82.1,93.3
1900-09,1900,9,67.2,78.3,89.4
1900-10,1900,10,53.1,66.4,79.7
1900-11,1900,11,39.5,52.7,65.8
1900-12,1900,12,32.7,44.2,55.7
1901-01,1901,1,34.7,45,55.3
1901-02,1901,2,30.2,40.4,50.7
1901-03,1901,3,41,51,61.1
1901-04,1901,4,47.5,57.8,68.1
1901-05,1901,5,56.6,68.1,79.7
1901-06,1901,6,68.7,81.1,93.5
1901-07,1901,7,71.4,87,102.6
1901-08,1901,8,69.8,82.5,95.2
1901-09,1901,9,60.2,73.8,87.4
1901-10,1901,10,52,64.6,77.1
1901-11,1901,11,35,48.5,62
1901-12,1901,12,26.1,37.4,48.8
1902-01,1902,1,28.4,37.4,46.5
1902-02,1902,2,23.8,33.2,42.5
1902-03,1902,3,41.8,53.2,64.5
1902-04,1902,4,49.3,61.5,73.8
1902-05,1902,5,63,75.2,87.3
1902-06,1902,6,66.5,78.3,90.2
1902-07,1902,7,69.4,80.6,91.9
1902-08,1902,8,68.4,79.8,91.3
1902-09,1902,9,56.8,68.2,79.6
1902-10,1902,10,49.9,62.6,75.3
1902-11,1902,11,46.4,55.7,65
1902-12,1902,12,31.3,39.7,48.1
1903-01,1903,1,29.9,39,48.1
1903-02,1903,2,31.9,41.2,50.5
1903-03,1903,3,44.4,54.6,64.8
1903-04,1903,4,47.7,60.2,72.7
1903-05,1903,5,58.5,68.9,79.3
1903-06,1903,6,60,70.9,81.9
1903-07,1903,7,69.4,81,92.6
1903-08,1903,8,68.3,79.4,90.4
1903-09,1903,9,55.7,71,86.4
1903-10,1903,10,48.2,61.9,75.6
1903-11,1903,11,35,47.3,59.7
1903-12,1903,12,26,38.3,50.7
1904-01,1904,1,27.5,39.5,51.6
1904-02,1904,2,30.4,41.9,53.3
1904-03,1904,3,42.2,54.8,67.4
1904-04,1904,4,44.6,55.1,65.7
1904-05,1904,5,57.4,69.6,81.8
1904-06,1904,6,66.4,77.8,89.3
1904-07,1904,7,68.6,79.6,90.6
1904-08,1904,8,68.7,80,91.2
1904-09,1904,9,63.7,76.1,88.5
1904-10,1904,10,46.3,61,75.7
1904-11,1904,11,35.6,49.8,64
1904-12,1904,12,31.7,41.3,50.9
1905-01,1905,1,21.2,32.2,43.2
1905-02,1905,2,20.9,30.7,40.5
1905-03,1905,3,43.4,55.5,67.7
1905-04,1905,4,48.9,59.9,70.9
1905-05,1905,5,62.5,71.8,81.1
1905-06,1905,6,68.4,78.8,89.3
