Band Value,landcover Count,Percent,,,Crops,Forests,Urban,,
10,575527.22,0.376180144,,,31.97322412,36.57735005,5.303566103,,
11,2859595.08,1.869108621,open water,,,,,,
20,1451880.74,0.948988487,,,,,,,
21,4221762.25,2.759457894,dev open,,,,,,
22,2700397.33,1.76505267,dev low,,,,,,
23,857667.1,0.560594394,dev med,,,,,,
24,334229.06,0.218461146,dev high,,,,,,
30,104240.77,0.068134584,,,,,,,
31,244963.05,0.160114469,barren land,,,,,,
40,8733853.85,5.708682897,,,,,,,
41,24559742.62,16.05291147,deciduous,,,,,,
42,22646508.77,14.80237012,evergreen,,,,,,
43,8754332.75,5.72206846,mixed forest,,,,,,
51,683282.06,0.446611619,,,,,,,
52,3047770.02,1.992104847,scrub/shrub,,,,,,
70,643713.58,0.420748591,,,,,,,
71,3030681.39,1.980935257,grassland/herbaceous,,,,,,
80,2345615.58,1.53315773,,,,,,,
81,39902838.42,26.08157351,pasture/hay,,,,,,
82,9013780.63,5.891650605,cultivated crops,,,,,,
89,2029326.37,1.326422555,,,,,,,
90,13399534.14,8.758297619,woody wetlands,,,,,,
94,290172.45,0.189664555,,,,,,,
95,561035.17,0.366707748,emergent herbaceous wetlands,,,,,,
,,100,,,,,,,
