Date,Year,Month,Precip
1900-01,1900,1,2.7
1900-02,1900,2,4.61
1900-03,1900,3,1.94
1900-04,1900,4,4.48
1900-05,1900,5,3.82
1900-06,1900,6,5.93
1900-07,1900,7,3.84
1900-08,1900,8,3.72
1900-09,1900,9,3.54
1900-10,1900,10,3.12
1900-11,1900,11,4.78
1900-12,1900,12,3.27
1901-01,1901,1,2.02
1901-02,1901,2,1.96
1901-03,1901,3,4.42
1901-04,1901,4,4.33
1901-05,1901,5,2.62
1901-06,1901,6,1.28
1901-07,1901,7,2.61
1901-08,1901,8,2.54
1901-09,1901,9,3.38
1901-10,1901,10,1.87
1901-11,1901,11,2.92
1901-12,1901,12,4.51
1902-01,1902,1,6.31
1902-02,1902,2,2.28
1902-03,1902,3,5.45
1902-04,1902,4,3.09
1902-05,1902,5,4.36
1902-06,1902,6,4.3
1902-07,1902,7,6.07
1902-08,1902,8,1.4
1902-09,1902,9,5.52
1902-10,1902,10,2.32
1902-11,1902,11,7.17
1902-12,1902,12,6.03
1903-01,1903,1,2.52
1903-02,1903,2,6.83
1903-03,1903,3,5.26
1903-04,1903,4,1.74
1903-05,1903,5,5.89
1903-06,1903,6,1.27
1903-07,1903,7,5.32
1903-08,1903,8,4.32
1903-09,1903,9,2.12
1903-10,1903,10,2
1903-11,1903,11,0.63
1903-12,1903,12,3.02
1904-01,1904,1,3.02
1904-02,1904,2,2.88
1904-03,1904,3,5.57
1904-04,1904,4,3.72
1904-05,1904,5,3.04
1904-06,1904,6,7.45
1904-07,1904,7,4.09
1904-08,1904,8,2.32
1904-09,1904,9,1.31
1904-10,1904,10,0.68
1904-11,1904,11,1.49
1904-12,1904,12,6.06
1905-01,1905,1,4.16
1905-02,1905,2,1.99
1905-03,1905,3,4.43
1905-04,1905,4,7.69
1905-05,1905,5,8.09
1905-06,1905,6,6.5
1905-07,1905,7,6.65
1905-08,1905,8,3.91
1905-09,1905,9,4.06
1905-10,1905,10,4.08
1905-11,1905,11,5.45
1905-12,1905,12,5.61
1906-01,1906,1,4.95
1906-02,1906,2,2.07
1906-03,1906,3,4.47
1906-04,1906,4,1.91
1906-05,1906,5,5.24
1906-06,1906,6,4.48
1906-07,1906,7,6.44
1906-08,1906,8,3.95
1906-09,1906,9,4.89
1906-10,1906,10,3.02
1906-11,1906,11,5.55
1906-12,1906,12,5.59
1907-01,1907,1,7.29
1907-02,1907,2,3.61
1907-03,1907,3,3.12
1907-04,1907,4,5.75
1907-05,1907,5,10.04
1907-06,1907,6,2.78
1907-07,1907,7,2.09
1907-08,1907,8,2.14
1907-09,1907,9,1.51
1907-10,1907,10,3.12
1907-11,1907,11,8.52
1907-12,1907,12,2.73
1908-01,1908,1,4.59
1908-02,1908,2,3.87
1908-03,1908,3,4.21
1908-04,1908,4,4.8
1908-05,1908,5,5.17
1908-06,1908,6,2.4
1908-07,1908,7,3.07
1908-08,1908,8,4.67
1908-09,1908,9,3.71
1908-10,1908,10,0.41
1908-11,1908,11,5.28
1908-12,1908,12,1.54
1909-01,1909,1,1.85
1909-02,1909,2,5.27
1909-03,1909,3,3.69
1909-04,1909,4,4.79
1909-05,1909,5,5.7
1909-06,1909,6,2.91
1909-07,1909,7,1.61
1909-08,1909,8,1.46
1909-09,1909,9,3.14
1909-10,1909,10,1.25
1909-11,1909,11,3.39
1909-12,1909,12,5.84
1910-01,1910,1,2.61
1910-02,1910,2,4.24
1910-03,1910,3,0.99
1910-04,1910,4,5.83
1910-05,1910,5,7.04
1910-06,1910,6,6.17
1910-07,1910,7,5.68
1910-08,1910,8,3.62
1910-09,1910,9,2.54
1910-10,1910,10,6
1910-11,1910,11,0.29
1910-12,1910,12,4.87
1911-01,1911,1,0.94
1911-02,1911,2,4.12
1911-03,1911,3,2.22
1911-04,1911,4,10.97
1911-05,1911,5,0.91
1911-06,1911,6,2.9
1911-07,1911,7,3.86
1911-08,1911,8,9
1911-09,1911,9,4.71
1911-10,1911,10,0.91
1911-11,1911,11,4.01
1911-12,1911,12,7.23
1912-01,1912,1,3.5
1912-02,1912,2,2.81
1912-03,1912,3,9.38
1912-04,1912,4,10.4
1912-05,1912,5,2.08
1912-06,1912,6,4.19
1912-07,1912,7,2.47
1912-08,1912,8,4.47
1912-09,1912,9,2.4
1912-10,1912,10,3.59
1912-11,1912,11,1.22
1912-12,1912,12,2.7
1913-01,1913,1,10.32
1913-02,1913,2,3.8
1913-03,1913,3,4.69
1913-04,1913,4,9.22
1913-05,1913,5,2.7
1913-06,1913,6,1.73
1913-07,1913,7,3.98
1913-08,1913,8,2.19
1913-09,1913,9,10.5
1913-10,1913,10,5.06
1913-11,1913,11,3.09
1913-12,1913,12,2.85
1914-01,1914,1,1.4
1914-02,1914,2,3.02
1914-03,1914,3,4.75
1914-04,1914,4,4.91
1914-05,1914,5,2.46
1914-06,1914,6,0.3
1914-07,1914,7,3.03
1914-08,1914,8,5.88
1914-09,1914,9,3.06
1914-10,1914,10,1.51
1914-11,1914,11,2.6
1914-12,1914,12,7.03
1915-01,1915,1,4.41
1915-02,1915,2,3.08
1915-03,1915,3,3.41
1915-04,1915,4,2.67
1915-05,1915,5,4.48
1915-06,1915,6,4.18
