Date,Year,Month,Tmin,Tmean,Tmax
1900-01,1900,1,35.5,44.3,53.1
1900-02,1900,2,30.3,40.8,51.3
1900-03,1900,3,42.3,52.5,62.6
1900-04,1900,4,52.8,63.2,73.5
1900-05,1900,5,59.8,70.2,80.7
1900-06,1900,6,68.5,76.9,85.2
1900-07,1900,7,71.3,80.1,88.9
1900-08,1900,8,71.1,81.2,91.4
1900-09,1900,9,69.6,78.5,87.4
1900-10,1900,10,57,66.7,76.3
1900-11,1900,11,43.2,53,62.7
1900-12,1900,12,36.3,46.1,55.8
1901-01,1901,1,37.6,46.9,56.2
1901-02,1901,2,32.8,41.6,50.4
1901-03,1901,3,41.7,52,62.4
1901-04,1901,4,48.7,59.1,69.5
1901-05,1901,5,58.9,68.9,78.9
1901-06,1901,6,69,79.6,90.2
1901-07,1901,7,71.9,84.1,96.3
1901-08,1901,8,70.7,81.3,92
1901-09,1901,9,62.3,72.9,83.5
1901-10,1901,10,53.1,64.7,76.2
1901-11,1901,11,41.3,51.9,62.5
1901-12,1901,12,30.6,39.7,48.8
1902-01,1902,1,30.5,39,47.5
1902-02,1902,2,29.3,36.2,43
1902-03,1902,3,45,54.1,63.2
1902-04,1902,4,52.9,62.4,72
1902-05,1902,5,65.5,74.5,83.6
1902-06,1902,6,69.1,78.8,88.4
1902-07,1902,7,71.7,80.7,89.7
1902-08,1902,8,71.8,81.7,91.6
1902-09,1902,9,60.1,69.8,79.5
1902-10,1902,10,53.1,63.8,74.4
1902-11,1902,11,50.3,57.8,65.4
1902-12,1902,12,34.5,41.7,48.9
1903-01,1903,1,34,42.2,50.4
1903-02,1903,2,34.4,42.5,50.6
1903-03,1903,3,48.4,56.4,64.3
1903-04,1903,4,51.6,61.7,71.8
1903-05,1903,5,60.5,68.7,76.8
1903-06,1903,6,62.8,71.7,80.6
1903-07,1903,7,71.3,80.2,89.2
1903-08,1903,8,70.2,79.5,88.7
1903-09,1903,9,60.9,71.5,82
1903-10,1903,10,51.6,62.4,73.1
1903-11,1903,11,38.2,48.8,59.4
1903-12,1903,12,31,41.4,51.8
1904-01,1904,1,30.5,41,51.5
1904-02,1904,2,36,45.6,55.3
1904-03,1904,3,45.2,56.2,67.2
1904-04,1904,4,48.1,57.8,67.6
1904-05,1904,5,58.3,68.4,78.5
1904-06,1904,6,67.4,76.5,85.7
1904-07,1904,7,69.1,78.7,88.3
1904-08,1904,8,69.4,79.1,88.8
1904-09,1904,9,66.4,76.2,86
1904-10,1904,10,52.1,63.8,75.4
1904-11,1904,11,42.1,52.8,63.6
1904-12,1904,12,34.4,44,53.5
1905-01,1905,1,25.8,34.4,42.9
1905-02,1905,2,25.1,33.5,41.9
1905-03,1905,3,48.3,58.7,69.1
1905-04,1905,4,54,62.3,70.6
1905-05,1905,5,64,72,79.9
1905-06,1905,6,70.2,78.8,87.4
1905-07,1905,7,69.6,77.5,85.4
1905-08,1905,8,71.1,80.4,89.6
1905-09,1905,9,66.1,75.2,84.4
1905-10,1905,10,53.1,62.5,71.9
1905-11,1905,11,44.4,54.7,65
1905-12,1905,12,32.4,39.8,47.2
1906-01,1906,1,35.3,44.8,54.3
1906-02,1906,2,32.2,42.6,53
1906-03,1906,3,38,46.1,54.2
1906-04,1906,4,54.2,64.9,75.5
1906-05,1906,5,59.4,69.5,79.7
1906-06,1906,6,67.6,77.7,87.8
1906-07,1906,7,68.6,77.6,86.6
1906-08,1906,8,69.7,79,88.3
1906-09,1906,9,68.2,76.8,85.3
1906-10,1906,10,49.6,59.3,68.9
1906-11,1906,11,41.2,51.3,61.4
1906-12,1906,12,40.3,47.8,55.4
1907-01,1907,1,41.5,50.4,59.4
1907-02,1907,2,35.6,45.8,55.9
1907-03,1907,3,53.1,62.9,72.7
1907-04,1907,4,47,55.7,64.4
1907-05,1907,5,55.3,64.4,73.6
1907-06,1907,6,67,76.5,85.9
1907-07,1907,7,72.2,82.6,92.9
1907-08,1907,8,72.3,82.7,93.2
1907-09,1907,9,63.6,74.9,86.1
1907-10,1907,10,52.6,63.2,73.7
1907-11,1907,11,40.6,50.3,60
1907-12,1907,12,38.3,46,53.7
1908-01,1908,1,35,43.4,51.9
1908-02,1908,2,36.9,45.8,54.8
1908-03,1908,3,50.7,60.7,70.7
1908-04,1908,4,54.5,64,73.6
1908-05,1908,5,61.8,70.6,79.4
1908-06,1908,6,68.6,77.2,85.8
1908-07,1908,7,70.9,80.3,89.8
1908-08,1908,8,71.2,80.2,89.3
1908-09,1908,9,64.9,74.6,84.4
1908-10,1908,10,48.6,60.4,72.1
1908-11,1908,11,44.4,55,65.7
1908-12,1908,12,38.5,47.4,56.4
1909-01,1909,1,36.5,44.1,51.6
1909-02,1909,2,38.3,49.1,59.9
1909-03,1909,3,44.6,54.1,63.5
1909-04,1909,4,51.6,61.6,71.6
1909-05,1909,5,58.4,67.6,76.8
1909-06,1909,6,69.2,78,86.8
1909-07,1909,7,72.6,82.6,92.7
1909-08,1909,8,72.8,83.2,93.6
1909-09,1909,9,64,75,86.1
1909-10,1909,10,52.5,64.1,75.6
1909-11,1909,11,50.3,60.2,70
1909-12,1909,12,28.2,37,45.7
1910-01,1910,1,34.2,43.8,53.5
1910-02,1910,2,30.3,40.3,50.3
1910-03,1910,3,49.9,61.8,73.7
1910-04,1910,4,50.3,60.3,70.3
1910-05,1910,5,57.7,66.9,76.1
1910-06,1910,6,65.6,74.9,84.2
1910-07,1910,7,71.1,79.4,87.8
1910-08,1910,8,70.9,79.4,88
1910-09,1910,9,66.9,77.1,87.4
1910-10,1910,10,53.5,64.1,74.7
1910-11,1910,11,41.8,52.6,63.3
1910-12,1910,12,33.7,42.2,50.7
1911-01,1911,1,39.6,48.4,57.1
1911-02,1911,2,42,50.9,59.9
1911-03,1911,3,45.7,57.1,68.4
1911-04,1911,4,51.1,60.8,70.5
1911-05,1911,5,60.9,72.1,83.3
1911-06,1911,6,70.9,81.8,92.7
1911-07,1911,7,70.5,78.8,87.1
1911-08,1911,8,70.8,78.8,86.8
1911-09,1911,9,70.1,79.7,89.3
1911-10,1911,10,54.1,63.4,72.8
1911-11,1911,11,36.7,47.3,57.9
1911-12,1911,12,36.6,44.2,51.7
1912-01,1912,1,25.1,35.2,45.2
1912-02,1912,2,28.8,38.9,49.1
1912-03,1912,3,38.8,46.6,54.5
1912-04,1912,4,54,62.7,71.4
1912-05,1912,5,60.7,70.6,80.4
1912-06,1912,6,65.4,74.1,82.8
1912-07,1912,7,72.7,82.3,91.8
1912-08,1912,8,69.9,79.4,88.9
1912-09,1912,9,64.5,75.2,85.9
1912-10,1912,10,53.8,64.8,75.7
1912-11,1912,11,41,51.7,62.3
1912-12,1912,12,33.5,42.9,52.3
1913-01,1913,1,35.9,45.2,54.4
1913-02,1913,2,33.8,42.4,50.9
1913-03,1913,3,41,51.3,61.6
1913-04,1913,4,51.4,61.8,72.2
1913-05,1913,5,60.1,70.1,80
1913-06,1913,6,67.4,78.4,89.4
1913-07,1913,7,72.4,81.9,91.4
1913-08,1913,8,71.3,82.3,93.3
1913-09,1913,9,63.4,72.1,80.7
1913-10,1913,10,51.9,61,70.2
1913-11,1913,11,49.5,58.2,66.8
1913-12,1913,12,38.5,44.9,51.2
1914-01,1914,1,37.2,47.1,57.1
1914-02,1914,2,31.9,41.7,51.4
1914-03,1914,3,41.2,51.1,61.1
1914-04,1914,4,52.1,61.8,71.5
1914-05,1914,5,60.8,70.6,80.4
1914-06,1914,6,73,84,94.9
1914-07,1914,7,73.3,83.2,93
1914-08,1914,8,70.8,78.8,86.7
1914-09,1914,9,66,75,84
1914-10,1914,10,54.2,63.5,72.8
1914-11,1914,11,43,53.7,64.5
1914-12,1914,12,31.1,37,42.9
1915-01,1915,1,31.8,40,48.3
1915-02,1915,2,38.4,46.5,54.5
1915-03,1915,3,35.3,43.4,51.5
1915-04,1915,4,55.3,65.3,75.3
1915-05,1915,5,60.6,70.6,80.6
1915-06,1915,6,67.4,76.4,85.5
1915-07,1915,7,70.1,80,89.9
1915-08,1915,8,68,75.8,83.6
1915-09,1915,9,67.2,76.2,85.1
1915-10,1915,10,54.5,65.2,76
1915-11,1915,11,45.4,55.5,65.5
1915-12,1915,12,37,45.9,54.9
1916-01,1916,1,36.3,45.4,54.4
1916-02,1916,2,34.3,44,53.6
1916-03,1916,3,43.4,54.8,66.1
1916-04,1916,4,51,60.7,70.4
1916-05,1916,5,62.2,72.4,82.6
1916-06,1916,6,67.4,76.5,85.7
1916-07,1916,7,74.1,83.6,93.2
1916-08,1916,8,71.6,81.7,91.8
1916-09,1916,9,63.1,73.1,83
1916-10,1916,10,51.4,63.4,75.4
1916-11,1916,11,41.8,53.3,64.8
1916-12,1916,12,33.5,43.3,53.1
1917-01,1917,1,35.5,44.9,54.4
1917-02,1917,2,33.4,44.8,56.3
1917-03,1917,3,44.2,54,63.9
1917-04,1917,4,51,61.1,71.3
1917-05,1917,5,54.2,64.2,74.2
1917-06,1917,6,66.1,76.4,86.7
1917-07,1917,7,70.7,80.4,90
1917-08,1917,8,68.9,78.2,87.4
1917-09,1917,9,62.8,72.8,82.7
1917-10,1917,10,44.5,57.9,71.4
1917-11,1917,11,41.2,52.5,63.8
1917-12,1917,12,26.9,35.5,44.1
1918-01,1918,1,19.9,28.5,37.2
1918-02,1918,2,37.2,48,58.9
1918-03,1918,3,47.9,58.7,69.6
1918-04,1918,4,50.6,60.7,70.7
1918-05,1918,5,64.5,74,83.6
1918-06,1918,6,70.7,80.9,91.1
1918-07,1918,7,69.5,80.5,91.4
1918-08,1918,8,72.7,83.3,94
1918-09,1918,9,58.8,69.1,79.5
1918-10,1918,10,58.1,66.6,75.1
1918-11,1918,11,42.6,50.9,59.2
1918-12,1918,12,40.7,49.4,58.2
1919-01,1919,1,33.9,43.1,52.2
1919-02,1919,2,35.7,45.3,54.9
1919-03,1919,3,44,54,64
1919-04,1919,4,51,61.8,72.5
1919-05,1919,5,59,67.3,75.6
1919-06,1919,6,69,77.5,86.1
1919-07,1919,7,72.5,82.3,92.1
1919-08,1919,8,72,81.4,90.8
1919-09,1919,9,65.9,75.5,85.1
1919-10,1919,10,59.9,67,74.1
1919-11,1919,11,42.5,52.7,62.8
1919-12,1919,12,31,40.6,50.3
1920-01,1920,1,32.6,40.7,48.8
1920-02,1920,2,37.1,45.7,54.4
1920-03,1920,3,43,52.9,62.8
1920-04,1920,4,50.5,60.4,70.3
1920-05,1920,5,62.8,71.2,79.6
1920-06,1920,6,66,75.4,84.9
1920-07,1920,7,71.2,80.5,89.8
1920-08,1920,8,68.9,77.5,86.1
1920-09,1920,9,66.3,75.5,84.7
1920-10,1920,10,55.3,65.4,75.4
1920-11,1920,11,38.9,48.6,58.2
1920-12,1920,12,36.2,44.4,52.6
1921-01,1921,1,38.7,47.2,55.8
1921-02,1921,2,39.4,49,58.6
1921-03,1921,3,51.9,61.4,71
1921-04,1921,4,50.1,60.3,70.5
1921-05,1921,5,60.5,70.7,80.8
1921-06,1921,6,70.4,79.2,88
1921-07,1921,7,72.8,82.5,92.2
1921-08,1921,8,72.6,82,91.4
1921-09,1921,9,70.7,80.1,89.5
1921-10,1921,10,50.1,62.8,75.5
1921-11,1921,11,45.4,56,66.7
