Date,Value,Anomaly
190001,32.1,3
190002,27.9,-4.4
190003,38.9,-1
190004,49.7,0.8
190005,57.5,0.1
190006,66.8,1.4
190007,69.2,0.3
190008,69.2,1.5
190009,66.9,6
190010,54.1,5.1
190011,38.8,0.3
190012,32.4,0.9
190101,33.2,4.1
190102,29.6,-2.7
190103,38.3,-1.6
190104,45.8,-3.1
190105,55.5,-1.9
190106,66.2,0.8
190107,69.9,1
190108,68.1,0.4
190109,58.9,-2
190110,49,0
190111,36.5,-2
190112,27.6,-3.9
190201,26.2,-2.9
190202,25.5,-6.8
190203,40.7,0.8
190204,49.2,0.3
190205,62.3,4.9
190206,66,0.6
190207,68.8,-0.1
190208,69.3,1.6
190209,56.3,-4.6
190210,48.4,-0.6
190211,45.9,7.4
190212,30.7,-0.8
190301,29.2,0.1
190302,30.7,-1.6
190303,44.2,4.3
190304,47.9,-1
190305,57.8,0.4
190306,59,-6.4
190307,68.4,-0.5
190308,67.9,0.2
190309,57,-3.9
190310,46.8,-2.2
190311,33.6,-4.9
190312,26.3,-5.2
190401,25.3,-3.8
190402,33.1,0.8
190403,42.1,2.2
190404,44.9,-4
190405,55.2,-2.2
190406,64.7,-0.7
190407,66.8,-2.1
190408,66.6,-1.1
190409,62.8,1.9
190410,47.8,-1.2
190411,36.4,-2.1
190412,30.6,-0.9
190501,22.5,-6.6
190502,21.7,-10.6
190503,44.4,4.5
190504,50.4,1.5
190505,61.3,3.9
190506,67.9,2.5
190507,67.3,-1.6
190508,68.1,0.4
190509,62.4,1.5
190510,48.9,-0.1
190511,39.9,1.4
190512,28.3,-3.2
190601,30.7,1.6
190602,28.7,-3.6
190603,34.5,-5.4
190604,50.5,1.6
190605,56.9,-0.5
190606,64.7,-0.7
190607,65.9,-3
190608,66.9,-0.8
190609,65.3,4.4
190610,45.9,-3.1
190611,36.8,-1.7
190612,36.5,5
190701,38.3,9.2
190702,32.2,-0.1
190703,49.6,9.7
190704,43.9,-5
190705,53.2,-4.2
190706,63.8,-1.6
190707,69.2,0.3
190708,70.1,2.4
190709,60.3,-0.6
190710,48.2,-0.8
190711,35.8,-2.7
190712,34.1,2.6
190801,30.3,1.2
190802,33.1,0.8
190803,47,7.1
190804,52.3,3.4
190805,59.6,2.2
190806,65.9,0.5
190807,67.8,-1.1
190808,68.3,0.6
190809,61.5,0.6
190810,44,-5
190811,40.5,2
190812,34.5,3
190901,33.6,4.5
190902,34.2,1.9
190903,40.7,0.8
190904,48.3,-0.6
190905,55.4,-2
190906,66.1,0.7
190907,70.2,1.3
190908,69,1.3
190909,60.3,-0.6
190910,47.5,-1.5
190911,46.1,7.6
190912,24.6,-6.9
191001,29.6,0.5
191002,26.5,-5.8
191003,45.3,5.4
191004,47.4,-1.5
191005,54.8,-2.6
191006,62.8,-2.6
191007,69.2,0.3
191008,68.5,0.8
191009,63.7,2.8
191010,49.6,0.6
191011,37,-1.5
191012,28.8,-2.7
191101,36,6.9
191102,38.7,6.4
191103,42.6,2.7
191104,48.6,-0.3
191105,57,-0.4
191106,67.3,1.9
191107,67.8,-1.1
191108,68.4,0.7
191109,67.3,6.4
191110,51.2,2.2
191111,33.3,-5.2
191112,32.8,1.3
191201,21.8,-7.3
191202,25.8,-6.5
191203,35.8,-4.1
191204,50.7,1.8
191205,58,0.6
191206,62,-3.4
191207,70,1.1
191208,67.1,-0.6
191209,60.8,-0.1
191210,49.4,0.4
191211,35.7,-2.8
191212,29.4,-2.1
191301,31.5,2.4
191302,30.2,-2.1
191303,36.3,-3.6
191304,48.3,-0.6
191305,56.9,-0.5
191306,63.8,-1.6
191307,70,1.1
191308,68.1,0.4
191309,60.8,-0.1
191310,48.2,-0.8
191311,45.6,7.1
191312,34.9,3.4
191401,33.5,4.4
191402,28,-4.3
191403,37.5,-2.4
191404,48.8,-0.1
191405,57.3,-0.1
191406,69.2,3.8
191407,70.6,1.7
191408,68.5,0.8
191409,62.6,1.7
191410,51.3,2.3
191411,38,-0.5
191412,28.3,-3.2
191501,28.1,-1
191502,35.5,3.2
191503,32.4,-7.5
191504,51.4,2.5
191505,58.2,0.8
191506,65.1,-0.3
191507,66.8,-2.1
191508,65.1,-2.6
191509,62.9,2
191510,48.9,-0.1
191511,40.8,2.3
191512,32.9,1.4
191601,32.6,3.5
191602,30.7,-1.6
191603,40,0.1
191604,47.7,-1.2
191605,59.3,1.9
191606,64.1,-1.3
191607,70,1.1
191608,69.1,1.4
191609,59.1,-1.8
191610,47.3,-1.7
191611,37,-1.5
191612,29.3,-2.2
191701,31.6,2.5
191702,29.6,-2.7
191703,40.3,0.4
191704,47.7,-1.2
191705,51.3,-6.1
191706,62.7,-2.7
191707,67.8,-1.1
191708,65.5,-2.2
191709,59,-1.9
191710,40.2,-8.8
191711,35.6,-2.9
191712,23.9,-7.6
