Date,Year,Month,Precip
1900-01,1900,1,2.78
1900-02,1900,2,4.9
1900-03,1900,3,2.13
1900-04,1900,4,4.44
1900-05,1900,5,3.65
1900-06,1900,6,6.37
1900-07,1900,7,4.18
1900-08,1900,8,3.86
1900-09,1900,9,3.97
1900-10,1900,10,3.9
1900-11,1900,11,4.43
1900-12,1900,12,2.64
1901-01,1901,1,1.76
1901-02,1901,2,2.47
1901-03,1901,3,4.96
1901-04,1901,4,3.63
1901-05,1901,5,1.51
1901-06,1901,6,1.12
1901-07,1901,7,2.31
1901-08,1901,8,2.36
1901-09,1901,9,2.06
1901-10,1901,10,1.83
1901-11,1901,11,3.06
1901-12,1901,12,5.04
1902-01,1902,1,4.87
1902-02,1902,2,2.3
1902-03,1902,3,5.52
1902-04,1902,4,3.07
1902-05,1902,5,3.91
1902-06,1902,6,4.74
1902-07,1902,7,3.68
1902-08,1902,8,3.06
1902-09,1902,9,4.53
1902-10,1902,10,2.17
1902-11,1902,11,6.85
1902-12,1902,12,5.97
1903-01,1903,1,2.6
1903-02,1903,2,7.36
1903-03,1903,3,5.4
1903-04,1903,4,1.94
1903-05,1903,5,7.31
1903-06,1903,6,1.91
1903-07,1903,7,3.92
1903-08,1903,8,4.48
1903-09,1903,9,3.37
1903-10,1903,10,2.96
1903-11,1903,11,0.67
1903-12,1903,12,3
1904-01,1904,1,4.12
1904-02,1904,2,2.53
1904-03,1904,3,5.94
1904-04,1904,4,3.66
1904-05,1904,5,3.55
1904-06,1904,6,5.95
1904-07,1904,7,3.49
1904-08,1904,8,2.89
1904-09,1904,9,2.67
1904-10,1904,10,0.62
1904-11,1904,11,0.68
1904-12,1904,12,3.54
1905-01,1905,1,4.43
1905-02,1905,2,1.84
1905-03,1905,3,4.42
1905-04,1905,4,5.97
1905-05,1905,5,7.87
1905-06,1905,6,4.9
1905-07,1905,7,8.01
1905-08,1905,8,3.3
1905-09,1905,9,4.68
1905-10,1905,10,4.59
1905-11,1905,11,4.28
1905-12,1905,12,4.8
1906-01,1906,1,5.73
1906-02,1906,2,2.49
1906-03,1906,3,6.26
