Band Value,landcover Count
10,575527.22
11,2859595.08
12,
13,
14,
15,
16,
17,
18,
19,
20,1451880.74
21,4221762.25
22,2700397.33
23,857667.10
24,334229.06
25,
26,
27,
28,
29,
30,104240.77
31,244963.05
32,
33,
34,
35,
36,
37,
38,
39,
40,8733853.85
41,24559742.62
42,22646508.77
43,8754332.75
44,
45,
46,
47,
48,
49,
50,
51,683282.06
52,3047770.02
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,643713.58
71,3030681.39
72,
73,
74,
75,
76,
77,
78,
79,
80,2345615.58
81,39902838.42
82,9013780.63
83,
84,
85,
86,
87,
88,
89,2029326.37
90,13399534.14
91,
92,
93,
94,290172.45
95,561035.17
