COUNTY,Ag,AGPER,For,FORPER,Urb,URBPER,Wat,WATPER,Total
Phillips,1500639.403784,71.69326596574919,66715.941176,3.187363801607009,84122.478434,4.018963652999518,98077.97647,4.685689603188849,2093138.5724580002
Calhoun,42908.47059,2.3577703919055155,867300.65095,47.657158774772604,94271.67058800001,5.180118299524236,11873.56863,0.6524387417480343,1819874.8587779999
Union,48309.26667,1.5908967930681246,1541654.8906699999,50.76901370369515,192115.952931,6.326667210722839,37773.61569,1.2439419640606357,3036605.9495809996
Columbia,74843.88627725,3.3919340574686396,1452721.7101999999,65.8375251466501,109820.84314000001,4.977094009877947,15203.97255,0.6890458909379097,2206525.3925692504
Ouachita,50348.203921,2.3650784820440607,1073017.58047,50.40439564451048,130191.93334,6.115692638436288,26749.65882,1.2565501358592568,2128817.470678
Clark,268345.84318,10.562445727162457,1479759.6036999999,58.245286448668864,116848.63137799999,4.599315989387099,52718.8549,2.0750835454748877,2540565.415545
Nevada,203586.0118,11.398625331646354,1009576.66671,56.52542660300639,74750.45882800002,4.18522110637971,6138.752941,0.34370408929048607,1786057.580424
Hempstead,550239.2274730001,25.797459153028136,974331.349,45.68062748411676,112354.584323,5.267641154992487,38560.19216,1.8078590774943024,2132920.239195
Miller,697242.9529,37.99702628893896,528993.6431,28.828093966315215,139225.470597,7.587246087409122,41562.47059,2.264992827927487,1834993.4744840001
Little River,502006.4667,30.88816039450511,534097.26672,32.862688301927676,69838.239214,4.297105470955975,83967.85098,5.166492109357809,1625239.121684
Newton,207044.1294,8.739837382016663,2011767.47453,84.92160888007554,102035.333334,4.307160136070123,2002.141176,0.0845152593545577,2368970.0431500003
Pope,511357.37649,21.38892456463427,1536032.4078,64.24876771071715,157768.372553,6.599094829498806,56898.18431,2.3799225903902577,2390757.7725319997
Yell,559196.53336,20.47886817545295,1740167.3177,63.72832264943183,110160.141174,4.034279318107454,52784.66275,1.9330773451828325,2730602.729453
Baxter,254789.1176,15.09020510208974,1131711.55295,67.0270363635813,140946.47450600003,8.347731758508996,104498.8235,6.189073907064214,1688440.3881609002
Boone,678590.8431,39.170218907716915,825914.9293800001,47.67418970049193,119028.28627,6.870655678327846,35041.6902,2.0227073353362766,1732415.2430670003
Independence,892730.5020000001,40.20905752484873,1047961.03919,47.20072363853314,127471.69412200002,5.7413930298770275,27509.72157,1.239052518786573,2220222.400011
Mississippi,2207166.8746863,83.38400458871683,593.7019608,0.022429317688411516,173403.57254,6.550970139233487,62759.67059,2.3709818774834117,2646990.7335020993
Washington,924887.2275,33.745254010796295,1413984.10943,51.59034693226416,324886.82746999996,11.853757076277605,20259.50588,0.739184358618274,2740792.0153871
Benton,895163.4824,35.191352770360425,1067324.56084,41.95948101042695,413044.12161000003,16.23790701820207,109187.3333,4.292456115293406,2543702.9608988
