COUNTY,FIPS,DMG,DMGCPI,County_low,POP2010,PNW2010,MICPI2010,MGRCP2010,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2010,PCP2010,DMGPOP2010
BAXTER,5,50000000.0,73187471.43303904,Baxter,41513.0,3.0881892419242165,51256.85015472845,842.1405757601568,15.09020510208974,67.0270363635813,8.347731758508996,6.189073907064214,233.80383525972672,288.4229892384974,0.0886381512054113,1204.4419820297255
BENTON,1,30000000.0,43912482.85982343,Benton,221339.0,17.404072486095988,72602.59452630384,1029.2829259290804,35.191352770360425,41.95948101042695,16.23790701820207,4.292456115293406,379.1474870813488,288.02610026076195,0.0882666214870156,135.53869855741644
BOONE,3,50000000.0,73187471.43303904,Boone,36903.0,3.465842885402271,53230.48217074071,765.8440791528263,39.17021890771692,47.67418970049193,6.870655678327846,2.022707335336277,362.20460615310384,287.8861193024209,0.0864312152366143,1354.9033953879089
CALHOUN,67,0.0,0.0,Calhoun,5368.0,25.46572280178837,46713.609715242885,754.3276268347387,2.3577703919055155,47.65715877477261,5.180118299524236,0.6524387417480343,55.8995515393185,291.36828302080903,0.1069052747220473,0.0
CARROLL,2,17000000.0,24883740.287233274,Carroll,27446.0,10.39495737083728,49283.21813871618,800.3934361070892,36.957747967043325,52.1664108383694,6.224720276597877,1.4914932951800342,413.07988549351353,287.80993497660234,0.0825763675534488,619.3980907964731
CLARK,53,0.0,0.0,Clark,22995.0,28.16699282452707,46019.743463078106,814.7890015046987,10.562445727162457,58.245286448668864,4.599315989387099,2.075083545474888,94.82964388852491,290.7959139689611,0.1062991675815458,0.0
CLAY,9,750000.0,1097812.0714955856,Clay,16083.0,2.493315923646086,41842.15038469183,652.1191125117111,72.96352602414782,10.313954772140416,4.704429231680667,0.7997996634267254,93.36716767069248,288.7984380415612,0.0959380205125215,46.63309084126096
CLEBURNE,24,25000000.0,36593735.71651952,Cleburne,25970.0,3.234501347708895,51468.46496607331,875.2503761746586,20.38179079467055,60.09868206644096,6.452259791881759,6.576592597519819,225.12571826126336,288.85458552080377,0.0983760880335622,962.6492106276473
CLEVELAND,63,0.0,0.0,Cleveland,8689.0,14.236390838991827,53201.69103994549,829.1845669023082,3.733388396075509,50.22552130515415,4.119185647210304,0.3270060984167363,66.55232281926976,291.06455442798745,0.1079968271189574,0.0
CONWAY,31,10000000.0,14637494.286607808,Conway,21273.0,15.775866121374513,47073.498850183125,716.899156800954,35.976553768039004,44.35564207266554,6.283427833049901,2.3900829779612205,151.37644201400897,289.34852103636734,0.1034346278130834,470.07944342593896
CRAIGHEAD,26,1300000.0,1902874.257259015,Craighead,96443.0,18.78829982476696,56478.12172444142,863.7339238565711,75.33049887445736,6.124241267137123,10.131999902889753,0.9416328874595532,78.85471806732419,289.3739649630982,0.0965223410858745,13.479464554192631
CRAWFORD,19,425000.0,622093.5071808319,Crawford,61948.0,10.902692580874282,57865.85422877098,853.6570280782444,26.57501807801839,59.99042928037892,7.936066228215231,2.1925706640038705,286.4438579897431,288.74338593567103,0.0979272470546253,6.860592755214051
