,slope,intercept,r-squared,p-value,standard error
DMGCP_AGPER,-1.0344444977410808e-07,36.97236982304993,0.046460920391025146,0.06327648349690068,5.484930232407407e-08
INJ_AGPER,-0.41926678445229654,33.84813604240283,0.00018547896365602885,0.9076771638243613,3.602810479537079
DTH_AGPER,4.18364609347128,31.63326792722084,0.030486603013648784,0.1340672926973036,2.761314660548054
DMGCP_FORPER,1.1643962204993604e-07,38.63112146408308,0.05562880601751049,0.041638374053256454,5.615143421171714e-08
INJ_FORPER,-0.6033303886925795,42.53493227326266,0.00036295174576256035,0.8711227059980984,3.705872704368218
DTH_FORPER,-4.2830824117017485,44.43072065643953,0.030195120155330792,0.1359712897506082,2.8409840940955386
DMGCP_URBPER,5.124775308352719e-09,6.0102770742833735,0.006230512024340382,0.5008487141303823,7.575204450665551e-09
INJ_URBPER,0.9189840989399284,5.841699057714958,0.048688948872791696,0.057124271681019856,0.47543662943152964
DTH_URBPER,1.5887834463075272,5.38873349982162,0.24023109966739126,8.06525226196128e-06,0.33069636241591904
DMGCP_WATPER,2.0355236706200017e-09,2.1896863212927986,0.002751012982352681,0.6549402007407938,4.535970369855948e-09
INJ_WATPER,0.3811484098939925,2.1169199057714962,0.023440608128284055,0.18972609646144806,0.287937066338661
DTH_WATPER,0.36492686407420605,2.074102747056725,0.0354713511847423,0.10562371081859132,0.2227219933711447
DMGCP_ELEV,3.549380596970905e-07,149.67178761850454,0.02311266760345692,0.1928906931030709,2.7007746155621334e-07
INJ_ELEV,-4.800229681978791,162.63761601884568,0.0010273283951269458,0.7848639026901822,17.519541887098335
DTH_ELEV,-6.12253032465216,163.92998162682838,0.002758878390728736,0.654478653402012,13.62395891466859
DMGCP2000_POP2000,-8.815807448999759e-05,36811.2270010138,0.007387538524674121,0.4634291592262886,0.00011960260753982716
INJ2000_POP2000,1388.851351351344,35608.2972972973,4.289824671756481e-05,0.9555252433117456,24817.912492622283
DTH2000_POP2000,64755.07142857151,31328.328571428567,0.11026861454984427,0.003607822799608468,21528.603190831196
DMGCP2010_POP2010,0.0005502995175963552,28746.31048796597,0.06750238012348102,0.024381988752981483,0.00023938780626253184
INJ2010_POP2010,-14.06508678237668,38883.2199599466,3.327046068219135e-08,0.9987607941230536,9025.090627025334
DTH2010_POP2010,14895.000320924284,33318.106546854935,0.038807052301101035,0.09026216302350394,8676.189853578126
DMGCP2020_POP2020,0.019692217383959362,39696.094947589794,0.0005418812706994708,0.8428594846528389,0.09898364015578308
INJ2020_POP2020,181911.15540540524,35302.689189189194,0.4338621660461861,1.3320305552200704e-10,24321.09374057089
DTH2020_POP2020,90955.57770270262,35302.689189189194,0.4338621660461861,1.3320305552200704e-10,12160.546870285445
DMGCP2000_PNW2000,4.9002381011851655e-08,16.974475103233658,0.018925389707704045,0.23920233035945007,4.129375297244023e-08
INJ2000_PNW2000,-8.469189189189159,17.848378378378378,0.013226550027697256,0.32584178535381014,8.561815065840266
DTH2000_PNW2000,-2.6812857142857185,17.801285714285715,0.0015675645442143828,0.7359252712296497,7.920056666813404
DMGCP2010_PNW2010,-2.9639481329046397e-07,26.709080620102135,0.20973697687815981,3.60563991390328e-05,6.733757903428797e-08
INJ2010_PNW2010,-2.5282910547396513,22.02694259012016,0.011514394398666122,0.3594933330180674,2.741765215133583
DTH2010_PNW2010,-2.868937740693199,22.322670089858793,0.015420016988366878,0.2884809424628573,2.6831365082004064
DMGCP2020_PNW2020,3.52146232211523e-05,25.484704190242404,0.025523746898127683,0.17095267398641342,2.5466838337890254e-05
INJ2020_PNW2020,12.054256756756747,25.981486486486485,0.028060630852316002,0.1508566550155859,8.303283749317561
DTH2020_PNW2020,6.027128378378373,25.981486486486485,0.028060630852316002,0.1508566550155859,4.151641874658781
DMGCP2000_MICPI2000,-1.6510892229126584e-07,52874.78357136417,9.710682670149115e-07,0.9933052537773849,1.961029020126746e-05
INJ2000_MICPI2000,44.7972972972971,52871.40540540541,1.6724946891931063e-06,0.9912140645794358,4054.223121035024
DTH2000_MICPI2000,6375.857142857149,52447.54285714286,0.04006033807950231,0.08512173190736105,3652.9338732453975
DMGCP2010_MICPI2010,1.7068509313890385e-05,50045.30633982673,0.002947801301041311,0.6436217400856523,3.674041081381734e-05
INJ2010_MICPI2010,2197.017022696926,49685.83477970628,0.036849111708356266,0.09896463096505369,1314.636375919354
DTH2010_MICPI2010,2086.9200898587956,49580.46983311939,0.034580196675956285,0.11018611745449522,1290.5913851895648
DMGCP2020_MICPI2020,0.003309227188832614,53301.508473715396,0.0007731968225629614,0.812802826238208,0.013923619963747334
INJ2020_MICPI2020,5770.236486486481,53224.52702702703,0.022056791392632905,0.20349998816206175,4496.947652955415
DTH2020_MICPI2020,2885.1182432432406,53224.52702702703,0.022056791392632905,0.20349998816206175,2248.4738264777075
MINC2000_DMG2000,-5.817150120743496,7442487.553387193,9.501072764942815e-07,0.9933779010242243,698.4934100790801
MINC2010_DMG2010,192.2239995043642,6013244.211045349,0.0037158889982766953,0.6033916649629143,368.38879748972965
MINC2020_DMG2020,0.2903578476474809,7680.006877819684,0.001073586623165977,0.7801929252669249,1.0366218077018063
