OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,SQ_MILES,COUNTYUP,COUNTY
1,Montgomery,05097,097,800.3486248,MONTGOMERY,MONTGOMERY
2,Pike,05109,109,613.4924085,PIKE,PIKE
3,Hempstead,05057,057,740.4413363,HEMPSTEAD,HEMPSTEAD
4,St. Francis,05123,123,642.6758667,ST. FRANCIS,ST. FRANCIS
5,Crittenden,05035,035,643.4819832,CRITTENDEN,CRITTENDEN
6,Cross,05037,037,622.4013232,CROSS,CROSS
7,Woodruff,05147,147,594.0278872,WOODRUFF,WOODRUFF
8,White,05145,145,1041.508554,WHITE,WHITE
9,Faulkner,05045,045,663.60818,FAULKNER,FAULKNER
10,Conway,05029,029,566.0519537,CONWAY,CONWAY
11,Yell,05149,149,947.8002902,YELL,YELL
12,Bradley,05011,011,652.4097746,BRADLEY,BRADLEY
13,Calhoun,05013,013,631.9311147,CALHOUN,CALHOUN
14,Ouachita,05103,103,739.1824718,OUACHITA,OUACHITA
15,Newton,05101,101,822.7198799,NEWTON,NEWTON
16,Van Buren,05141,141,723.3921435,VAN BUREN,VAN BUREN
17,Pulaski,05119,119,806.8192202,PULASKI,PULASKI
18,Lonoke,05085,085,803.059739,LONOKE,LONOKE
19,Prairie,05117,117,675.1711728,PRAIRIE,PRAIRIE
20,Desha,05041,041,812.5181113,DESHA,DESHA
21,Phillips,05107,107,727.2851839,PHILLIPS,PHILLIPS
22,Independence,05063,063,771.2213486,INDEPENDENCE,INDEPENDENCE
23,Jackson,05067,067,641.3675403,JACKSON,JACKSON
24,Mississippi,05093,093,931.4834133,MISSISSIPPI,MISSISSIPPI
25,Greene,05055,055,579.6114852,GREENE,GREENE
26,Clay,05021,021,641.6932492,CLAY,CLAY
27,Randolph,05121,121,655.9155896,RANDOLPH,RANDOLPH
28,Lawrence,05075,075,592.2678812,LAWRENCE,LAWRENCE
29,Baxter,05005,005,586.292016,BAXTER,BAXTER
30,Marion,05089,089,639.7237888,MARION,MARION
31,Perry,05105,105,560.3292757,PERRY,PERRY
32,Jefferson,05069,069,915.4963787,JEFFERSON,JEFFERSON
33,Garland,05051,051,733.9045417,GARLAND,GARLAND
34,Saline,05125,125,729.87401,SALINE,SALINE
35,Washington,05143,143,951.7322499,WASHINGTON,WASHINGTON
36,Crawford,05033,033,605.3945356,CRAWFORD,CRAWFORD
37,Little River,05081,081,563.0483577,LITTLE RIVER,LITTLE RIVER
38,Miller,05091,091,638.1483096,MILLER,MILLER
39,Lafayette,05073,073,545.3646957,LAFAYETTE,LAFAYETTE
40,Columbia,05027,027,766.250292,COLUMBIA,COLUMBIA
41,Union,05139,139,1054.557521,UNION,UNION
42,Ashley,05003,003,939.9482991,ASHLEY,ASHLEY
43,Chicot,05017,017,690.837275,CHICOT,CHICOT
44,Benton,05007,007,884.0839886,BENTON,BENTON
45,Carroll,05015,015,638.2687324,CARROLL,CARROLL
46,Madison,05087,087,836.4957248,MADISON,MADISON
47,Sebastian,05131,131,544.216346,SEBASTIAN,SEBASTIAN
48,Sevier,05133,133,581.0148799,SEVIER,SEVIER
49,Franklin,05047,047,619.7339376,FRANKLIN,FRANKLIN
50,Logan,05083,083,729.4171713,LOGAN,LOGAN
51,Nevada,05099,099,620.1838347,NEVADA,NEVADA
52,Clark,05019,019,882.253144,CLARK,CLARK
53,Dallas,05039,039,667.4732289,DALLAS,DALLAS
54,Cleveland,05025,025,598.506597,CLEVELAND,CLEVELAND
55,Arkansas,05001,001,1038.533148,ARKANSAS,ARKANSAS
56,Grant,05053,053,632.5520799,GRANT,GRANT
57,Monroe,05095,095,621.1385176,MONROE,MONROE
58,Lee,05077,077,622.2972295,LEE,LEE
59,Hot Spring,05059,059,621.7449971,HOT SPRING,HOT SPRING
60,Pope,05115,115,829.8938407,POPE,POPE
61,Johnson,05071,071,683.4869793,JOHNSON,JOHNSON
62,Cleburne,05023,023,591.7799358,CLEBURNE,CLEBURNE
63,Poinsett,05111,111,763.9584216,POINSETT,POINSETT
64,Boone,05009,009,601.5297154,BOONE,BOONE
65,Craighead,05031,031,712.799456,CRAIGHEAD,CRAIGHEAD
66,Sharp,05135,135,606.4525621,SHARP,SHARP
67,Searcy,05129,129,667.8454589,SEARCY,SEARCY
68,Izard,05065,065,583.5685168,IZARD,IZARD
69,Fulton,05049,049,620.098494,FULTON,FULTON
70,Stone,05137,137,609.2019623,STONE,STONE
71,Scott,05127,127,897.9584409,SCOTT,SCOTT
72,Polk,05113,113,861.3055344,POLK,POLK
73,Drew,05043,043,835.507863,DREW,DREW
74,Lincoln,05079,079,569.559699,LINCOLN,LINCOLN
75,Howard,05061,061,595.3062793,HOWARD,HOWARD
