,FIPS,DMG,DMGCPI,TOTINJ,TOTDTH,HOURS,IS
ARKANSAS,57,75000.0,99143.04770429332,0,0,12.0,1.0
ASHLEY,74,235000.0,338542.99255208345,0,0,50.0,4.0
BAXTER,5,50025000.0,73221018.50190341,0,0,57.0,2.0
BENTON,1,30000000.0,43912482.85982343,0,0,87.0,3.0
BOONE,3,50025000.0,73221018.50190341,0,0,69.1,3.0
CARROLL,2,17000000.0,24883740.287233274,0,0,37.0,1.0
CHICOT,75,400000.0,564927.2887334552,0,0,56.0,5.0
CLARK,53,75000.0,99143.04770429332,0,0,12.0,1.0
CLAY,9,750000.0,1097812.0714955856,0,1,32.0,1.0
CLEBURNE,24,25225000.0,36891199.81928514,0,0,69.0,3.0
CLEVELAND,63,75000.0,99143.04770429332,0,0,10.0,1.0
CONWAY,31,10225000.0,14934958.38937343,0,0,69.0,3.0
CRAIGHEAD,26,1300000.0,1902874.257259015,0,1,32.0,1.0
CRAWFORD,19,885000.0,1239359.574285335,0,0,92.0,3.0
CRITTENDEN,36,0.0,0.0,0,0,51.0,2.0
CROSS,35,24000.0,35129.98628785874,0,0,51.0,2.0
DALLAS,62,75000.0,99143.04770429332,0,0,11.0,1.0
FAULKNER,32,10500000.0,15297286.871360922,0,0,45.0,2.0
FRANKLIN,20,810000.0,1086925.0312057552,0,0,91.5,3.0
FULTON,6,50025000.0,73221018.50190341,0,0,59.0,2.0
GARLAND,42,800000.0,1055900.348926751,0,0,20.0,2.0
GRANT,55,75000.0,99143.04770429332,0,0,12.0,1.0
GREENE,18,6600000.0,9660746.229161153,0,0,32.0,1.0
HOT SPRING,54,100000.0,132190.7302723911,0,0,11.0,1.0
INDEPENDENCE,16,50300000.0,73585576.74239779,0,0,81.0,3.0
IZARD,15,50235000.0,73498354.3633504,0,0,66.0,3.0
JACKSON,25,35300000.0,51627105.553979196,0,0,50.0,2.0
JEFFERSON,56,300000.0,396107.76417363685,0,0,21.0,2.0
JOHNSON,21,25025000.0,36627282.785383895,0,0,63.0,2.0
LAWRENCE,17,222000.0,324952.37316269334,0,0,37.0,2.0
LEE,49,0.0,0.0,0,0,29.0,2.0
LINCOLN,64,75000.0,99143.04770429332,0,0,10.0,1.0
LOGAN,30,10200000.0,14901411.320509054,0,0,43.0,2.0
LONOKE,45,200000.0,263917.03390124574,0,1,8.0,1.0
MADISON,11,16000000.0,23419990.85857249,0,0,63.0,2.0
MARION,4,50025000.0,73221018.50190341,0,0,67.0,2.0
MISSISSIPPI,28,0.0,0.0,0,2,32.0,1.0
MONTGOMERY,41,450000.0,594161.6462604553,0,0,20.0,2.0
NEWTON,12,75000.0,106734.5402974142,0,0,65.0,2.0
PERRY,39,10200000.0,14901411.320509054,0,0,45.0,2.0
PHILLIPS,58,0.0,0.0,0,0,47.0,2.0
PIKE,52,300000.0,396107.76417363685,0,0,20.0,2.0
POINSETT,27,164000.0,240054.90630036805,0,1,32.0,1.0
POLK,40,5000000.0,7318747.143303904,0,0,35.0,1.0
POPE,22,25525000.0,37287075.370137006,0,0,74.0,3.0
PRAIRIE,46,200000.0,263917.03390124574,0,0,7.0,1.0
PULASKI,44,700000.0,923709.61865436,0,0,10.0,1.0
RANDOLPH,8,1000000.0,1463749.428660781,0,0,37.0,2.0
SALINE,43,300000.0,395875.5508518686,0,0,9.0,1.0
SCOTT,37,10000000.0,14637494.286607808,0,0,35.0,1.0
SEARCY,13,50025000.0,73221018.50190341,0,0,62.0,2.0
SEBASTIAN,29,600000.0,805129.6527450038,0,0,65.0,2.0
SHARP,7,50235000.0,73498354.3633504,0,0,68.0,3.0
ST. FRANCIS,48,0.0,0.0,0,0,19.0,1.0
STONE,14,50235000.0,73498354.3633504,0,0,67.0,3.0
VAN BUREN,23,25225000.0,36891199.81928514,0,0,67.0,3.0
WASHINGTON,10,45000000.0,65868724.28973514,1,0,36.0,1.0
WHITE,33,15525000.0,22649581.083529208,0,0,68.0,3.0
WOODRUFF,34,10400000.0,15165328.354410298,0,0,48.0,2.0
YELL,38,10375000.0,15133012.271460246,0,0,80.0,4.0
MONROE,,,,,,,
BRADLEY,,,,,,,
DREW,,,,,,,
UNION,,,,,,,
OUACHITA,,,,,,,
COLUMBIA,,,,,,,
HEMPSTEAD,,,,,,,
LITTLE RIVER,,,,,,,
LAFAYETTE,,,,,,,
SEVIER,,,,,,,
HOWARD,,,,,,,
CALHOUN,,,,,,,
NEVADA,,,,,,,
MILLER,,,,,,,
DESHA,,,,,,,
