BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199602,1,1500,199602,2,1500,2403001.0,5536430,ARKANSAS,5.0,1996,February,Winter Storm,Z,74,ASHLEY,JAN,01-FEB-96 15:00:00,CST,02-FEB-96 15:00:00,0,0,0,0,.1M,,,,,,,,,,,,,,,,,,,,,,,,"Up to one inch of ice accumulated over Chicot and Ashley counties. Widespread damage occurred to trees and power lines. Almost all roads were ice covered and were totally impassable. There were also widespread power outages. In addition to the freezing rain, two to three inches of sleet and snow accumulated.",,PDC
199602,1,1500,199602,2,1500,2403001.0,5537136,ARKANSAS,5.0,1996,February,Winter Storm,Z,75,CHICOT,JAN,01-FEB-96 15:00:00,CST,02-FEB-96 15:00:00,0,0,0,0,.1M,,,,,,,,,,,,,,,,,,,,,,,,"Up to one inch of ice accumulated over Chicot and Ashley counties. Widespread damage occurred to trees and power lines. Almost all roads were ice covered and were totally impassable. There were also widespread power outages. In addition to the freezing rain, two to three inches of sleet and snow accumulated.",,PDC
199812,22,2200,199812,24,2200,2151552.0,5673954,ARKANSAS,5.0,1998,December,Ice Storm,Z,74,ASHLEY,JAN,22-DEC-98 22:00:00,CST,24-DEC-98 22:00:00,0,0,0,0,900K,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,,,PDC
199812,22,2300,199812,24,2300,2151552.0,5673955,ARKANSAS,5.0,1998,December,Ice Storm,Z,75,CHICOT,JAN,22-DEC-98 23:00:00,CST,24-DEC-98 23:00:00,0,0,0,0,900K,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,,,PDC
200001,27,200,200001,28,0,1090773.0,5130879,ARKANSAS,5.0,2000,January,Heavy Snow,Z,74,ASHLEY,JAN,27-JAN-00 02:00:00,CST,28-JAN-00 00:00:00,0,0,0,0,100K,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A winter storm brought heavy snow to southeast Arkansas on the 27th. Heavy snow began falling during the early morning of the 27th and did not stop until late that night. The snow was heavy at times. Total snowfall amounts of 6 to 10 inches were common across Ashley and Chicot counties with isolated amounts of 12 inches reported. Damage from the heavy snow was relatively minimal and reports were limited to a few collapsed roofs and downed trees.  Power outages were sporadic, but  traffic came to a stand-still for several days as the snow was slow to melt.",,PDC
200001,27,200,200001,28,0,1090773.0,5130880,ARKANSAS,5.0,2000,January,Heavy Snow,Z,75,CHICOT,JAN,27-JAN-00 02:00:00,CST,28-JAN-00 00:00:00,0,0,0,0,100K,,EMERGENCY MANAGER,,,,,,,,,,,,,,,,,,,,,,"A winter storm brought heavy snow to southeast Arkansas on the 27th. Heavy snow began falling during the early morning of the 27th and did not stop until late that night. The snow was heavy at times. Total snowfall amounts of 6 to 10 inches were common across Ashley and Chicot counties with isolated amounts of 12 inches reported. Damage from the heavy snow was relatively minimal and reports were limited to a few collapsed roofs and downed trees.  Power outages were sporadic, but  traffic came to a stand-still for several days as the snow was slow to melt.",,PDC
200012,13,200,200012,13,1600,1105628.0,5176880,ARKANSAS,5.0,2000,December,Ice Storm,Z,75,CHICOT,JAN,13-DEC-00 02:00:00,CST,13-DEC-00 16:00:00,0,0,0,0,5K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"Ice accumulations of up to one fourth of an inch were reported in extreme southeast Arkansas during this event. Throughout the event, temperatures remained close to the freezing mark. Also, initial precipitation was very light. Therefore, although freezing rain occurred much of the day, damage to trees and powerlines was relatively minor.",,PDC
200012,13,200,200012,13,1600,1105628.0,5178393,ARKANSAS,5.0,2000,December,Ice Storm,Z,74,ASHLEY,JAN,13-DEC-00 02:00:00,CST,13-DEC-00 16:00:00,0,0,0,0,10K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"Ice accumulations of up to one fourth of an inch were reported in extreme southeast Arkansas during this event. Throughout the event, temperatures remained close to the freezing mark. Also, initial precipitation was very light. Therefore, although freezing rain occurred much of the day, damage to trees and powerlines was relatively minor.",,PDC
200302,25,230,200302,25,1300,1147378.0,5342926,ARKANSAS,5.0,2003,February,Ice Storm,Z,74,ASHLEY,JAN,25-FEB-03 02:30:00,CST,25-FEB-03 13:00:00,0,0,0,0,50K,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,,Freezing rain caused 1/4 to 1/2 inch of ice to accumulate on trees and powerlines. This ice accumulation caused numerous trees and power lines to be knocked down.,PDS
200302,25,240,200302,25,1300,1147378.0,5342927,ARKANSAS,5.0,2003,February,Ice Storm,Z,75,CHICOT,JAN,25-FEB-03 02:40:00,CST,25-FEB-03 13:00:00,0,0,0,0,50K,,NEWSPAPER,,,,,,,,,,,,,,,,,,,,,,,One quarter to one half inch of ice accumulated on trees and powerlines. This accumulation caused  trees and power lines to be knocked down.,PDS
200402,15,245,200402,15,500,1165944.0,5383150,ARKANSAS,5.0,2004,February,Heavy Snow,Z,74,ASHLEY,JAN,15-FEB-04 02:45:00,CST,15-FEB-04 05:00:00,0,0,0,0,,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,,"Heavy snow fell across Ashley county early in the morning on February 15th. Two inches of snow accumulated on grass covered areas. Snow briefly accumulated on roadways during the heaviest snowfall rates, but quickly melted as the snow rate diminished.",PDS
200803,7,1600,200803,7,2355,15897.0,91217,ARKANSAS,5.0,2008,March,Heavy Snow,Z,74,ASHLEY,JAN,07-MAR-08 16:00:00,CST-6,07-MAR-08 23:55:00,0,0,0,0,200.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"A strong upper level trough dropped south out of the plains and helped to evolve a surface low pressure system across the northern Gulf of Mexico which then intensified as it lifted into the southeast United States. This upper trough slowed and intensified across the Lower Mississippi River Valley Friday afternoon, and brought a large swath of rare March snow to some of the region. The heaviest snow fell mainly to the northwest and north of the National Weather Service Jackson forecast area. However, a decent section of the northwest and north central portion of the service area received anywhere from 2 to 6 inches of snow. The heaviest occurred across extreme northern Chicot County where Dermott measured around 5 inches and then across Bolivar County where 3-6 inches occurred.","Steady heavy snow occurred across Chicot County through the afternoon hours with totals running between 2 and 4 inches. The highest accumulations were in Dermott where 5 inches was measured. By early evening, the weight of the heavy snow downed power lines and caused a few roads to close.",CSV
200803,7,1315,200803,7,2355,15897.0,91208,ARKANSAS,5.0,2008,March,Heavy Snow,Z,74,ASHLEY,JAN,07-MAR-08 13:15:00,CST-6,07-MAR-08 23:55:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"A strong upper level trough dropped south out of the plains and helped to evolve a surface low pressure system across the northern Gulf of Mexico which then intensified as it lifted into the southeast United States. This upper trough slowed and intensified across the Lower Mississippi River Valley Friday afternoon, and brought a large swath of rare March snow to some of the region. The heaviest snow fell mainly to the northwest and north of the National Weather Service Jackson forecast area. However, a decent section of the northwest and north central portion of the service area received anywhere from 2 to 6 inches of snow. The heaviest occurred across extreme northern Chicot County where Dermott measured around 5 inches and then across Bolivar County where 3-6 inches occurred.",Steady heavy snow occurred across Ashley County through the afternoon hours with totals running between 2 and 4 inches.,CSV
200812,16,640,200812,16,806,24500.0,142480,ARKANSAS,5.0,2008,December,Winter Weather,Z,74,ASHLEY,JAN,16-DEC-08 06:40:00,CST-6,16-DEC-08 08:06:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,An area of light freezing rain developed in a shallow cold airmass across the delta region of the ARKLAMISS. No signficant|amounts of icing was noted with this system.,There was a report of some light icing from light freezing rain on the bridge over the Quachita River.,CSV
200812,16,623,200812,16,835,24500.0,142482,ARKANSAS,5.0,2008,December,Winter Weather,Z,75,CHICOT,JAN,16-DEC-08 06:23:00,CST-6,16-DEC-08 08:35:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,An area of light freezing rain developed in a shallow cold airmass across the delta region of the ARKLAMISS. No signficant|amounts of icing was noted with this system.,Icing was reported on the Greenville Mississippi River bridge from light freezing rain. Icing was also reported on bridges from Highway 82 South to highway 65 in Eudora.,CSV
200801,25,800,200801,25,2200,13696.0,76733,ARKANSAS,5.0,2008,January,Ice Storm,Z,74,ASHLEY,JAN,25-JAN-08 08:00:00,CST-6,25-JAN-08 22:00:00,0,0,0,0,200.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"A small ice storm occurred across the region on January 25 with freezing rain observed across the northern half of the service area. This occurred as a arctic high pressure settled over the Ohio Valley and shallow cold air filtered into region. While the cold air was moving in, an area of low pressure was taking shape across the northern Gulf of Mexico and helped to produce widespread light rain over the area. Across the northern portions of the forecast area, temperatures were below freezing when the light rain fell and good ice accumulations occurred for areas generally along and north of a line from Rayville Louisiana to Lexington Mississippi to West Point Mississippi. The icing was not very heavy, but problems occurred across the areas that did receive around a quarter inch of ice. Numerous accidents occurred from icing on bridges and overpasses with one fatality in Grenada County. Trees and power lines did accumulate some ice, but the ice was not heavy enough to cause much damage.",Around one quarter inch of ice accumulated slowly through the day with icing being worst across area roads. Accidents were plentiful across the county with some icing in trees and on power lines.,CSV
200801,25,800,200801,25,2200,13696.0,76734,ARKANSAS,5.0,2008,January,Ice Storm,Z,75,CHICOT,JAN,25-JAN-08 08:00:00,CST-6,25-JAN-08 22:00:00,0,0,0,0,200.00K,0.00K,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,"A small ice storm occurred across the region on January 25 with freezing rain observed across the northern half of the service area. This occurred as a arctic high pressure settled over the Ohio Valley and shallow cold air filtered into region. While the cold air was moving in, an area of low pressure was taking shape across the northern Gulf of Mexico and helped to produce widespread light rain over the area. Across the northern portions of the forecast area, temperatures were below freezing when the light rain fell and good ice accumulations occurred for areas generally along and north of a line from Rayville Louisiana to Lexington Mississippi to West Point Mississippi. The icing was not very heavy, but problems occurred across the areas that did receive around a quarter inch of ice. Numerous accidents occurred from icing on bridges and overpasses with one fatality in Grenada County. Trees and power lines did accumulate some ice, but the ice was not heavy enough to cause much damage.",Around one quarter inch of ice accumulated slowly through the day with icing being worst across area roads. Accidents were plentiful across the county with some icing in trees and on power lines.,CSV
201001,4,600,201001,4,900,36118.0,209437,ARKANSAS,5.0,2010,January,Winter Weather,Z,74,ASHLEY,JAN,04-JAN-10 06:00:00,CST-6,04-JAN-10 09:00:00,0,0,0,0,10.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"During the morning and early afternoon of the 4th, an area of low pressure aloft pushed across the ArkLaMiss region. There was enough cold air, and associated moisture, to bring about a mix bag of light freezing drizzle and light snow flurries. Some of the light freezing rain caused some morning accidents across Ashley and Chicot Counties.",Freezing drizzle was reported across Ashley County. A few roads had developed slick spots and several accidents were reported.,CSV
