County,Barren land,Cultivated crops,Deciduous forest,"Developed, high","Developed, low","Developed, medium","Developed, open",Emergent herbaceous wetlands,Evergreen forest,Grassland/herbaceous,Mixed forest,Open water,Pasture/hay,Shrub/scrub,Woody wetlands
Phillips,5053.054902,1498268.443,28782.66667,3212.235294,21900.09412,12508,46502.14902,15084.96078,2704.741176,1635.329412,35228.53333,98077.97647,2370.960784,901,320908.4275
Calhoun,3102,3052,19184.73725,1752.870588,47916.19216,10114.07451,34488.53333,31503.40784,838641.9137,98415.24314,9474,11873.56863,39856.47059,91954.09804,578545.749
Union,4592,2306,35537.89804,9039.176471,95682.18431,31671.35686,55723.23529,26812.43922,1453107.224,194748.502,53009.76863,37773.61569,46003.26667,189585.8353,801013.4471
Columbia,2778,16.84313725,73227.07451,4485,48702.08627,16846.03922,39787.71765,7244.854902,1333538.22,139290.902,45956.41569,15203.97255,74827.04314,124610.6588,280010.5647
Ouachita,4222.368627,5932.152941,30376.38431,3156.12549,64019.47843,15754.8902,47261.43922,19939.75294,1004973.604,96761.28627,37667.59216,26749.65882,44416.05098,77898.52549,649688.1608
Clark,3418.266667,54996.74118,184268.0824,3175.094118,34768.34118,12575.2,66329.99608,10899.40392,1133932.937,147695.6471,161558.5843,52718.8549,213349.102,135688.8471,325190.3176
Nevada,1656.478431,1386,94815.29804,1083.352941,34334.66667,6949.066667,32383.37255,9371.784314,861495.9373,123254.0941,53265.43137,6138.752941,202200.0118,106939.6549,250783.6784
Hempstead,3174.047059,1780.831373,257967.6902,5390.231373,38757.8,15179.36471,53027.18824,15745.90588,555945.4745,107274.5059,160418.1843,38560.19216,548458.3961,112522.9882,218717.4392
Miller,6050.192157,257863.6902,155158.2353,7037.466667,53474.71765,27189.69412,51523.59216,23653.7098,252899.1451,57501.19216,120936.2627,41562.47059,439379.2627,54709.45098,286054.3922
Little River,11449.58824,103870.2549,120666.5804,2306.003922,21420.17255,9390.180392,36721.88235,28116.63922,335546.8824,61261.80784,77883.80392,83967.85098,398136.2118,66089.46667,268411.7961
Newton,552,0,1873013.051,277,8844.929412,2112.729412,90800.67451,293,71058.81569,23438.42353,67695.60784,2002.141176,207044.1294,20730.54118,1107
Pope,4538.05098,51455.83529,963493.3529,6398.431373,43538.76078,18098.76471,89732.41569,4384.698039,446976.9451,42535.43922,125562.1098,56898.18431,459901.5412,49787.47451,27455.76863
Yell,4455.121569,52881.24706,398891.5569,1819.568627,26612.81176,7072.168627,74655.59216,10084.87059,834413.0118,62965.67451,506862.749,52784.66275,506315.2863,72655.8902,118132.5176
Baxter,13868.95294,0,767625.9804,3746.215686,44277.43529,13388.4549,79534.36863,215.0509804,76324.33725,29940.95294,287761.2353,104498.8235,254789.1176,12040.17647,429.2862745
Boone,4275.164706,0,686502.4235,4047.72549,30505.98431,13328.16471,71146.41176,479,70184.20784,40249.01569,69228.29804,35041.6902,678590.8431,27445.93725,1390.376471
Independence,9684.803922,320079.7451,743507.7843,5849.105882,35628.94118,13153.4902,72840.15686,3289.992157,65984.67059,30095.5098,238468.5843,27509.72157,572650.7569,25697.50196,55781.63529
Mississippi,6495.415686,2206823.459,434.7607843,14801.15686,54054.03529,33894.1451,70654.23529,7145.215686,16,1265.482353,142.9411765,62759.67059,343.4156863,4,188156.8
Washington,6907.501961,0,1328604.831,21940.36078,93396.57647,68401.65882,141148.2314,961.0627451,10595.91765,20595.38824,74783.36078,20259.50588,924887.2275,21606.56471,6703.827451
Benton,8779.043137,146,980853.8275,28070.17255,107995.6,82969.59216,194008.7569,540.7019608,17321.06667,24291.52157,69149.66667,109187.3333,895017.4824,22344.69412,3027.501961
