system:index,Barren land,County,Cultivated crops,Deciduous forest,"Developed, high","Developed, low","Developed, medium","Developed, open",Emergent herbaceous wetlands,Evergreen forest,Grassland/herbaceous,Lichen,Mixed forest,Moss,Open water,Pasture/hay,Perennial ice/snow,Sedge/Herbaceous,Shrub/scrub,Woody wetlands,.geo
0000000000000000000c,5053.054901960783,Phillips,1498268.4431372527,28782.666666666668,3212.2352941176473,21900.094117647062,12508.000000000002,46502.14901960785,15084.960784313724,2704.7411764705885,1635.3294117647058,0,35228.53333333333,0,98077.97647058826,2370.9607843137255,0,0,901.0,320908.42745098035,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,3102.0,Calhoun,3052.0,19184.73725490196,1752.8705882352942,47916.192156862744,10114.074509803922,34488.53333333333,31503.407843137258,838641.9137254901,98415.24313725489,0,9474.0,0,11873.568627450964,39856.470588235294,0,0,91954.09803921569,578545.7490196077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,4592.0,Union,2306.0,35537.89803921569,9039.176470588234,95682.1843137255,31671.356862745095,55723.235294117636,26812.439215686274,1453107.2235294115,194748.50196078434,0,53009.768627450976,0,37773.61568627454,46003.26666666667,0,0,189585.83529411763,801013.4470588234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,2778.0,Columbia,16.84313725490196,73227.07450980392,4485.0,48702.08627450979,16846.039215686273,39787.71764705882,7244.854901960784,1333538.2196078429,139290.90196078428,0,45956.41568627451,0,15203.972549019607,74827.0431372549,0,0,124610.6588235294,280010.5647058824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,4222.36862745098,Ouachita,5932.15294117647,30376.384313725488,3156.1254901960783,64019.478431372554,15754.890196078431,47261.4392156863,19939.75294117647,1004973.6039215662,96761.2862745098,0,37667.592156862745,0,26749.658823529426,44416.05098039216,0,0,77898.52549019607,649688.1607843139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,3418.266666666667,Clark,54996.74117647059,184268.08235294116,3175.0941176470587,34768.341176470574,12575.199999999999,66329.99607843137,10899.403921568628,1133932.9372549022,147695.64705882352,0,161558.5843137255,0,52718.85490196078,213349.1019607843,0,0,135688.84705882354,325190.31764705875,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,1656.4784313725493,Nevada,1386.0,94815.29803921568,1083.3529411764705,34334.66666666667,6949.066666666666,32383.3725490196,9371.784313725488,861495.9372548993,123254.09411764707,0,53265.43137254903,0,6138.75294117647,202200.0117647058,0,0,106939.65490196078,250783.6784313726,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,3174.047058823529,Hempstead,1780.8313725490195,257967.69019607845,5390.231372549019,38757.80000000001,15179.364705882352,53027.18823529413,15745.90588235294,555945.4745098039,107274.50588235294,0,160418.1843137255,0,38560.19215686277,548458.3960784315,0,0,112522.98823529412,218717.4392156863,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,6050.192156862744,Miller,257863.69019607847,155158.2352941177,7037.466666666674,53474.71764705882,27189.694117647057,51523.592156862745,23653.709803921567,252899.14509803927,57501.192156862744,0,120936.26274509807,0,41562.4705882353,439379.262745098,0,0,54709.450980392154,286054.39215686277,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,11449.588235294119,Little River,103870.25490196067,120666.58039215687,2306.0039215686274,21420.172549019608,9390.180392156863,36721.88235294116,28116.639215686264,335546.8823529412,61261.80784313726,0,77883.80392156863,0,83967.85098039224,398136.2117647061,0,0,66089.46666666666,268411.7960784313,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d5,552.0,Newton,0,1873013.0509803856,277.0,8844.929411764706,2112.7294117647057,90800.67450980392,293.0,71058.81568627451,23438.423529411764,0,67695.60784313726,0,2002.1411764705883,207044.1294117647,0,0,20730.54117647059,1107.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d6,4538.050980392157,Pope,51455.83529411765,963493.352941176,6398.431372549019,43538.76078431372,18098.764705882353,89732.41568627454,4384.698039215686,446976.9450980394,42535.439215686274,0,125562.1098039216,0,56898.18431372549,459901.5411764706,0,0,49787.47450980393,27455.76862745098,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d7,4455.121568627451,Yell,52881.24705882354,398891.55686274514,1819.5686274509803,26612.81176470589,7072.168627450981,74655.59215686272,10084.870588235293,834413.0117647052,62965.674509803925,0,506862.74901960796,0,52784.66274509803,506315.2862745098,0,0,72655.89019607846,118132.51764705883,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001de,13868.95294117647,Baxter,0,767625.980392157,3746.21568627451,44277.43529411765,13388.454901960782,79534.36862745098,215.05098039215687,76324.33725490196,29940.952941176463,0,287761.23529411765,0,104498.82352941176,254789.1176470588,0,0,12040.176470588234,429.2862745098039,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e1,4275.164705882353,Boone,0,686502.4235294072,4047.7254901960787,30505.984313725497,13328.164705882353,71146.41176470587,479.0,70184.20784313726,40249.01568627451,0,69228.29803921569,0,35041.69019607843,678590.8431372546,0,0,27445.93725490196,1390.3764705882354,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef,9684.803921568628,Independence,320079.74509803916,743507.7843137255,5849.10588235294,35628.9411764706,13153.490196078434,72840.15686274512,3289.9921568627447,65984.67058823531,30095.509803921566,0,238468.58431372556,0,27509.721568627447,572650.7568627452,0,0,25697.501960784313,55781.635294117674,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ff,6495.415686274509,Mississippi,2206823.4588235295,434.7607843137255,14801.156862745098,54054.035294117646,33894.14509803922,70654.23529411764,7145.215686274509,16.0,1265.4823529411765,0,142.94117647058823,0,62759.67058823534,343.41568627450977,0,0,4.0,188156.79999999996,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009ef,6907.501960784313,Washington,0,1328604.8313725432,21940.360784313725,93396.57647058823,68401.65882352942,141148.23137254902,961.0627450980392,10595.917647058823,20595.388235294115,0,74783.36078431374,0,20259.505882352933,924887.2274509805,0,0,21606.564705882352,6703.827450980392,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f0,8779.043137254901,Benton,146.0,980853.8274509808,28070.172549019608,107995.60000000002,82969.59215686275,194008.75686274513,540.7019607843138,17321.06666666667,24291.52156862745,0,69149.66666666666,0,109187.33333333358,895017.4823529426,0,0,22344.694117647054,3027.5019607843137,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f2,1896.6392156862744,Madison,0,1519286.3882352945,1161.8980392156864,17376.345098039215,6026.882352941177,87936.25882352948,267.16078431372546,27066.91764705882,34896.411764705874,0,68242.52156862745,0,1568.2392156862745,611279.682352941,0,0,30030.917647058825,1843.8705882352942,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f4,2562.792156862746,Crawford,82289.8588235294,784946.8117647059,5915.0,48381.615686274505,20210.235294117643,63253.921568627455,17530.509803921563,77053.60392156865,12139.537254901963,0,179362.85490196076,0,38060.4470588235,379021.1882352941,0,0,10738.341176470587,14415.627450980393,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000009f5,5120.952941176471,Sebastian,20659.737254901956,388289.23137254885,19083.141176470588,90418.82352941175,45766.15686274509,67882.84705882349,14044.325490196079,119310.98823529413,98698.42745098038,0,213906.7529411765,0,33702.92156862746,391550.0862745098,0,0,34401.07843137255,31938.368627450982,"{""type"":""MultiPoint"",""coordinates"":[]}"
