BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199701,8,1600,199701,9,200,2058336.0,5588706,ARKANSAS,5.0,1997,January,Winter Storm,Z,8,RANDOLPH,MEG,08-JAN-97 16:00:00,CST,09-JAN-97 02:00:00,0,0,0,0,.01K,,,,,,,,,,,,,,,,,,,,,,,,"A mix of sleet and snow fell across parts of northwest Tennessee, the Missouri bootheel and northeast Arkansas. Between 1 to 3 inches of sleet and snow across the area with 3 inches reported at Union City in Obion county, Tennessee.",,PDC
199701,8,1600,199701,9,200,2058336.0,5588707,ARKANSAS,5.0,1997,January,Winter Storm,Z,9,CLAY,MEG,08-JAN-97 16:00:00,CST,09-JAN-97 02:00:00,0,0,0,0,.01K,,,,,,,,,,,,,,,,,,,,,,,,"A mix of sleet and snow fell across parts of northwest Tennessee, the Missouri bootheel and northeast Arkansas. Between 1 to 3 inches of sleet and snow across the area with 3 inches reported at Union City in Obion county, Tennessee.",,PDC
199701,8,1600,199701,9,200,2058336.0,5588708,ARKANSAS,5.0,1997,January,Winter Storm,Z,17,LAWRENCE,MEG,08-JAN-97 16:00:00,CST,09-JAN-97 02:00:00,0,0,0,0,.01K,,,,,,,,,,,,,,,,,,,,,,,,"A mix of sleet and snow fell across parts of northwest Tennessee, the Missouri bootheel and northeast Arkansas. Between 1 to 3 inches of sleet and snow across the area with 3 inches reported at Union City in Obion county, Tennessee.",,PDC
199701,8,1600,199701,9,200,2058336.0,5588709,ARKANSAS,5.0,1997,January,Winter Storm,Z,18,GREENE,MEG,08-JAN-97 16:00:00,CST,09-JAN-97 02:00:00,0,0,0,0,.01K,,,,,,,,,,,,,,,,,,,,,,,,"A mix of sleet and snow fell across parts of northwest Tennessee, the Missouri bootheel and northeast Arkansas. Between 1 to 3 inches of sleet and snow across the area with 3 inches reported at Union City in Obion county, Tennessee.",,PDC
199812,23,930,199812,24,300,2151571.0,5674480,ARKANSAS,5.0,1998,December,Ice Storm,Z,18,GREENE,MEG,23-DEC-98 09:30:00,CST,24-DEC-98 03:00:00,0,0,0,0,1K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"An ice storm moved through eastern Arkansas. Most areas saw between 1/4"" and 1/2"" of ice accumulation. A few trees were knocked down because of the ice.",,PDC
199812,23,930,199812,24,300,2151571.0,5674484,ARKANSAS,5.0,1998,December,Ice Storm,Z,58,PHILLIPS,MEG,23-DEC-98 09:30:00,CST,24-DEC-98 03:00:00,0,0,0,0,1K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"An ice storm moved through eastern Arkansas. Most areas saw between 1/4"" and 1/2"" of ice accumulation. A few trees were knocked down because of the ice.",,PDC
199812,23,930,199812,24,300,2151571.0,5674378,ARKANSAS,5.0,1998,December,Ice Storm,Z,26,CRAIGHEAD,MEG,23-DEC-98 09:30:00,CST,24-DEC-98 03:00:00,0,0,0,0,1K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"An ice storm moved through eastern Arkansas. Most areas saw between 1/4"" and 1/2"" of ice accumulation. A few trees were knocked down because of the ice.",,PDC
199812,23,930,199812,24,300,2151571.0,5674485,ARKANSAS,5.0,1998,December,Ice Storm,Z,8,RANDOLPH,MEG,23-DEC-98 09:30:00,CST,24-DEC-98 03:00:00,0,0,0,0,1K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"An ice storm moved through eastern Arkansas. Most areas saw between 1/4"" and 1/2"" of ice accumulation. A few trees were knocked down because of the ice.",,PDC
199812,23,930,199812,24,300,2151571.0,5674486,ARKANSAS,5.0,1998,December,Ice Storm,Z,48,ST. FRANCIS,MEG,23-DEC-98 09:30:00,CST,24-DEC-98 03:00:00,0,0,0,0,1K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"An ice storm moved through eastern Arkansas. Most areas saw between 1/4"" and 1/2"" of ice accumulation. A few trees were knocked down because of the ice.",,PDC
199812,23,930,199812,24,300,2151571.0,5674481,ARKANSAS,5.0,1998,December,Ice Storm,Z,17,LAWRENCE,MEG,23-DEC-98 09:30:00,CST,24-DEC-98 03:00:00,0,0,0,0,1K,,LAW ENFORCEMENT,,,,,,,,,,,,,,,,,,,,,,"An ice storm moved through eastern Arkansas. Most areas saw between 1/4"" and 1/2"" of ice accumulation. A few trees were knocked down because of the ice.",,PDC
