county_name,mean temp (2000),mean temp (2010),mean temp (2020),mean precip (2000),mean precip (2010),mean precip (2020),mean snow (2000),mean snow (2010),mean snow (2020)
Phillips,290.5351684908897,290.66437256759093,291.275167447823,0.10788728545254338,0.10270974948766888,0.11830365956047659,8.006922316986709E-4,9.560459281183101E-4,7.391037882120473E-4
Calhoun,291.2331787272304,291.36828302080903,291.96579439629136,0.10823368174014897,0.10690527472204735,0.12558320258909,7.894056983527609E-4,8.087543822245363E-4,7.010189939546522E-4
Union,291.5556702647941,291.68041852344317,292.2812992909881,0.10669182616191707,0.10459213118967084,0.12472128764483088,6.11807345043121E-4,7.06026574279175E-4,5.501525313160164E-4
Columbia,291.4644073628495,291.60799568027176,292.20012451431404,0.1077993417099798,0.1037626380438627,0.12175390983214102,7.691509976861864E-4,8.05765120171748E-4,5.97444385445052E-4
Ouachita,291.2520869242377,291.38106760170086,291.97795447812996,0.10754826553401367,0.10619937826856242,0.12375566579951845,8.933755476869398E-4,8.541442881745043E-4,6.782449151545035E-4
Clark,290.64854188385846,290.7959139689611,291.39067079752823,0.10378804871739317,0.10629916758154584,0.12266919347790671,0.0010655854848983834,0.0010941888336938148,6.723113785736871E-4
Nevada,291.0712696916554,291.22249202523653,291.8176752680852,0.10907039620880074,0.10521493641394004,0.12367231155464102,9.705806118099808E-4,9.228888260764377E-4,6.469147035994038E-4
Hempstead,290.8815720616208,291.05669934010075,291.6388752192197,0.10854506748687649,0.10527151436944415,0.12450339101539387,0.0010065590176442517,9.717861155369711E-4,6.019933005479165E-4
Miller,291.3158572231608,291.5817365047962,292.08501482232947,0.10585015981419196,0.09821001441946683,0.11754834230139843,8.721356055824992E-4,8.504420022270066E-4,5.731342822930504E-4
Little River,290.9147577008789,291.1470081826148,291.65551001539075,0.10539987229979794,0.10174951109142309,0.12438280848807244,0.001016081337105733,0.0010016344542077779,5.594212035923339E-4
Newton,287.2377766782724,287.41640252570375,287.9717873074802,0.0959436946206137,0.09610840354305708,0.10889899990250039,0.00343037006384267,0.003153830101342647,0.0023233049137654964
Pope,288.5415041098628,288.7002115690777,289.31123997873203,0.1019190102005853,0.10253780363958481,0.11435033475714095,0.0018627822004951445,0.002245412931490502,0.0012738518837741987
Yell,289.42611955935433,289.6101221932252,290.2131371568263,0.09870264541476945,0.09725164531302705,0.10926712137767362,0.0015908312550128193,0.002068915327437363,0.0011280163812944486
Baxter,288.2967725276043,288.4229892384974,289.0064870227594,0.0862100894955858,0.08863815120541133,0.09949053790051969,0.0029485499073734055,0.0028388333791506105,0.0017868907435208427
