COUNTY,DMG,DMGCPI
Montgomery,100000.0,134188.27545750063
Pike,0.0,0.0
Hempstead,0.0,0.0
St. Francis,0.0,0.0
Crittenden,0.0,0.0
Cross,0.0,0.0
Woodruff,100000.0,134188.27545750063
White,100000.0,134188.27545750063
Faulkner,100000.0,134188.27545750063
Conway,100000.0,134188.27545750063
Yell,200000.0,268376.55091500125
Bradley,0.0,0.0
Calhoun,0.0,0.0
Ouachita,0.0,0.0
Newton,0.0,0.0
Van Buren,0.0,0.0
Pulaski,0.0,0.0
Lonoke,75000.0,100641.20659312548
Prairie,0.0,0.0
Desha,0.0,0.0
Phillips,0.0,0.0
Independence,0.0,0.0
Jackson,0.0,0.0
Mississippi,0.0,0.0
Greene,0.0,0.0
Clay,0.0,0.0
Randolph,0.0,0.0
Lawrence,0.0,0.0
Baxter,0.0,0.0
Marion,0.0,0.0
Perry,75000.0,100641.20659312548
Jefferson,0.0,0.0
Garland,0.0,0.0
Saline,0.0,0.0
Washington,0.0,0.0
Crawford,460000.0,617266.0671045029
Little River,0.0,0.0
Miller,0.0,0.0
Lafayette,0.0,0.0
Columbia,0.0,0.0
Union,0.0,0.0
Ashley,0.0,0.0
Chicot,0.0,0.0
Benton,0.0,0.0
Carroll,0.0,0.0
Madison,70000.0,93931.79282025044
Sebastian,600000.0,805129.6527450038
Sevier,0.0,0.0
Franklin,810000.0,1086925.0312057552
Logan,2000000.0,2683765.5091500124
Nevada,0.0,0.0
Clark,0.0,0.0
Dallas,0.0,0.0
Cleveland,0.0,0.0
Arkansas,0.0,0.0
Grant,0.0,0.0
Monroe,0.0,0.0
Lee,0.0,0.0
Hot Spring,0.0,0.0
Pope,0.0,0.0
Johnson,0.0,0.0
Cleburne,0.0,0.0
Poinsett,0.0,0.0
Boone,125000.0,167735.34432187575
Craighead,0.0,0.0
Sharp,0.0,0.0
Searcy,0.0,0.0
Izard,0.0,0.0
Fulton,0.0,0.0
Stone,0.0,0.0
Scott,3000000.0,4025648.2637250186
Polk,1500000.0,2012824.1318625093
Drew,0.0,0.0
Lincoln,0.0,0.0
Howard,0.0,0.0
