BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199602,4,700,199602,4,1230,2403269.0,5541916,ARKANSAS,5.0,1996,February,Ice Storm,Z,70,MILLER,SHV,04-FEB-96 07:00:00,CST,04-FEB-96 12:30:00,0,0,0,0,20K,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain, sleet and light snow accumulation led to a ten car accident along U.S. Hwy 71.",,PDC
199602,4,1200,199602,4,1230,2403270.0,5541917,ARKANSAS,5.0,1996,February,Ice Storm,Z,61,NEVADA,SHV,04-FEB-96 12:00:00,CST,04-FEB-96 12:30:00,0,0,1,0,10K,0K,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain, sleet and light snow accumulation on rural highways contributed to the death of a Magnolia, Arkansas woman in a one vehicle accident.  Her vehicle skidded off state Hwy 53, struck a fence and overturned four times.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587405,ARKANSAS,5.0,1997,January,Ice Storm,Z,73,UNION,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587404,ARKANSAS,5.0,1997,January,Ice Storm,Z,72,COLUMBIA,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587401,ARKANSAS,5.0,1997,January,Ice Storm,Z,61,NEVADA,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
199701,14,600,199701,15,1200,2057969.0,5587439,ARKANSAS,5.0,1997,January,Ice Storm,Z,59,LITTLE RIVER,SHV,14-JAN-97 06:00:00,CST,15-JAN-97 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"For the second time in this month another surge of Artic air plunged southward. The cold front responsible for the Artic air stalled along the Gulf Coast states and a low pressure system formed along the front in the northwestern Gulf of Mexico. The storm pushed warm moist air northward up and over the freezing ground temperatures resulting in an overrunning condition with widespread precipitation in the form of freezing rain mixed with sleet and snow. Significant ice accumulations led to highway closings in some areas.  Interstate I-49 was completely iced over and closed from Shreveport to Lafayette, Louisiana.",,PDC
199701,14,600,199701,15,1200,2057969.0,5587440,ARKANSAS,5.0,1997,January,Ice Storm,Z,60,HEMPSTEAD,SHV,14-JAN-97 06:00:00,CST,15-JAN-97 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"For the second time in this month another surge of Artic air plunged southward. The cold front responsible for the Artic air stalled along the Gulf Coast states and a low pressure system formed along the front in the northwestern Gulf of Mexico. The storm pushed warm moist air northward up and over the freezing ground temperatures resulting in an overrunning condition with widespread precipitation in the form of freezing rain mixed with sleet and snow. Significant ice accumulations led to highway closings in some areas.  Interstate I-49 was completely iced over and closed from Shreveport to Lafayette, Louisiana.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587399,ARKANSAS,5.0,1997,January,Ice Storm,Z,59,LITTLE RIVER,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587400,ARKANSAS,5.0,1997,January,Ice Storm,Z,60,HEMPSTEAD,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
199701,14,600,199701,15,1200,2057969.0,5587437,ARKANSAS,5.0,1997,January,Ice Storm,Z,50,SEVIER,SHV,14-JAN-97 06:00:00,CST,15-JAN-97 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"For the second time in this month another surge of Artic air plunged southward. The cold front responsible for the Artic air stalled along the Gulf Coast states and a low pressure system formed along the front in the northwestern Gulf of Mexico. The storm pushed warm moist air northward up and over the freezing ground temperatures resulting in an overrunning condition with widespread precipitation in the form of freezing rain mixed with sleet and snow. Significant ice accumulations led to highway closings in some areas.  Interstate I-49 was completely iced over and closed from Shreveport to Lafayette, Louisiana.",,PDC
