STATE,INJURIES_DIRECT,INJURIES_INDIRECT,INJURIES,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS, DAMAGE_PROPERTY , DAMAGE_PROPERTY_CPI 
UTAH,226,29,255,10,0,10," $6,823,700.00 "," $10,800,166.10 "
DELAWARE,30,108,138,0,0,0, $-   , $-   
ARIZONA,45,83,128,3,4,7," $655,000.00 "," $867,258.29 "
PENNSYLVANIA,106,6,112,4,11,15," $32,172,150.00 "," $55,864,989.68 "
NEW MEXICO,0,101,101,6,23,29," $1,250,000.00 "," $1,666,223.80 "
KANSAS,18,57,75,9,8,17," $13,491,000.00 "," $22,056,171.96 "
INDIANA,16,55,71,2,4,6," $5,210,200.00 "," $7,972,833.95 "
CALIFORNIA,57,12,69,17,4,21," $5,407,020.00 "," $7,926,176.85 "
WASHINGTON,42,22,64,7,10,17," $67,225,250.00 "," $114,621,327.44 "
TEXAS,1,34,35,3,4,7," $54,812,000.00 "," $79,322,816.25 "
ILLINOIS,30,0,30,7,8,15," $230,000.00 "," $296,529.64 "
IDAHO,22,2,24,10,2,12," $114,953,000.00 "," $152,916,930.17 "
WISCONSIN,21,3,24,2,3,5," $535,000.00 "," $677,581.84 "
OREGON,22,0,22,3,4,7," $139,399,000.00 "," $172,733,791.72 "
TENNESSEE,0,21,21,2,9,11," $5,930,310.00 "," $10,939,970.90 "
NEW JERSEY,13,8,21,1,2,3," $19,250,000.00 "," $31,863,402.03 "
OHIO,16,1,17,0,0,0," $59,944,000.00 "," $108,547,594.19 "
NEW YORK,16,0,16,6,4,10," $130,347,900.00 "," $230,367,774.55 "
ALASKA,14,2,16,4,1,5," $1,490,750.00 "," $2,543,280.09 "
MINNESOTA,0,14,14,1,7,8," $1,275,500.00 "," $1,452,665.15 "
KENTUCKY,7,6,13,7,4,11," $11,512,400.00 "," $21,725,277.21 "
SOUTH DAKOTA,9,4,13,0,2,2," $341,000.00 "," $639,483.84 "
GEORGIA,0,11,11,0,2,2," $1,475,000.00 "," $2,156,380.40 "
MISSOURI,2,8,10,0,0,0," $12,832,020.00 "," $24,521,670.22 "
MONTANA,5,3,8,2,4,6," $2,949,000.00 "," $5,089,021.26 "
WYOMING,3,4,7,3,2,5," $28,000.00 "," $45,382.75 "
NEVADA,4,3,7,0,0,0," $1,268,000.00 "," $1,874,689.22 "
MICHIGAN,4,0,4,1,0,1," $10,140,000.00 "," $15,712,304.13 "
WEST VIRGINIA,3,0,3,4,2,6," $31,198,000.00 "," $51,300,623.51 "
OKLAHOMA,0,3,3,1,2,3," $7,002,000.00 "," $12,718,713.59 "
NORTH DAKOTA,0,3,3,0,0,0," $9,055,000.00 "," $12,205,189.12 "
MASSACHUSETTS,1,1,2,2,5,7," $78,417,500.00 "," $146,602,932.38 "
NORTH CAROLINA,2,0,2,4,0,4," $4,037,800.00 "," $7,002,435.40 "
COLORADO,2,0,2,4,0,4," $35,000.00 "," $58,187.08 "
IOWA,0,2,2,3,0,3," $46,493,500.00 "," $86,389,098.36 "
NEW HAMPSHIRE,1,1,2,1,1,2," $8,006,000.00 "," $14,470,371.46 "
ALABAMA,0,2,2,0,2,2, $300.00 , $417.49 
MISSISSIPPI,1,1,2,0,1,1," $31,923,700.00 "," $45,452,665.97 "
VIRGINIA,1,0,1,3,1,4," $8,894,500.00 "," $14,105,590.89 "
CONNECTICUT,1,0,1,0,1,1," $25,263,000.00 "," $42,015,509.59 "
RHODE ISLAND,0,1,1,0,1,1," $11,440,000.00 "," $20,393,491.15 "
SOUTH CAROLINA,0,0,0,0,2,2," $2,039,000.00 "," $3,371,644.37 "
NEBRASKA,0,0,0,0,1,1," $56,535,000.00 "," $109,600,665.12 "
VERMONT,0,0,0,1,0,1," $3,488,000.00 "," $5,377,949.30 "
MAINE,0,0,0,0,0,0," $7,500,000.00 "," $14,392,676.60 "
LOUISIANA,0,0,0,0,0,0," $2,475,000.00 "," $3,498,725.14 "
ARKANSAS,0,0,0,0,0,0," $1,399,060.00 "," $2,038,334.49 "
MARYLAND,0,0,0,0,0,0," $515,000.00 "," $837,188.54 "
DISTRICT OF COLUMBIA,0,0,0,0,0,0," $35,000.00 "," $58,454.58 "
HAWAII,0,0,0,0,0,0, $-   , $-   
