STATE,INJURIES_DIRECT,INJURIES_INDIRECT,INJURIES,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS, DAMAGE_PROPERTY , DAMAGE_PROPERTY_CPI 
TEXAS,27,372,399,14,19,33," $220,441,000.00 "," $380,817,186.11 "
OKLAHOMA,6,16,22,4,17,21," $1,319,480,500.00 "," $2,075,904,515.02 "
KANSAS,25,10,35,15,1,16," $203,299,000.00 "," $317,943,054.62 "
KENTUCKY,2,0,2,3,10,13," $337,398,000.00 "," $501,248,964.97 "
ARKANSAS,1,0,1,7,3,10," $1,344,106,000.00 "," $2,157,287,777.51 "
SOUTH DAKOTA,67,0,67,8,1,9," $25,671,000.00 "," $40,175,137.06 "
LOUISIANA,17,0,17,6,3,9," $157,315,000.00 "," $286,248,329.53 "
OREGON,34,0,34,8,0,8," $53,542,000.00 "," $57,003,836.86 "
NEW YORK,0,8,8,2,5,7," $93,178,000.00 "," $163,001,384.87 "
ILLINOIS,3,49,52,1,5,6," $11,702,000.00 "," $16,357,532.34 "
NEBRASKA,5,0,5,4,2,6," $77,566,000.00 "," $121,010,121.21 "
ALASKA,34,0,34,5,0,5," $2,396,000.00 "," $3,375,012.93 "
ARIZONA,0,13,13,5,0,5," $110,000.00 "," $160,690.14 "
TENNESSEE,0,3,3,3,2,5," $2,449,000.00 "," $3,213,436.53 "
MISSISSIPPI,0,9,9,0,4,4," $42,824,000.00 "," $70,084,355.52 "
WASHINGTON,6,1,7,3,1,4," $10,736,000.00 "," $15,633,964.31 "
SOUTH CAROLINA,24,4,28,1,2,3," $148,927,500.00 "," $261,267,562.37 "
ALABAMA,0,9,9,1,2,3," $18,878,000.00 "," $35,611,783.60 "
OHIO,1,4,5,1,2,3," $136,785,000.00 "," $221,865,058.43 "
NEVADA,2,0,2,3,0,3," $30,000.00 "," $46,877.20 "
GEORGIA,6,0,6,0,2,2," $55,930,190.00 "," $100,985,061.25 "
MICHIGAN,5,0,5,2,0,2," $316,774,000.00 "," $482,166,211.04 "
IOWA,2,1,3,1,1,2," $50,381,490.00 "," $76,354,170.76 "
INDIANA,2,1,3,1,1,2," $1,156,000.00 "," $1,722,665.66 "
MONTANA,0,3,3,2,0,2," $30,000.00 "," $39,587.56 "
MAINE,0,0,0,2,0,2," $328,832,600.00 "," $622,203,914.52 "
CALIFORNIA,0,0,0,2,0,2," $1,055,000.00 "," $1,985,086.27 "
UTAH,0,473,473,0,1,1, $-   , $-   
CONNECTICUT,3,0,3,1,0,1," $4,606,000.00 "," $7,320,330.77 "
MASSACHUSETTS,1,0,1,0,1,1," $45,400,300.00 "," $66,596,894.13 "
NORTH CAROLINA,0,0,0,1,0,1," $301,366,800.00 "," $532,067,664.95 "
WEST VIRGINIA,0,0,0,1,0,1," $10,356,000.00 "," $17,598,141.75 "
COLORADO,0,500,500,0,0,0," $2,000.00 "," $2,562.44 "
PENNSYLVANIA,41,25,66,0,0,0," $1,359,000.00 "," $2,374,976.04 "
WISCONSIN,15,0,15,0,0,0," $726,500.00 "," $1,286,853.02 "
MISSOURI,0,10,10,0,0,0," $461,165,000.00 "," $707,051,211.09 "
MARYLAND,0,10,10,0,0,0," $8,777,000.00 "," $16,593,443.53 "
NEW JERSEY,0,6,6,0,0,0," $1,000,000.00 "," $1,457,885.48 "
DELAWARE,0,5,5,0,0,0, $-   , $-   
MINNESOTA,1,2,3,0,0,0," $40,716,020.00 "," $75,444,458.48 "
NEW HAMPSHIRE,2,0,2,0,0,0," $69,956,460.00 "," $114,726,879.52 "
VIRGINIA,2,0,2,0,0,0," $24,041,950.00 "," $44,370,085.52 "
VERMONT,1,0,1,0,0,0," $10,555,000.00 "," $17,728,763.65 "
NORTH DAKOTA,0,0,0,0,0,0," $106,150,000.00 "," $198,456,982.16 "
NEW MEXICO,0,0,0,0,0,0," $400,000.00 "," $553,646.32 "
DISTRICT OF COLUMBIA,0,0,0,0,0,0," $20,000.00 "," $37,559.63 "
IDAHO,0,0,0,0,0,0, $-   , $-   
WYOMING,0,0,0,0,0,0, $-   , $-   
