BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199611,24,1200,199611,25,1300,2056748.0,5584109,ARKANSAS,5.0,1996,November,Ice Storm,Z,1,BENTON,TSA,24-NOV-96 12:00:00,CST,25-NOV-96 13:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199611,24,1200,199611,24,1200,2056748.0,5584110,ARKANSAS,5.0,1996,November,Ice Storm,Z,2,CARROLL,TSA,24-NOV-96 12:00:00,CST,24-NOV-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199611,24,1200,199611,24,1200,2056748.0,5584111,ARKANSAS,5.0,1996,November,Ice Storm,Z,19,CRAWFORD,TSA,24-NOV-96 12:00:00,CST,24-NOV-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199611,24,1200,199611,24,1200,2056748.0,5584113,ARKANSAS,5.0,1996,November,Ice Storm,Z,10,WASHINGTON,TSA,24-NOV-96 12:00:00,CST,24-NOV-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199611,24,1200,199611,24,1200,2056748.0,5584112,ARKANSAS,5.0,1996,November,Ice Storm,Z,11,MADISON,TSA,24-NOV-96 12:00:00,CST,24-NOV-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199602,4,700,199602,4,1230,2403269.0,5541916,ARKANSAS,5.0,1996,February,Ice Storm,Z,70,MILLER,SHV,04-FEB-96 07:00:00,CST,04-FEB-96 12:30:00,0,0,0,0,20K,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain, sleet and light snow accumulation led to a ten car accident along U.S. Hwy 71.",,PDC
199602,4,1200,199602,4,1230,2403270.0,5541917,ARKANSAS,5.0,1996,February,Ice Storm,Z,61,NEVADA,SHV,04-FEB-96 12:00:00,CST,04-FEB-96 12:30:00,0,0,1,0,10K,0K,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain, sleet and light snow accumulation on rural highways contributed to the death of a Magnolia, Arkansas woman in a one vehicle accident.  Her vehicle skidded off state Hwy 53, struck a fence and overturned four times.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587405,ARKANSAS,5.0,1997,January,Ice Storm,Z,73,UNION,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587404,ARKANSAS,5.0,1997,January,Ice Storm,Z,72,COLUMBIA,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
199701,6,1200,199701,8,1800,2057965.0,5587401,ARKANSAS,5.0,1997,January,Ice Storm,Z,61,NEVADA,SHV,06-JAN-97 12:00:00,CST,08-JAN-97 18:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"An artic cold front swept southeastward from the northern Plains into the lower Mississippi Valley on January 6 bringing icy temperatures across the region while an upper level low over the 4 corners region pumped moisture northward across the region from the Gulf of Mexico. This warm moisture laden air rode up over the freezing ground temperatures resulting in widespread freezing rain, sleet, and snow northeast Texas, extreme southeast Oklahoma, southwest Arkansas, and northwest Louisiana.  Overall accumulations of ice and sleet was generally one to two inches along a 45 mile wide band from Reader and Lewisville, Arkansas to Marshall and Jacksonville, Texas.  Numerous power outages occurrerd from iced power lines and tree limbs across power lines.  The icy mixture moved into northwest Louisiana by the night of the 8th.  Little accumulations were noted.",,PDC
