COUNTY,FIPS,DIRINJ,INDIRINJ,DIRDTH,INDIRDTH,DMGPRP,DMGPRPCPI,TOTAL_INJURIES,TOTAL_DEATHS
ARKANSAS,57,0,0,0,0,0.0,0.0,0,0
ASHLEY,74,0,0,0,0,85000.0,99870.0500433399,0,0
BAXTER,5,0,0,0,0,0.0,0.0,0,0
BENTON,1,0,0,0,0,25000.0,25658.773640283107,0,0
BOONE,3,0,0,0,0,0.0,0.0,0,0
BRADLEY,68,0,0,0,0,0.0,0.0,0,0
CALHOUN,67,0,0,0,0,0.0,0.0,0,0
CARROLL,2,0,0,0,0,75000.0,76976.32092084932,0,0
CHICOT,75,0,0,0,0,150000.0,175561.77740966988,0,0
CLARK,53,0,0,0,0,0.0,0.0,0,0
CLAY,9,0,0,0,0,0.0,0.0,0,0
CLEBURNE,24,0,0,0,0,0.0,0.0,0,0
CLEVELAND,63,0,0,0,0,0.0,0.0,0,0
COLUMBIA,72,0,0,0,0,0.0,0.0,0,0
CONWAY,31,0,0,0,0,0.0,0.0,0,0
CRAIGHEAD,26,0,0,0,0,0.0,0.0,0,0
CRAWFORD,19,0,0,0,0,70000.0,81706.680992592,0,0
CRITTENDEN,36,0,0,0,0,0.0,0.0,0,0
CROSS,35,0,0,0,0,0.0,0.0,0,0
DALLAS,62,0,0,0,0,0.0,0.0,0,0
DESHA,65,0,0,0,0,0.0,0.0,0,0
DREW,69,0,0,0,0,0.0,0.0,0,0
FAULKNER,32,0,0,0,0,0.0,0.0,0,0
FRANKLIN,20,0,0,0,0,70000.0,81706.680992592,0,0
FULTON,6,0,0,0,0,0.0,0.0,0,0
GARLAND,42,0,0,0,0,0.0,0.0,0,0
GRANT,55,0,0,0,0,0.0,0.0,0,0
GREENE,18,0,0,0,0,0.0,0.0,0,0
HEMPSTEAD,60,0,0,0,0,225000.0,262009.82549883449,0,0
HOT SPRING,54,0,0,0,0,0.0,0.0,0,0
HOWARD,51,0,0,0,0,102000.0,118777.78755947165,0,0
INDEPENDENCE,16,0,0,0,0,0.0,0.0,0,0
IZARD,15,0,0,0,0,0.0,0.0,0,0
JACKSON,25,0,0,0,0,0.0,0.0,0,0
JEFFERSON,56,0,0,0,0,0.0,0.0,0,0
JOHNSON,21,0,0,0,0,0.0,0.0,0,0
LAFAYETTE,71,0,0,0,0,0.0,0.0,0,0
LAWRENCE,17,0,0,0,0,0.0,0.0,0,0
LEE,49,0,0,0,0,0.0,0.0,0,0
LINCOLN,64,0,0,0,0,0.0,0.0,0,0
LITTLE RIVER,59,0,0,0,0,55000.0,64046.84623304843,0,0
LOGAN,30,0,0,0,0,0.0,0.0,0,0
LONOKE,45,0,0,0,0,0.0,0.0,0,0
MADISON,11,0,0,0,0,75000.0,76976.32092084932,0,0
MARION,4,0,0,0,0,0.0,0.0,0,0
MILLER,70,0,0,0,0,469000.0,546144.9251509039,0,0
MISSISSIPPI,28,0,0,0,0,0.0,0.0,0,0
MONROE,47,0,0,0,0,0.0,0.0,0,0
MONTGOMERY,41,0,0,0,0,0.0,0.0,0,0
NEVADA,61,0,0,0,0,0.0,0.0,0,0
NEWTON,12,0,0,0,0,0.0,0.0,0,0
OUACHITA,66,0,0,0,0,0.0,0.0,0,0
PERRY,39,0,0,0,0,0.0,0.0,0,0
PHILLIPS,58,0,0,0,0,0.0,0.0,0,0
PIKE,52,0,0,0,0,0.0,0.0,0,0
POINSETT,27,0,0,0,0,0.0,0.0,0,0
POLK,40,0,0,0,0,0.0,0.0,0,0
POPE,22,0,0,0,0,0.0,0.0,0,0
PRAIRIE,46,0,0,0,0,0.0,0.0,0,0
PULASKI,44,0,2,0,4,0.0,0.0,2,4
RANDOLPH,8,0,0,0,0,0.0,0.0,0,0
SALINE,43,0,0,0,0,0.0,0.0,0,0
SCOTT,37,0,0,0,0,0.0,0.0,0,0
SEARCY,13,0,0,0,0,0.0,0.0,0,0
SEBASTIAN,29,0,0,0,0,50000.0,51317.54728056621,0,0
SEVIER,50,0,0,0,0,0.0,0.0,0,0
SHARP,7,0,0,0,0,0.0,0.0,0,0
ST. FRANCIS,48,0,0,0,0,0.0,0.0,0,0
STONE,14,0,0,0,0,0.0,0.0,0,0
UNION,73,0,0,0,0,0.0,0.0,0,0
VAN BUREN,23,0,0,0,0,0.0,0.0,0,0
WASHINGTON,10,0,0,0,0,75000.0,81907.37832074895,0,0
WHITE,33,0,0,0,0,0.0,0.0,0,0
WOODRUFF,34,0,0,0,0,0.0,0.0,0,0
YELL,38,0,0,0,0,0.0,0.0,0,0
