EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_PROPERTY_CPI,EPISODE_NARRATIVE,EVENT_NARRATIVE,WFO,CZ_NAME,EVENT_TYPE,ICE,SNOW,TOTAL_INJURIES,TOTAL_DEATHS
1445.0,2006-11-29 21:00:00,2006-11-30 23:00:00,0,0,0,0,0.0,0.0,"A strong arctic cold front moved into northwestern Arkansas during the morning of the 29th and through west central Arkansas during the afternoon of the 29th. Precipitation developed behind the front as warm, moist air was drawn northward above the shallow cold air near the ground. |The precipitation changed to freezing rain and sleet, which occurred through the morning of the 30th, and then to snow during the afternoon of the 30th. The combination of freezing rain, sleet, and snow through the duration of this event resulted in a crippling winter event across northwestern Arkansas.",,TSA,"BENTON, CARROLL, CRAWFORD, MADISON, WASHINGTON",Winter Storm,0.0,5.0,0,0
2321.0,2007-01-31 13:30:00,2007-01-31 22:19:00,0,0,0,0,0.0,0.0,A low pressure system tracked northeast from Texas into Southern Mississippi during the afternoon and evening hours of 1/31/07. Cold air was already in place over Northeast Arkansas thus precipitation associated with the system fell as snow. Light accumulations occurred as a result.,Light snow fell across Craighead County and produced accumulations of 2 to 3 inches. Many roadways were covered as a result.,MEG,"CLAY, CRAIGHEAD, GREENE, LAWRENCE, MISSISSIPPI, POINSETT, RANDOLPH",Winter Weather,0.0,7.0,0,0
2568.0,2007-01-20 20:54:00,2007-01-21 00:00:00,0,0,0,0,0.0,0.0,"A storm system along the Gulf Coast pulled moisture northward into Arkansas. The moisture overran colder air across the state, with freezing rain developing in areas near the Missouri border on the 20th and into the early morning hours of the 21st. Most of the freezing rain was light, and affected areas from Harrison (Boone County) and Jasper (Newton County) eastward through Yellville (Marion County), Mountain Home (Baxter County), Salem (Fulton County) and Hardy (Sharp County).","Ice accruals exceeded a quarter of an inch in parts of Boone County during the evening of January 20th. This included the Harrison area. Ice built up on trees and power lines, with roads becoming hazardous. Even U.S. Highway 65 became ice covered in spots.",LZK,BOONE,Ice Storm,0.0,0.0,0,0
2571.0,2007-01-31 06:00:00,2007-01-31 18:00:00,0,0,0,0,0.0,0.0,"A southwest wind flow aloft brought a storm system into Arkansas on the 31st. Daytime temperatures were well below normal, and generally in the 20s to around 30 degrees. Light snow developed over roughly the northern half of the state. One to two inch accumulations were common, with locally up to three inches.","The heaviest snow on the 31st fell across northern sections of the state, including Izard County. Up to three inches of snow was reported.",LZK,IZARD,Winter Weather,0.0,1.0,0,0
2649.0,2007-01-12 21:00:00,2007-01-15 01:00:00,0,0,0,0,150000.0,227763.63663587227,An arctic cold front moved into northwestern Arkansas during the morning hours of the 12th and continued to move through the region during the day. A strong upper level low pressure system moved into the Southern Rockies and several disturbances translated across the Southern Plains bringing periods of heavy sleet and freezing rain to the region. The worst damage from the storm in northwestern Arkansas occurred in Benton County where heavy ice brought down a large number of power lines and power poles resulting in power outages to several towns in the northern and northwestern portion of the county.,,TSA,"BENTON, CARROLL, MADISON, WASHINGTON",Winter Storm,4.0,0.0,0,0
2997.0,2007-02-01 12:00:00,2007-02-02 06:00:00,0,0,0,1,0.0,0.0,An upper level disturbance moved into the midsouth during the afternoon hours of 2/01/07. Cold air was already in place and thus the disturbance produced light snow accumulations of 1 to 2 inches through the early morning hours of 2/02/07.,Light snow fell across Poinsett County and produced accumulations of 1 to 2 inches. Many roadways were covered.,MEG,"CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS",Winter Weather,0.0,12.0,0,1
3467.0,2007-02-09 03:00:00,2007-02-09 09:00:00,0,0,0,0,0.0,0.0,Patchy light freezing rain developed in the pre-dawn hours and persisted until around mid-morning.,Light freezing rain created some slick spots on roadways during the morning commute.,LZK,"LONOKE, MONROE, PULASKI, WOODRUFF",Winter Weather,0.0,0.0,0,0
11501.0,2007-12-09 04:00:00,2007-12-10 15:00:00,0,0,0,0,0.0,0.0,"Arctic air spread into the region ahead of a strong storm system over the desert southwest.  Several disturbances translated from the low pressure area across the Southern Plains, resulting in several periods of precipitation, including thunderstorms.  Rain began over northwestern Arkansas during the late evening of the 8th but changed to freezing rain during the early morning hours of the 9th.  Freezing rain remained the dominant precipitation type for the remainder of the event.  Heavy icing on trees, power lines, and other exposed surfaces resulted, especially across western Benton County.",One quarter inch of ice accumulated on exposed surfaces in the western portion of the county.,TSA,BENTON,Ice Storm,0.0,0.0,0,0
11640.0,2007-12-26 12:00:00,2007-12-26 13:30:00,0,0,0,0,0.0,0.0,"A strong upper level low pressure center tracked northeastward across Arkansas on the 26th. In much of western and northern Arkansas, temperatures were just cold enough to allow some sleet and snow to fall.","Snow fell in the county, with 1 inch reported.",LZK,"CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, IZARD, LOGAN, MONTGOMERY, NEWTON, PERRY, POLK, POPE, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, YELL",Winter Weather,0.0,20.0,0,0
12183.0,2008-01-25 10:00:00,2008-01-25 17:00:00,0,0,0,0,0.0,0.0,"Arctic high pressure and below-freezing temperatures prevailed at the surface on January 25th.  However, southerly winds a few thousand feet above the ground brought warmer, moist air over the top of the cold air in a weather pattern known as overrunning.  The result was widespread sleet and freezing rain, mainly over central and southern Arkansas.  Hundreds of traffic accidents occurred as a result of the icy conditions, particularly on bridges and overpasses.",Winter precipitation fell across the county. Ice was reported on roads causing hazardous road conditions.,LZK,"ARKANSAS, BRADLEY, CALHOUN, CLARK, CLEVELAND, DALLAS, DESHA, DREW, GARLAND, GRANT, HOT SPRING, JEFFERSON, JOHNSON, LINCOLN, LOGAN, MONTGOMERY, OUACHITA, PERRY, PIKE, POLK, POPE, PULASKI, SALINE, SCOTT, YELL",Winter Weather,0.0,0.0,0,0
12308.0,2008-01-31 05:00:00,2008-01-31 19:00:00,0,0,0,0,0.0,0.0,"A strong upper level storm system organized over the Southern Rockies and moved across the Southern Plains on the 31st. Precipitation spread into northwestern Arkansas during the early morning hours of the 31st and changed over to snow relatively quickly as cold air was drawn into the storm system from the north. Snow fell throughout the day, sometimes falling at rates of one to two inches per hour, resulting in a band of heavy accumulation across Madison, Benton, and Carroll Counties. The heaviest snow occurred along the Missouri border where nearly ten inches of snow was observed.",Five to ten inches of snow fell across Carroll County.,TSA,"BENTON, CARROLL, MADISON",Heavy Snow,0.0,3.0,0,0
12433.0,2008-01-21 20:30:00,2008-01-22 01:00:00,0,0,0,0,0.0,0.0,"Areas of Arctic high pressure arrived from the Plains on the 21st. A storm system pushed moisture into the cold air, with freezing rain and sleet in northern Arkansas on the 21st and 22nd.",Sleet and freezing rain caused hazardous road conditions across the county.,LZK,"BAXTER, BOONE, CONWAY, JOHNSON, LOGAN, MARION, NEWTON, PERRY, POPE, SEARCY, VAN BUREN, YELL",Winter Weather,0.0,0.0,0,0
12700.0,2008-01-31 14:00:00,2008-01-31 22:00:00,0,0,0,0,0.0,0.0,"A storm system tracked along the Gulf Coast on the 31st, with snow developing north of the system. The snow was heavy at times toward the Missouri border where accumulations exceeded 4 inches.",Sleet was reported across the area causing hazardous road conditions.,LZK,"BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, INDEPENDENCE, IZARD, JACKSON, JOHNSON, LOGAN, MARION, NEWTON, PERRY, POPE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, YELL","Winter Storm, Winter Weather",0.0,22.0,0,0
13084.0,2008-01-26 03:55:00,2008-01-26 06:00:00,0,0,0,0,0.0,0.0,An upper level disturbance moved over East Arkansas during the evening hours of January 25th through the morning hours of January 26th. Freezing rain or drizzle fell over the area as a result with some ice accumulation occurring.,"Light ice accumulation occurred across Crittenden County during the early morning hours of January 26, 2008. Numerous accidents were reported county-wide.",MEG,CRITTENDEN,Winter Weather,1.0,0.0,0,0
13090.0,2008-01-31 00:00:00,2008-01-31 13:00:00,0,0,0,0,0.0,0.0,"A low pressure system tracked northeastward from the Gulf Coast into Northeast Mississippi during the day on January 31, 2008. Snow and sleet fell across portions of Northeast Arkansas as a result. Some accumulations occurred.",Three inches of snow fell across Greene County by the early afternoon hours. The snow mixed with sleet at times. No sleet accumulations were reported. Numerous accidents occurred on very slick roads.,MEG,"CLAY, CRAIGHEAD, GREENE, LAWRENCE, RANDOLPH","Winter Storm, Winter Weather",0.0,5.0,0,0
13431.0,2008-02-21 02:00:00,2008-02-22 01:00:00,0,0,0,0,0.0,0.0,"A northwest wind flow aloft drove a cold front through Arkansas on the 20th. The front was followed by a shallow cold Arctic air mass. The front then stalled along the Gulf Coast, with a storm system forming along the front.",Freezing rain was accumulating in timber and other surfaces.,LZK,"BAXTER, BOONE, FULTON, IZARD, MARION, NEWTON, SEARCY, SHARP, STONE, VAN BUREN",Winter Weather,0.0,0.0,0,0
13589.0,2008-03-04 02:00:00,2008-03-04 10:00:00,0,0,0,0,0.0,0.0,"A cold front approached the region from the Plains during the evening of the 2nd. Behind the front, colder air and moisture wrapped around the system, causing snow to fall over much of the state during the morning of the 4th.","Four inches of snow were reported in Oxford. In Calico Rock, 5.5 inches were reported.",LZK,"ARKANSAS, BAXTER, BOONE, CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL","Heavy Snow, Winter Weather",0.0,34.0,0,0
13696.0,2008-01-25 08:00:00,2008-01-25 22:00:00,0,0,0,0,400000.0,583154.1922839165,"A small ice storm occurred across the region on January 25 with freezing rain observed across the northern half of the service area. This occurred as a arctic high pressure settled over the Ohio Valley and shallow cold air filtered into region. While the cold air was moving in, an area of low pressure was taking shape across the northern Gulf of Mexico and helped to produce widespread light rain over the area. Across the northern portions of the forecast area, temperatures were below freezing when the light rain fell and good ice accumulations occurred for areas generally along and north of a line from Rayville Louisiana to Lexington Mississippi to West Point Mississippi. The icing was not very heavy, but problems occurred across the areas that did receive around a quarter inch of ice. Numerous accidents occurred from icing on bridges and overpasses with one fatality in Grenada County. Trees and power lines did accumulate some ice, but the ice was not heavy enough to cause much damage.",Around one quarter inch of ice accumulated slowly through the day with icing being worst across area roads. Accidents were plentiful across the county with some icing in trees and on power lines.,JAN,"ASHLEY, CHICOT",Ice Storm,2.0,0.0,0,0
13939.0,2008-03-07 07:00:00,2008-03-07 19:00:00,0,0,0,0,0.0,0.0,"A front pushed through Arkansas on the 5th and stalled along the Gulf Coast. Several storm systems formed along the front, and sent moisture northward into colder air across Arkansas. The moisture built into northern and western sections of the state during the late morning and afternoon of the 6th, with snow developing.",A report of 1.0 inch was received in Hatteville. Law enforcement reported 2.0 inches at Morrilton. A report of 0.5 inch was reported in Menifee.,LZK,"ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL","Winter Storm, Winter Weather",0.0,45.0,0,0
14686.0,2008-02-11 06:00:00,2008-02-12 06:00:00,0,0,1,0,0.0,0.0,"A cold front pushed through Arkansas on February 10th, with a shallow cold Arctic air mass to follow. A system aloft arrived from southern Plains, with moisture overrunning the cold air. Patchy freezing rain and sleet developed in extreme northern Arkansas early on the 11th.",Freezing rain accumulated on trees and roadways across the county.,LZK,"BAXTER, BOONE, FULTON, MARION, NEWTON, SEARCY, SHARP",Winter Weather,0.0,0.0,0,1
15024.0,2008-03-07 17:00:00,2008-03-07 17:00:00,1,0,0,0,10000.0,14578.854807097914,"A stationary front which extended across northeast Texas and southwest Arkansas during the afternoon of March 6th separated much colder air across the middle Red River valley of northeast Texas, southeast Oklahoma and southwest Arkansas from a warm and humid airmass across the southern half of northeast Texas as well as northwest and north central Louisiana.  The front began to advance southward during the evening of March 6th allowing the colder airmass north of the front to spill southward during the overnight hours of March 6th and into the predawn hours of March 7th.  A strong upper level storm system moved eastward from the Texas Hill country overnight with rain transitioning into a brief period of sleet followed by moderate to heavy snow at times across the region.  Widespread one to three inches of snow was reported across the northern half of northeast Texas...southeast Oklahoma...southwest Arkansas as well as northwest and north central Louisiana late on March 6th and through the day on March 7th.  Heavier snow amounts were reported across the foothills of the Ouachita Mountains in northern McCurtain County Oklahoma.","Three inches of snow reported in El Dorado, Arkansas.",SHV,"COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, UNION",Winter Weather,0.0,14.0,1,0
15184.0,2008-03-04 05:00:00,2008-03-04 12:00:00,0,0,0,0,0.0,0.0,"An upper level low pressure system moved over Northeast Arkansas during the morning hours of March 4, 2008. The system brought light snow that was mixed with sleet at times to the area. Total snow accumulations of one to two inches were seen across Northeast Arkansas.",One to two inches of snow fell in College City and Black Rock. The snow was mixed with sleet at times. Numerous accidents were reported due to slick roadways.,MEG,"LAWRENCE, RANDOLPH",Winter Weather,0.0,2.0,0,0
15187.0,2008-03-07 10:00:00,2008-03-08 00:00:00,0,0,0,0,0.0,0.0,"A low pressure system developed along the Gulf of Mexico and tracked northeastward into the Southeastern United States. An abundance of moisture was associated with the system. In addition, cold air was also in place over Eastern Arkansas as a result heavy snow fell in association with the system. Snowfall totals of 3 to 10 inches were seen across East Arkansas.",Snow accumulations of four inches fell in Pocahontas and surrounding areas. Numerous accidents were reported across the county due to the snow covered roadways.,MEG,"CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS",Winter Storm,0.0,12.0,0,0
15573.0,2008-03-03 21:00:00,2008-03-04 04:00:00,0,0,0,0,0.0,0.0,A strong upper level storm system tracked across the Southern Plains resulting in widespread precipitation north of a cold front.  The precipitation changed to snow during the evening of the 3rd across northwestern Arkansas.  The snowfall was heavy at times and resulted in four to six inches over several counties before it ended.,Four to six inches of snow fell across northern Benton County.,TSA,"BENTON, CARROLL, SEBASTIAN",Winter Storm,0.0,3.0,0,0
15575.0,2008-03-06 15:00:00,2008-03-07 08:00:00,0,0,0,0,0.0,0.0,A strong upper level storm system tracked across western and northern Texas into Louisianna resulting in widespread precipitation across northwestern Arkansas.  A swath of heavy snow fell east of a Berryville to Fort Smith to Antlers line with a band of ten to twenty inch snow across southern LeFlore County OK into southern Sebastian County AR.,Four to six inches of snow fell across southeastern Carroll County.,TSA,"CARROLL, CRAWFORD, FRANKLIN, MADISON, SEBASTIAN",Winter Storm,0.0,5.0,0,0
15897.0,2008-03-07 16:00:00,2008-03-07 23:55:00,0,0,0,0,200000.0,291577.09614195826,"A strong upper level trough dropped south out of the plains and helped to evolve a surface low pressure system across the northern Gulf of Mexico which then intensified as it lifted into the southeast United States. This upper trough slowed and intensified across the Lower Mississippi River Valley Friday afternoon, and brought a large swath of rare March snow to some of the region. The heaviest snow fell mainly to the northwest and north of the National Weather Service Jackson forecast area. However, a decent section of the northwest and north central portion of the service area received anywhere from 2 to 6 inches of snow. The heaviest occurred across extreme northern Chicot County where Dermott measured around 5 inches and then across Bolivar County where 3-6 inches occurred.","Steady heavy snow occurred across Chicot County through the afternoon hours with totals running between 2 and 4 inches. The highest accumulations were in Dermott where 5 inches was measured. By early evening, the weight of the heavy snow downed power lines and caused a few roads to close.",JAN,ASHLEY,Heavy Snow,0.0,2.0,0,0
23532.0,2008-12-10 02:00:00,2008-12-10 09:00:00,0,0,0,0,0.0,0.0,"A strong cold front moved across Arkansas on the 9th, accompanied by numerous showers and thunderstorms. Colder air moved in quickly behind the front, with temperatures plunging more than 20 degrees within just a few hours after frontal passage. Lingering moisture behind the front, coupled with weak areas of low pressure aloft, brought some wintry precipitation to parts of northern Arkansas early on the morning of the 10th.","A mixture of light sleet, snow, and freezing rain caused slick spots to develop on some roadways.",LZK,"BAXTER, BOONE, MARION, NEWTON, SEARCY, SHARP",Winter Weather,0.0,0.0,0,0
23594.0,2008-12-15 05:00:00,2008-12-16 09:00:00,0,0,0,0,0.0,0.0,"A strong Arctic cold front moved across Arkansas on the night of the 14th and the morning of the 15th. Temperatures plunged 25 to 30 degrees in just a few hours. An overrunning pattern soon developed, with warmer, moist air from the Gulf of Mexico moving up and over the top of the colder air. The result was freezing rain and sleet over the entire county warning area, with some light snow mixed in over the northern part of the state. The wintry mix began on the morning of the 15th in the northwest part of the warning area, and then spread across the remainder of the area later on the 15th and during the wee hours of the 16th. Precipitation diminished to freezing drizzle on the morning of the 16th and then continued into the afternoon hours. The wintry precipitation brought hazardous driving conditions throughout the area.",Sleet and freezing rain accumulated to about an inch at Waldron.,LZK,"ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL","Winter Storm, Winter Weather",0.0,45.0,0,0
23758.0,2008-11-30 18:30:00,2008-11-30 21:00:00,0,0,0,0,0.0,0.0,Light snow was reported across parts of northern Arkansas during the evening hours of the 30th.,Arkansas Highway 123 was slick due to light snow.,LZK,"BOONE, NEWTON",Winter Weather,0.0,2.0,0,0
23776.0,2008-12-23 07:00:00,2008-12-23 13:00:00,0,0,0,0,0.0,0.0,"An Arctic air mass was retreating on the 23rd, but before temperatures could rise above freezing, warmer, moist air from the Gulf of Mexico moved over the top of the cold air. The result was freezing rain, freezing drizzle, and sleet over most areas. Although precipitation amounts were small, an icy glaze developed on many bridges and overpasses, as well as other elevated roadways. Hazardous driving conditions developed quickly, in time for the morning rush hour in most areas. Hundreds of vehicle accidents resulted. From late morning into the afternoon hours, temperatures gradually rose above freezing, putting an end to the icy conditions.","The emergency manager reported that 15 to 20 vehicle accidents occurred in less than 75 minutes. The icy roads caused several vehicles to slide off into ditches on Yell County roads. An 18-wheeler loaded with chickens overturned on Arkansas Highway 27 near Dardanelle, blocking both lanes of traffic.",LZK,"ARKANSAS, BAXTER, BOONE, CLARK, CLEBURNE, CONWAY, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL",Winter Weather,0.0,0.0,0,0
23948.0,2009-01-05 06:00:00,2009-01-05 12:00:00,0,0,0,0,0.0,0.0,"Relatively warm, moist air from the Gulf of Mexico began overrunning a cold air mass at the surface very early on the morning of the 5th. In southern Arkansas, temperatures were just warm enough for the precipitation to fall as rain. However, in central Arkansas, below-freezing temperatures caused freezing rain to break out during the early morning hours. During the first few hours that the precipitation fell, there was some sleet and even scattered thunderstorms. From later into the morning and afternoon, freezing rain and freezing drizzle spread into eastern, north central, and northeastern Arkansas. Although a few icy patches developed on bridges and overpasses during the daylight hours, the vast majority of the ice collected on trees and power lines. By late in the afternoon, some tree branches began to fall and take down some power lines, especially through the central part of the state. Additional rounds of freezing rain and freezing drizzle moved through during the night of the 5th and early on the 6th. Greatest ice accrual was from near Haskell to southwest Little Rock and from south of Lonoke to Carlisle. Driving conditions worsened during the nighttime hours, with many more accidents occurring. After daylight on the 6th, temperatures gradually warmed from south to north, changing the remaining precipitation over to rain and drizzle. By midday on the 6th, no freezing precipitation remained.",Ice in the trees occurred primarily across the northern part of the county.,LZK,"ARKANSAS, BAXTER, BOONE, CLARK, CLEBURNE, CONWAY, DALLAS, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL",Winter Weather,37.0,0.0,0,0
