BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199601,1,2000,199601,2,600,2047072.0,5563505,ARKANSAS,5.0,1996,January,Heavy Snow,Z,11,MADISON,TSA,01-JAN-96 20:00:00,CST,02-JAN-96 06:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Rain changed to snow across northwest Arkansas during the evening of January 1st and continued into the early morning of January 2nd. Snowfall amounts of 4 to 8 inches were common, with local amounts of up to 12 inches in extreme northwest Arkansas.",,PDC
199601,1,2000,199601,2,600,2047072.0,5563506,ARKANSAS,5.0,1996,January,Heavy Snow,Z,19,CRAWFORD,TSA,01-JAN-96 20:00:00,CST,02-JAN-96 06:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Rain changed to snow across northwest Arkansas during the evening of January 1st and continued into the early morning of January 2nd. Snowfall amounts of 4 to 8 inches were common, with local amounts of up to 12 inches in extreme northwest Arkansas.",,PDC
199601,1,2000,199601,2,600,2047072.0,5563507,ARKANSAS,5.0,1996,January,Heavy Snow,Z,29,SEBASTIAN,TSA,01-JAN-96 20:00:00,CST,02-JAN-96 06:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Rain changed to snow across northwest Arkansas during the evening of January 1st and continued into the early morning of January 2nd. Snowfall amounts of 4 to 8 inches were common, with local amounts of up to 12 inches in extreme northwest Arkansas.",,PDC
199601,1,2000,199601,2,600,2047072.0,5563503,ARKANSAS,5.0,1996,January,Heavy Snow,Z,2,CARROLL,TSA,01-JAN-96 20:00:00,CST,02-JAN-96 06:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Rain changed to snow across northwest Arkansas during the evening of January 1st and continued into the early morning of January 2nd. Snowfall amounts of 4 to 8 inches were common, with local amounts of up to 12 inches in extreme northwest Arkansas.",,PDC
199601,1,2000,199601,2,600,2047072.0,5563504,ARKANSAS,5.0,1996,January,Heavy Snow,Z,10,WASHINGTON,TSA,01-JAN-96 20:00:00,CST,02-JAN-96 06:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Rain changed to snow across northwest Arkansas during the evening of January 1st and continued into the early morning of January 2nd. Snowfall amounts of 4 to 8 inches were common, with local amounts of up to 12 inches in extreme northwest Arkansas.",,PDC
199601,1,2000,199601,2,600,2047072.0,5563342,ARKANSAS,5.0,1996,January,Heavy Snow,Z,1,BENTON,TSA,01-JAN-96 20:00:00,CST,02-JAN-96 06:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Rain changed to snow across northwest Arkansas during the evening of January 1st and continued into the early morning of January 2nd. Snowfall amounts of 4 to 8 inches were common, with local amounts of up to 12 inches in extreme northwest Arkansas.",,PDC
199611,24,1200,199611,25,1300,2056748.0,5584109,ARKANSAS,5.0,1996,November,Ice Storm,Z,1,BENTON,TSA,24-NOV-96 12:00:00,CST,25-NOV-96 13:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199611,24,1200,199611,24,1200,2056748.0,5584110,ARKANSAS,5.0,1996,November,Ice Storm,Z,2,CARROLL,TSA,24-NOV-96 12:00:00,CST,24-NOV-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199611,24,1200,199611,24,1200,2056748.0,5584111,ARKANSAS,5.0,1996,November,Ice Storm,Z,19,CRAWFORD,TSA,24-NOV-96 12:00:00,CST,24-NOV-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
199611,24,1200,199611,24,1200,2056748.0,5584113,ARKANSAS,5.0,1996,November,Ice Storm,Z,10,WASHINGTON,TSA,24-NOV-96 12:00:00,CST,24-NOV-96 12:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"Freezing rain and sleet fell across much of northwest Arkansas from around midday on November 24th through the early afternoon of November 25th. A band of 2 to 4 inches of sleet fell from near Fayetteville to Berryville. Numerous traffic accidents occurred on the icy roadways, and the weight of the ice caused some power lines to be downed resulting in power outages in some areas.",,PDC
