Label (Grouping),"Arkansas County, Arkansas","Ashley County, Arkansas","Baxter County, Arkansas","Benton County, Arkansas","Boone County, Arkansas","Bradley County, Arkansas","Calhoun County, Arkansas","Carroll County, Arkansas","Chicot County, Arkansas","Clark County, Arkansas","Clay County, Arkansas","Cleburne County, Arkansas","Cleveland County, Arkansas","Columbia County, Arkansas","Conway County, Arkansas","Craighead County, Arkansas","Crawford County, Arkansas","Crittenden County, Arkansas","Cross County, Arkansas","Dallas County, Arkansas","Desha County, Arkansas","Drew County, Arkansas","Faulkner County, Arkansas","Franklin County, Arkansas","Fulton County, Arkansas","Garland County, Arkansas","Grant County, Arkansas","Greene County, Arkansas","Hempstead County, Arkansas","Hot Spring County, Arkansas","Howard County, Arkansas","Independence County, Arkansas","Izard County, Arkansas","Jackson County, Arkansas","Jefferson County, Arkansas","Johnson County, Arkansas","Lafayette County, Arkansas","Lawrence County, Arkansas","Lee County, Arkansas","Lincoln County, Arkansas","Little River County, Arkansas","Logan County, Arkansas","Lonoke County, Arkansas","Madison County, Arkansas","Marion County, Arkansas","Miller County, Arkansas","Mississippi County, Arkansas","Monroe County, Arkansas","Montgomery County, Arkansas","Nevada County, Arkansas","Newton County, Arkansas","Ouachita County, Arkansas","Perry County, Arkansas","Phillips County, Arkansas","Pike County, Arkansas","Poinsett County, Arkansas","Polk County, Arkansas","Pope County, Arkansas","Prairie County, Arkansas","Pulaski County, Arkansas","Randolph County, Arkansas","Saline County, Arkansas","Scott County, Arkansas","Searcy County, Arkansas","Sebastian County, Arkansas","Sevier County, Arkansas","Sharp County, Arkansas","St. Francis County, Arkansas","Stone County, Arkansas","Union County, Arkansas","Van Buren County, Arkansas","Washington County, Arkansas","White County, Arkansas","Woodruff County, Arkansas","Yell County, Arkansas"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African (599),,,,,,,,,,343.0,,,,,,,,450.0,,,,,,,,,,,,,,,,,410.0,,,,711.0,,,,,,,,428.0,,,,,,,378.0,,,,,,"3,963",,,,,,,,,,356.0,,,,,
Alaska Native alone or in any combination,,,,751.0,,,,,,,,,,,,264.0,476.0,,,,,,424.0,,,431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,,"1,137",,,,,738.0,,,,,,,633.0,,,
All available other Hispanic or Latino,,,,"1,724",,,,,,,,,,,,,520.0,,,,,,372.0,,,433.0,,,,,,,,,,,,,,,,,348.0,,,,284.0,,,,,,,,,,,,,"2,153",,,,,912.0,,,,,,,"1,602",282.0,,384.0
American (939-994),"2,781","5,048","5,103","19,207","7,973","2,517",871.0,"3,658","1,273","4,046","3,578","4,040","1,989","4,328","3,702","18,172","8,917","6,171","3,395","1,427","2,432","2,926","14,743","3,641","2,562","12,673","3,876","8,023","4,202","7,144","2,097","7,805","2,905","3,649","8,881","3,865","1,226","4,600",847.0,"2,745","2,020","4,240","9,870","3,123","2,436","6,545","8,464","1,891","1,938","2,395","1,802","3,559","1,750","2,085","2,754","6,069","4,234","9,958","1,957","36,730","5,108","16,019","1,940","1,441","15,479","2,426","3,432","3,512","1,965","6,575","3,376","21,092","12,859","2,124","4,714"
American Indian alone,,,,"2,474",243.0,,,,,,,,,,,,785.0,,,,,,292.0,,,417.0,,,,,,,,,,,,,,,277.0,,,,,,,,,,,,,,,,180.0,,,"1,119",,417.0,,,"1,721",206.0,,,,,,"1,686",221.0,,
American Indian alone or in any combination,,,477.0,"4,573",542.0,,,417.0,,,,188.0,,,196.0,705.0,"2,056",372.0,,,,,"1,152",354.0,,"1,452",,689.0,338.0,479.0,,466.0,218.0,,570.0,406.0,,252.0,,,423.0,354.0,423.0,330.0,307.0,511.0,471.0,,,,221.0,,188.0,,,240.0,583.0,896.0,,"3,639",307.0,"1,052",339.0,144.0,"4,212",437.0,346.0,,,415.0,350.0,"3,603",687.0,,372.0
        American Indian and Alaska Native alone,,,,"2,934",281.0,,,,,,,,,,,,901.0,,,,,,431.0,,,565.0,,,,,,,,,,,,,,,309.0,,,168.0,,,213.0,,,,,,,,,,211.0,405.0,,"1,513",,466.0,,,"2,051",264.0,,,,,,"2,020",265.0,,
"American Indian and Alaska Native alone or in combination with one or more other races (300, A01-Z99) & (100-299) or (300, A01-Z99) or (400-999)",,,477.0,"4,575",542.0,,,417.0,,,,188.0,,,196.0,707.0,"2,056",372.0,,,,,"1,155",362.0,,"1,452",,689.0,348.0,481.0,,466.0,218.0,,570.0,406.0,,254.0,,,423.0,369.0,432.0,330.0,307.0,511.0,471.0,,,,221.0,,190.0,,,240.0,588.0,934.0,,"3,661",307.0,"1,052",339.0,144.0,"4,212",437.0,346.0,,,415.0,350.0,"3,646",695.0,,372.0
"American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino",,,471.0,"4,253",533.0,,,367.0,,,,178.0,,,196.0,682.0,"1,949",361.0,,,,,"1,092",345.0,,"1,373",,678.0,327.0,461.0,,435.0,212.0,,570.0,371.0,,254.0,,,423.0,348.0,423.0,311.0,303.0,496.0,405.0,,,,218.0,,176.0,,,230.0,564.0,902.0,,"3,218",301.0,"1,006",,141.0,"4,069",405.0,338.0,,,368.0,344.0,"3,460",633.0,,367.0
