"Label (Grouping)","Arkansas County, Arkansas!!Estimate","Ashley County, Arkansas!!Estimate","Baxter County, Arkansas!!Estimate","Benton County, Arkansas!!Estimate","Boone County, Arkansas!!Estimate","Bradley County, Arkansas!!Estimate","Calhoun County, Arkansas!!Estimate","Carroll County, Arkansas!!Estimate","Chicot County, Arkansas!!Estimate","Clark County, Arkansas!!Estimate","Clay County, Arkansas!!Estimate","Cleburne County, Arkansas!!Estimate","Cleveland County, Arkansas!!Estimate","Columbia County, Arkansas!!Estimate","Conway County, Arkansas!!Estimate","Craighead County, Arkansas!!Estimate","Crawford County, Arkansas!!Estimate","Crittenden County, Arkansas!!Estimate","Cross County, Arkansas!!Estimate","Dallas County, Arkansas!!Estimate","Desha County, Arkansas!!Estimate","Drew County, Arkansas!!Estimate","Faulkner County, Arkansas!!Estimate","Franklin County, Arkansas!!Estimate","Fulton County, Arkansas!!Estimate","Garland County, Arkansas!!Estimate","Grant County, Arkansas!!Estimate","Greene County, Arkansas!!Estimate","Hempstead County, Arkansas!!Estimate","Hot Spring County, Arkansas!!Estimate","Howard County, Arkansas!!Estimate","Independence County, Arkansas!!Estimate","Izard County, Arkansas!!Estimate","Jackson County, Arkansas!!Estimate","Jefferson County, Arkansas!!Estimate","Johnson County, Arkansas!!Estimate","Lafayette County, Arkansas!!Estimate","Lawrence County, Arkansas!!Estimate","Lee County, Arkansas!!Estimate","Lincoln County, Arkansas!!Estimate","Little River County, Arkansas!!Estimate","Logan County, Arkansas!!Estimate","Lonoke County, Arkansas!!Estimate","Madison County, Arkansas!!Estimate","Marion County, Arkansas!!Estimate","Miller County, Arkansas!!Estimate","Mississippi County, Arkansas!!Estimate","Monroe County, Arkansas!!Estimate","Montgomery County, Arkansas!!Estimate","Nevada County, Arkansas!!Estimate","Newton County, Arkansas!!Estimate","Ouachita County, Arkansas!!Estimate","Perry County, Arkansas!!Estimate","Phillips County, Arkansas!!Estimate","Pike County, Arkansas!!Estimate","Poinsett County, Arkansas!!Estimate","Polk County, Arkansas!!Estimate","Pope County, Arkansas!!Estimate","Prairie County, Arkansas!!Estimate","Pulaski County, Arkansas!!Estimate","Randolph County, Arkansas!!Estimate","St. Francis County, Arkansas!!Estimate","Saline County, Arkansas!!Estimate","Scott County, Arkansas!!Estimate","Searcy County, Arkansas!!Estimate","Sebastian County, Arkansas!!Estimate","Sevier County, Arkansas!!Estimate","Sharp County, Arkansas!!Estimate","Stone County, Arkansas!!Estimate","Union County, Arkansas!!Estimate","Van Buren County, Arkansas!!Estimate","Washington County, Arkansas!!Estimate","White County, Arkansas!!Estimate","Woodruff County, Arkansas!!Estimate","Yell County, Arkansas!!Estimate"
"Total:","7,863","7,277","15,082","131,360","15,831","4,081","2,060","11,637","3,260","9,131","6,082","9,881","3,063","8,033","8,897","49,147","25,705","20,359","7,008","2,773","4,332","7,460","58,002","6,784","4,051","39,304","7,942","18,728","8,441","13,121","5,479","15,873","4,209","5,599","24,495","10,120","2,508","6,400","2,634","3,227","5,001","8,688","33,708","6,243","5,447","16,684","17,242","2,770","3,194","2,997","2,641","8,733","3,593","6,143","4,591","9,400","7,225","25,730","3,552","182,778","6,821","8,728","57,298","4,259","2,952","57,352","6,910","6,061","4,129","15,633","5,774","112,206","31,209","2,792","9,373"
"    No vehicle available","216","248","299","1,777","200","70","66","280","153","245","215","159","68","84","121","860","293","576","104","111","189","147","1,299","251","8","770","74","88","69","365","41","270","36","103","826","279","116","92","207","41","151","261","556","70","240","543","642","84","25","13","13","296","218","310","70","354","126","363","33","4,417","85","401","608","103","87","1,431","124","140","52","236","265","3,270","443","51","141"
"    1 vehicle available","1,512","1,667","2,746","22,226","2,355","773","375","1,785","956","1,745","1,329","1,559","398","1,477","1,830","10,035","4,755","5,311","1,387","585","955","1,242","9,533","1,133","495","8,155","839","3,330","1,548","2,102","1,299","2,439","530","1,457","6,803","1,383","494","970","533","733","617","1,445","4,751","935","828","3,550","3,597","864","567","505","288","1,865","489","1,550","480","1,746","1,301","4,489","622","48,250","1,216","2,204","7,934","921","376","13,430","1,003","742","562","4,262","943","23,163","5,318","476","1,346"
"    2 vehicles available","3,745","2,755","6,542","58,413","6,262","1,626","617","3,868","1,567","3,802","2,510","4,717","1,147","3,196","3,113","22,375","11,033","8,510","2,964","1,169","1,768","3,074","26,083","2,778","1,259","16,749","2,960","8,620","3,512","5,231","2,097","6,839","1,502","2,116","9,427","4,418","1,029","2,960","887","1,108","2,184","3,338","14,765","1,918","2,156","6,898","6,988","1,178","1,305","1,460","839","3,063","1,109","2,192","1,636","4,220","3,266","11,767","1,589","78,939","2,843","2,602","27,472","1,444","969","23,824","2,718","2,575","1,443","5,964","2,100","50,000","11,978","1,354","3,186"
"    3 or more vehicles available","2,390","2,607","5,495","48,944","7,014","1,612","1,002","5,704","584","3,339","2,028","3,446","1,450","3,276","3,833","15,877","9,624","5,962","2,553","908","1,420","2,997","21,087","2,622","2,289","13,630","4,069","6,690","3,312","5,423","2,042","6,325","2,141","1,923","7,439","4,040","869","2,378","1,007","1,345","2,049","3,644","13,636","3,320","2,223","5,693","6,015","644","1,297","1,019","1,501","3,509","1,777","2,091","2,405","3,080","2,532","9,111","1,308","51,172","2,677","3,521","21,284","1,791","1,520","18,667","3,065","2,604","2,072","5,171","2,466","35,773","13,470","911","4,700"
"    Car, truck, or van - drove alone:","6,841","6,143","12,154","109,608","13,138","3,469","1,865","9,186","2,761","7,290","4,923","8,373","2,667","7,139","7,049","41,360","22,589","16,571","5,894","2,371","3,632","6,217","49,305","5,631","3,284","31,874","6,400","15,641","7,029","10,951","4,515","13,389","3,313","4,625","21,607","8,072","2,001","5,458","1,977","2,791","4,304","6,901","28,707","5,511","4,238","14,194","14,597","2,265","2,508","2,362","2,172","7,731","2,893","5,314","3,604","7,637","5,610","21,591","2,840","150,156","5,587","7,386","47,687","3,384","2,253","46,796","5,052","4,924","3,232","13,796","4,358","86,586","26,715","2,398","7,461"
"        No vehicle available","79","139","232","1,033","81","27","15","69","0","67","122","143","54","27","27","434","125","85","45","51","20","50","708","137","6","238","74","24","23","161","21","82","9","23","518","44","79","53","42","27","15","110","314","9","159","111","249","63","8","9","9","110","42","143","27","186","59","233","23","1,506","32","174","388","20","46","437","22","81","0","64","114","1,938","235","12","71"
"        1 vehicle available","1,348","1,194","2,124","17,966","1,919","639","312","1,240","831","1,323","1,071","1,313","391","1,213","1,349","8,251","4,207","4,258","1,152","510","877","993","7,791","856","372","6,528","773","2,530","1,211","1,846","1,046","2,074","385","989","6,146","984","306","756","373","519","561","1,108","4,052","679","645","2,931","2,855","654","506","390","243","1,727","432","1,352","380","1,319","1,029","3,666","521","38,328","845","1,939","6,233","547","248","10,514","656","662","427","3,867","563","16,259","4,719","375","871"
"        2 vehicles available","3,222","2,464","5,271","49,331","5,314","1,368","593","3,137","1,439","3,274","2,027","3,984","945","2,824","2,322","18,828","9,797","7,148","2,454","1,008","1,420","2,584","22,287","2,407","1,025","14,001","2,373","7,221","3,095","4,275","1,694","5,876","1,235","1,879","8,330","3,865","894","2,637","752","987","1,842","2,645","12,617","1,776","1,656","6,043","6,106","1,018","905","1,152","686","2,788","861","1,907","1,194","3,600","2,613","9,545","1,327","67,228","2,367","2,366","23,296","1,214","636","20,052","2,053","1,967","1,078","5,277","1,647","39,355","10,387","1,196","2,672"
"        3 or more vehicles available","2,192","2,346","4,527","41,278","5,824","1,435","945","4,740","491","2,626","1,703","2,933","1,277","3,075","3,351","13,847","8,460","5,080","2,243","802","1,315","2,590","18,519","2,231","1,881","11,107","3,180","5,866","2,700","4,669","1,754","5,357","1,684","1,734","6,613","3,179","722","2,012","810","1,258","1,886","3,038","11,724","3,047","1,778","5,109","5,387","530","1,089","811","1,234","3,106","1,558","1,912","2,003","2,532","1,909","8,147","969","43,094","2,343","2,907","17,770","1,603","1,323","15,793","2,321","2,214","1,727","4,588","2,034","29,034","11,374","815","3,847"
