COUNTY,POP2000,PNW2000,POP2010,PNW2010,POP2020,PNW2020,MINC2000,MICPI2000,MINC2010,MICPI2010,MINC2020,MICPI2020,MGR2000,MGRCP2000,MGR2010,MGRCP2010,MGR2020,MGRCP2020
Arkansas,20749.0,23.687888572943276,19019.0,28.182343971817655,17149.0,31.78610997725815,30316.0,55162.24657894737,37230.0,53594.689975300236,51000.0,62403.255321972814,392.0,713.2735406698565,572.0,823.4263407432644,645.0,789.217640836715
Ashley,24209.0,29.69969845925069,21853.0,30.705166338717795,19062.0,32.02182352323995,31758.0,57786.07424641149,34934.0,50289.46816000909,43601.0,53349.888927320324,414.0,753.3041985645933,470.0,676.5915736876474,530.0,648.5044180518744
Baxter,38386.0,0.9091856405981348,41513.0,3.0881892419242165,41627.0,7.538376534460807,29106.0,52960.56039473684,35606.0,51256.85015472845,43504.0,53231.20038288442,435.0,791.5152811004785,585.0,842.1405757601568,722.0,883.4343204404779
Benton,153406.0,8.967054743621501,221339.0,17.404072486095988,284333.0,29.242121034139547,40281.0,73294.3150299043,50434.0,72602.59452630384,71556.0,87555.43799645267,528.0,960.7357894736842,715.0,1029.2829259290804,945.0,1156.295613318908
Boone,33948.0,1.846942382467303,36903.0,3.465842885402271,37373.0,8.682738875658899,29988.0,54565.425861244024,36977.0,53230.48217074071,46392.0,56764.93766464633,414.0,753.3041985645933,532.0,765.8440791528263,638.0,780.6524881454638
Bradley,12600.0,35.93650793650794,11508.0,39.74626346889121,10545.0,44.14414414414414,24821.0,45163.679982057416,29908.0,43054.25699117054,41808.0,51155.98624511842,326.0,593.181566985646,547.0,787.4374272492406,565.0,691.3301815081302
Calhoun,5744.0,24.094707520891365,5368.0,25.465722801788374,4739.0,25.321797847647183,28438.0,51745.08405502393,32450.0,46713.609715242885,50441.0,61719.266699914326,368.0,669.6037320574163,524.0,754.3276268347387,647.0,791.6648273199296
Carroll,25357.0,5.627637338801908,27446.0,10.39495737083728,28260.0,22.32130219391366,27924.0,50809.82232057417,34235.0,49283.21813871618,48249.0,59037.150314311104,433.0,787.8761303827752,556.0,800.3934361070892,576.0,704.7897071658106
Chicot,14117.0,54.182900049585605,11800.0,58.779661016949156,10208.0,61.27547021943574,22024.0,40074.327703349285,21676.0,31203.827555858392,33523.0,41018.516238401855,336.0,611.3773205741627,463.0,666.5146779093207,568.0,695.0009612329521
Clark,23546.0,23.88516096152213,22995.0,28.16699282452707,21446.0,33.24629301501445,28845.0,52485.65122607656,31968.0,46019.743463078106,39500.0,48331.933043488745,396.0,720.5518421052632,566.0,814.7890015046987,600.0,734.1559449643861
