OBJECTID,COUNTY,STATEFIPS,COUNTYFIPS,POP1900,POP1910,POP1920,POP1930,POP1940,POP1950,POP1960,POP1970,POP1980,POP1990,POP2000,POP2010,POP2020,EFF_DATE,REV_DATE,REV_TYPE,SQ_MILES,Shape_STAr,Shape_STLe,countynm,fipscode,proptot,prptotcpi,croptot,counts,injuries,deaths,dmgpercnt,income,pop,white,pernonwht
1,Montgomery,05097,097,9444.000000000000000,12455.000000000000000,11112.000000000000000,10768.000000000000000,8876.000000000000000,6680.000000000000000,5370.000000000000000,5821.000000000000000,7771.000000000000000,7841.000000000000000,9245.000000000000000,9487.000000000000000,8484.000000000000000, , , ,800.348624829999949,2072893422.157249927520752,187323.658403198001906,Montgomery,97,3590000,4869851.699000000022352,0,62,0,0,78545.995139999999083,41165,8484,7577,10.690711930000001
2,Pike,05109,109,10301.000000000000000,12565.000000000000000,12397.000000000000000,11792.000000000000000,11786.000000000000000,10032.000000000000000,7864.000000000000000,8711.000000000000000,10373.000000000000000,10086.000000000000000,11303.000000000000000,11291.000000000000000,10171.000000000000000, , , ,613.492408479999995,1588938043.545340061187744,227880.181234844989376,Pike,109,1300000,1758902.399999999906868,0,45,0,0,39086.719989999997779,42983,10171,8681,14.649493659999999
3,Hempstead,05057,057,24101.000000000000000,28285.000000000000000,31602.000000000000000,30847.000000000000000,32770.000000000000000,25080.000000000000000,19661.000000000000000,19308.000000000000000,23635.000000000000000,21621.000000000000000,23587.000000000000000,22609.000000000000000,20065.000000000000000, , , ,740.441336279999973,1917734257.130470037460327,254776.962868561997311,Hempstead,57,40285000,73155334.000000000000000,0,40,1,0,1828883.350000000093132,45484,20065,11006,45.148268129999998
4,St. Francis,05123,123,17157.000000000000000,22548.000000000000000,28385.000000000000000,33394.000000000000000,36043.000000000000000,36841.000000000000000,33303.000000000000000,30799.000000000000000,30858.000000000000000,28497.000000000000000,29329.000000000000000,28258.000000000000000,23090.000000000000000, , , ,642.675866690000021,1664522853.298559904098511,200638.828439965000143,St. Francis,123,109000,197080.467899999988731,0,48,0,0,4105.843080999999984,36053,23090,9551,58.635773059999998
5,Crittenden,05035,035,14529.000000000000000,22447.000000000000000,29309.000000000000000,39717.000000000000000,42473.000000000000000,47184.000000000000000,47564.000000000000000,48106.000000000000000,49499.000000000000000,49939.000000000000000,50866.000000000000000,50902.000000000000000,48163.000000000000000, , , ,643.481983160000027,1666610685.387670040130615,252954.542887952993624,Crittenden,35,105000,190386.672499999986030,0,52,3,1,3661.282164000000193,42384,48163,19276,59.977576149999997
6,Cross,05037,037,11051.000000000000000,14042.000000000000000,18579.000000000000000,25723.000000000000000,26046.000000000000000,24757.000000000000000,19551.000000000000000,19783.000000000000000,20434.000000000000000,19225.000000000000000,19526.000000000000000,17870.000000000000000,16833.000000000000000, , , ,622.401323169999955,1612012026.654599905014038,165972.405184853996616,Cross,37,1033000,1869828.277000000001863,0,51,0,0,36663.299550000003364,44379,16833,12213,27.446088039999999
7,Woodruff,05147,147,16304.000000000000000,20049.000000000000000,21547.000000000000000,22682.000000000000000,22133.000000000000000,18957.000000000000000,13954.000000000000000,11566.000000000000000,11222.000000000000000,9520.000000000000000,8741.000000000000000,7260.000000000000000,6269.000000000000000, , , ,594.027887179999993,1538525164.800169944763184,261937.577914358000271,Woodruff,147,12065000,17408327.460000000894070,0,57,0,0,305409.253599999996368,40331,6269,4255,32.126335939999997
8,White,05145,145,24864.000000000000000,28574.000000000000000,34603.000000000000000,38269.000000000000000,37176.000000000000000,38040.000000000000000,32745.000000000000000,39253.000000000000000,50835.000000000000000,54676.000000000000000,67165.000000000000000,77076.000000000000000,76822.000000000000000, , , ,1041.508554279999998,2697494772.057600021362305,339068.924354952992871,White,145,19405000,28043383.969999998807907,0,63,2,1,445133.078800000017509,44000,76822,65237,15.080315530000000
9,Faulkner,05045,045,20780.000000000000000,23708.000000000000000,27681.000000000000000,28381.000000000000000,25880.000000000000000,25289.000000000000000,24303.000000000000000,31572.000000000000000,46192.000000000000000,60006.000000000000000,86014.000000000000000,113237.000000000000000,123498.000000000000000, , , ,663.608180029999971,1718737295.976929903030396,220192.941373784997268,Faulkner,45,17785000,25215657.859999999403954,0,67,0,0,376353.102499999979045,54191,123498,94088,23.814150840000000
10,Conway,05029,029,19772.000000000000000,22729.000000000000000,22578.000000000000000,21949.000000000000000,21536.000000000000000,18137.000000000000000,15430.000000000000000,16805.000000000000000,19505.000000000000000,19151.000000000000000,20336.000000000000000,21273.000000000000000,20715.000000000000000, , , ,566.051953710000021,1466067829.762150049209595,208537.692782583006192,Conway,29,12395000,17887153.339999999850988,0,68,0,1,263046.372600000002421,44456,20715,16367,20.989621050000000
47,Yell,05149,149,22750.000000000000000,26323.000000000000000,25655.000000000000000,21313.000000000000000,20970.000000000000000,14057.000000000000000,11940.000000000000000,14208.000000000000000,17026.000000000000000,17759.000000000000000,21139.000000000000000,22185.000000000000000,20263.000000000000000, , , ,947.800290150000023,2454791482.131460189819336,283025.812132400984410,Yell,149,13625000,19555751.989999998360872,0,63,0,0,310408.761699999973644,47981,20263,15330,24.344865020000000
48,Bradley,05011,011,9651.000000000000000,14518.000000000000000,15970.000000000000000,17494.000000000000000,18097.000000000000000,15987.000000000000000,14029.000000000000000,12778.000000000000000,13803.000000000000000,11793.000000000000000,12600.000000000000000,11508.000000000000000,10545.000000000000000, , , ,652.409774579999976,1689733559.022000074386597,251245.195414359011920,Bradley,11,50000,68139.731769999998505,0,38,0,0,1793.150836000000027,41808,10545,5890,44.144144140000002
49,Calhoun,05013,013,8539.000000000000000,9894.000000000000000,11807.000000000000000,9752.000000000000000,9636.000000000000000,7132.000000000000000,5991.000000000000000,5573.000000000000000,6079.000000000000000,5826.000000000000000,5744.000000000000000,5368.000000000000000,4739.000000000000000, , , ,631.931114650000040,1636694073.286870002746582,257909.491128683992429,Calhoun,13,50000,68139.731769999998505,0,37,0,0,1841.614372000000003,50441,4739,3539,25.321797849999999
50,Ouachita,05103,103,20892.000000000000000,21774.000000000000000,20636.000000000000000,29890.000000000000000,31151.000000000000000,33051.000000000000000,31641.000000000000000,30896.000000000000000,30541.000000000000000,30574.000000000000000,28790.000000000000000,26120.000000000000000,22650.000000000000000, , , ,739.182471839999948,1914473813.192579984664917,288802.267840783984866,Ouachita,103,60000,81358.804799999998068,0,41,0,0,1984.361092999999983,38279,22650,12194,46.163355410000001
11,Newton,05101,101,12538.000000000000000,10612.000000000000000,11199.000000000000000,10564.000000000000000,10881.000000000000000,8685.000000000000000,5963.000000000000000,5844.000000000000000,7756.000000000000000,7666.000000000000000,8608.000000000000000,8330.000000000000000,7225.000000000000000, , , ,822.719879849999984,2130834706.661509990692139,197716.516923751012655,Newton,101,1265000,1830759.544999999925494,0,108,1,0,16951.477269999999407,39542,7225,6689,7.418685121000000
12,Van Buren,05141,141,11220.000000000000000,13509.000000000000000,13666.000000000000000,11962.000000000000000,12518.000000000000000,9687.000000000000000,7228.000000000000000,8275.000000000000000,13357.000000000000000,14008.000000000000000,16192.000000000000000,17295.000000000000000,15796.000000000000000, , , ,723.392143509999983,1873577050.555490016937256,202839.569219522003550,Van Buren,141,26820000,39207685.979999996721745,0,81,0,0,484045.505999999993946,40442,15796,14485,8.299569511000000
13,Pulaski,05119,119,63179.000000000000000,86751.000000000000000,109464.000000000000000,137727.000000000000000,156085.000000000000000,196685.000000000000000,242980.000000000000000,287189.000000000000000,340613.000000000000000,349660.000000000000000,361474.000000000000000,382748.000000000000000,399125.000000000000000, , , ,806.819220180000002,2089652187.189379930496216,284100.142875177029055,Pulaski,119,49150000,66947483.979999996721745,0,73,2,6,917088.821600000024773,52930,399125,199197,50.091575319999997
14,Lonoke,05085,085,22544.000000000000000,27983.000000000000000,33400.000000000000000,33759.000000000000000,29802.000000000000000,27278.000000000000000,24551.000000000000000,26249.000000000000000,34518.000000000000000,39268.000000000000000,52828.000000000000000,68356.000000000000000,74015.000000000000000, , , ,803.059738980000020,2079915175.569410085678101,246133.113063683005748,Lonoke,85,3605000,4900531.758999999612570,0,62,0,2,79040.834830000007059,59278,74015,61624,16.741201109999999
15,Prairie,05117,117,11875.000000000000000,13853.000000000000000,17447.000000000000000,15187.000000000000000,15304.000000000000000,13768.000000000000000,10515.000000000000000,10249.000000000000000,10140.000000000000000,9518.000000000000000,9539.000000000000000,8715.000000000000000,8282.000000000000000, , , ,675.171172790000014,1748685309.731709957122803,269114.356605435023084,Prairie,117,1370000,1853672.789000000106171,0,57,1,1,32520.575239999998303,42754,8282,6964,15.914030430000000
16,Desha,05041,041,11511.000000000000000,15274.000000000000000,20297.000000000000000,21814.000000000000000,27160.000000000000000,25155.000000000000000,20770.000000000000000,18761.000000000000000,19760.000000000000000,16798.000000000000000,15341.000000000000000,13008.000000000000000,11395.000000000000000, , , ,812.518111279999971,2104412247.375669956207275,395288.547125426994171,Desha,41,50000,68139.731769999998505,0,40,0,0,1703.493294000000105,31855,11395,4845,57.481351470000000
17,Phillips,05107,107,26561.000000000000000,33535.000000000000000,44530.000000000000000,40683.000000000000000,45970.000000000000000,46254.000000000000000,43997.000000000000000,40046.000000000000000,34772.000000000000000,28838.000000000000000,26445.000000000000000,21757.000000000000000,16568.000000000000000, , , ,727.285183930000017,1883659978.964989900588989,283668.916064177989028,Phillips,107,108000,195364.545699999987846,0,35,0,0,5581.844164000000092,33724,16568,5616,66.103331720000000
18,Independence,05063,063,22557.000000000000000,24776.000000000000000,23976.000000000000000,24225.000000000000000,25643.000000000000000,23488.000000000000000,20048.000000000000000,22723.000000000000000,30147.000000000000000,31192.000000000000000,34233.000000000000000,36647.000000000000000,37938.000000000000000, , , ,771.221348590000048,1997454123.016200065612793,228000.641945339011727,Independence,63,51940000,75892320.489999994635582,0,74,0,0,1025571.898999999975786,48972,37938,32108,15.367178030000000
19,Jackson,05067,067,18383.000000000000000,23501.000000000000000,25446.000000000000000,27943.000000000000000,26427.000000000000000,25912.000000000000000,22843.000000000000000,20452.000000000000000,21646.000000000000000,18944.000000000000000,18418.000000000000000,17997.000000000000000,16755.000000000000000, , , ,641.367540309999981,1661134303.539570093154907,241189.485153677000199,Jackson,67,37525000,54796597.429999999701977,0,67,0,0,817859.663100000005215,37885,16755,12890,23.067740969999999
20,Mississippi,05093,093,16384.000000000000000,30468.000000000000000,47320.000000000000000,69289.000000000000000,80217.000000000000000,82375.000000000000000,70174.000000000000000,62060.000000000000000,59517.000000000000000,57525.000000000000000,51979.000000000000000,46480.000000000000000,40685.000000000000000, , , ,931.483413329999962,2412530965.191410064697266,297298.133985269989353,Mississippi,93,126010,227870.787400000001071,0,60,0,3,3797.846456000000217,42986,40685,23208,42.956863710000000
21,Greene,05055,055,16979.000000000000000,23852.000000000000000,26105.000000000000000,26127.000000000000000,30204.000000000000000,29149.000000000000000,25198.000000000000000,24765.000000000000000,30744.000000000000000,31804.000000000000000,37331.000000000000000,42090.000000000000000,45736.000000000000000, , , ,579.611485229999971,1501186855.173389911651611,195385.883190435008146,Greene,55,8818020,13560438.800000000745058,0,66,0,0,205461.193900000012945,50083,45736,41038,10.271995799999999
22,Clay,05021,021,15886.000000000000000,23690.000000000000000,27276.000000000000000,27278.000000000000000,28386.000000000000000,26674.000000000000000,21258.000000000000000,18771.000000000000000,20616.000000000000000,18107.000000000000000,17609.000000000000000,16083.000000000000000,14552.000000000000000, , , ,641.693249169999945,1661977885.627170085906982,230199.481998131988803,Clay,21,3555020,6028271.731999999843538,0,63,0,1,95686.852889999994659,37933,14552,13731,5.641836174000000
23,Randolph,05121,121,17156.000000000000000,18987.000000000000000,17713.000000000000000,16871.000000000000000,18319.000000000000000,15982.000000000000000,12520.000000000000000,12645.000000000000000,16834.000000000000000,16558.000000000000000,18195.000000000000000,17969.000000000000000,18571.000000000000000, , , ,655.915589559999944,1698813578.118560075759888,217780.741549758007750,Randolph,121,2030020,3278146.913999999873340,0,68,1,0,48208.042849999997998,42844,18571,16684,10.161003720000000
24,Lawrence,05075,075,16491.000000000000000,20001.000000000000000,22098.000000000000000,21663.000000000000000,22651.000000000000000,21303.000000000000000,17267.000000000000000,16320.000000000000000,18447.000000000000000,17457.000000000000000,17774.000000000000000,17415.000000000000000,16216.000000000000000, , , ,592.267881210000041,1533966770.271899938583374,208267.284565725014545,Lawrence,75,1427020,2446567.256000000052154,0,70,0,1,34950.960789999997360,40587,16216,15044,7.227429699000000
25,Baxter,05005,005,9298.000000000000000,10389.000000000000000,10216.000000000000000,9519.000000000000000,10281.000000000000000,11683.000000000000000,9943.000000000000000,15319.000000000000000,27409.000000000000000,31186.000000000000000,38386.000000000000000,41513.000000000000000,41627.000000000000000, , , ,586.292016020000005,1518489350.479789972305298,214351.256109084992204,Baxter,5,53935000,78511144.930000007152557,0,106,2,1,740671.178599999984726,43504,41627,38489,7.538376534000000
26,Marion,05089,089,11377.000000000000000,10203.000000000000000,10154.000000000000000,8876.000000000000000,9464.000000000000000,8609.000000000000000,6041.000000000000000,7000.000000000000000,11334.000000000000000,12001.000000000000000,16140.000000000000000,16653.000000000000000,16826.000000000000000, , , ,639.723788770000056,1656877006.600179910659790,213041.408831985987490,Marion,89,60325000,87040274.760000005364418,0,91,1,2,956486.535799999954179,38426,16826,15569,7.470581243000000
27,Perry,05105,105,7294.000000000000000,9402.000000000000000,9905.000000000000000,7695.000000000000000,8392.000000000000000,5978.000000000000000,4927.000000000000000,5634.000000000000000,7266.000000000000000,7969.000000000000000,10209.000000000000000,10445.000000000000000,10019.000000000000000, , , ,560.329275680000023,1451246161.707020044326782,235283.895090131001780,Perry,105,12380000,17866625.589999999850988,0,64,0,0,279166.024800000013784,44926,10019,9165,8.523804771000000
28,Jefferson,05069,069,40972.000000000000000,52734.000000000000000,60330.000000000000000,64154.000000000000000,65101.000000000000000,76075.000000000000000,81373.000000000000000,85329.000000000000000,90718.000000000000000,85487.000000000000000,84278.000000000000000,77435.000000000000000,67260.000000000000000, , , ,915.496378739999955,2371124735.676109790802002,284952.017442328971811,Jefferson,69,545000,732771.372699999948964,0,63,0,0,11631.291629999999714,40402,67260,25478,62.120130840000002
43,Garland,05051,051,18773.000000000000000,27271.000000000000000,25785.000000000000000,36031.000000000000000,41664.000000000000000,47102.000000000000000,46697.000000000000000,54131.000000000000000,70531.000000000000000,73397.000000000000000,88068.000000000000000,96024.000000000000000,100180.000000000000000, , , ,733.904541730000005,1900804036.962059974670410,198814.646225158008747,Garland,51,12900000,17545397.760000001639128,0,62,0,0,282990.286399999982677,48150,100180,78837,21.304651629999999
44,Saline,05125,125,13122.000000000000000,16657.000000000000000,16781.000000000000000,15660.000000000000000,19163.000000000000000,23816.000000000000000,28956.000000000000000,36107.000000000000000,53161.000000000000000,64183.000000000000000,83529.000000000000000,107118.000000000000000,123416.000000000000000, , , ,729.874009959999967,1890365007.591779947280884,259301.378528297995217,Saline,125,10500000,14291328.119999999180436,0,65,0,1,219866.586500000004889,66876,123416,98388,20.279380310000001
29,Washington,05143,143,34256.000000000000000,33889.000000000000000,35468.000000000000000,39255.000000000000000,41114.000000000000000,49979.000000000000000,55797.000000000000000,77370.000000000000000,100494.000000000000000,113409.000000000000000,157715.000000000000000,203065.000000000000000,245871.000000000000000, , , ,951.732249929999966,2464975211.221260070800781,227667.996564097993542,Washington,143,46080000,67738122.099999994039536,0,51,1,2,1328198.472999999998137,52380,245871,168351,31.528728480000002
30,Crawford,05033,033,21270.000000000000000,23942.000000000000000,25739.000000000000000,22549.000000000000000,23920.000000000000000,22727.000000000000000,21318.000000000000000,25677.000000000000000,36892.000000000000000,42493.000000000000000,53247.000000000000000,61948.000000000000000,60133.000000000000000, , , ,605.394535590000032,1567964649.026849985122681,217242.573765506997006,Crawford,33,955000,1321066.254999999888241,0,32,0,0,41283.320480000002135,48980,60133,48610,19.162523069999999
31,Little River,05081,081,13731.000000000000000,13597.000000000000000,16301.000000000000000,15515.000000000000000,15932.000000000000000,11690.000000000000000,9211.000000000000000,11194.000000000000000,13952.000000000000000,13966.000000000000000,13628.000000000000000,13171.000000000000000,12026.000000000000000, , , ,563.048357669999973,1458288551.709680080413818,321191.770679990993813,Little River,81,40105000,72942792.159999996423721,0,37,0,0,1971426.814999999944121,48966,12026,8714,27.540329289999999
32,Miller,05091,091,17558.000000000000000,19555.000000000000000,24021.000000000000000,30586.000000000000000,31874.000000000000000,32614.000000000000000,31686.000000000000000,33385.000000000000000,37766.000000000000000,38467.000000000000000,40443.000000000000000,43462.000000000000000,42600.000000000000000, , , ,638.148309609999956,1652796534.313220024108887,283618.687266569992062,Miller,91,40539000,73464503.909999996423721,0,40,0,0,1836612.597999999998137,45391,42600,28036,34.187793429999999
33,Lafayette,05073,073,10594.000000000000000,13741.000000000000000,15522.000000000000000,16934.000000000000000,16851.000000000000000,13203.000000000000000,11030.000000000000000,10018.000000000000000,10213.000000000000000,9643.000000000000000,8559.000000000000000,7645.000000000000000,6308.000000000000000, , , ,545.364695669999946,1412488077.402930021286011,245087.994528284005355,Lafayette,73,40050000,72878745.319999992847443,0,36,0,0,2024409.591999999945983,33763,6308,3906,38.078630310000001
34,Columbia,05027,027,22077.000000000000000,23820.000000000000000,27670.000000000000000,27320.000000000000000,29822.000000000000000,28770.000000000000000,26400.000000000000000,25952.000000000000000,26644.000000000000000,25691.000000000000000,25603.000000000000000,24552.000000000000000,22801.000000000000000, , , ,766.250292019999961,1984579145.627399921417236,189841.152747407992138,Columbia,27,40050000,72878745.319999992847443,0,37,0,0,1969695.818999999901280,37609,22801,13371,41.357835180000002
35,Union,05139,139,22495.000000000000000,30723.000000000000000,29691.000000000000000,55800.000000000000000,50461.000000000000000,49686.000000000000000,49518.000000000000000,45428.000000000000000,48573.000000000000000,46719.000000000000000,45629.000000000000000,41639.000000000000000,39054.000000000000000, , , ,1054.557520659999909,2731291439.832059860229492,302654.791272726026364,Union,139,40050000,72878745.319999992847443,0,38,0,0,1917861.719000000040978,45293,39054,23216,40.554104570000000
36,Ashley,05003,003,19734.000000000000000,25268.000000000000000,23410.000000000000000,25151.000000000000000,26785.000000000000000,25660.000000000000000,24220.000000000000000,24976.000000000000000,26538.000000000000000,24319.000000000000000,24209.000000000000000,21853.000000000000000,19062.000000000000000, , , ,939.948299099999986,2434454918.688300132751465,238029.330992500996217,Ashley,3,2065000,3473417.981999999843538,20000,24,0,0,144725.749299999995856,43601,19062,12958,32.021823519999998
37,Chicot,05017,017,14528.000000000000000,21987.000000000000000,21749.000000000000000,22646.000000000000000,27452.000000000000000,22306.000000000000000,18990.000000000000000,18164.000000000000000,17793.000000000000000,15713.000000000000000,14117.000000000000000,11800.000000000000000,10208.000000000000000, , , ,690.837275019999993,1789260328.240639925003052,282419.511713491985574,Chicot,17,2185000,3606783.166999999899417,20000,23,0,0,156816.659400000004098,33523,10208,3953,61.275470220000003
38,Benton,05007,007,31611.000000000000000,33389.000000000000000,36253.000000000000000,35253.000000000000000,36148.000000000000000,38076.000000000000000,36272.000000000000000,50476.000000000000000,78115.000000000000000,97499.000000000000000,153406.000000000000000,221339.000000000000000,284333.000000000000000, , , ,884.083988579999982,2289767018.656420230865479,259122.134404987009475,Benton,7,30280000,44353105.229999996721745,0,54,0,0,821353.800599999958649,71556,284333,201188,29.242121030000000
39,Carroll,05015,015,18848.000000000000000,16829.000000000000000,17786.000000000000000,15820.000000000000000,14737.000000000000000,13244.000000000000000,11284.000000000000000,12301.000000000000000,16203.000000000000000,18654.000000000000000,25357.000000000000000,27446.000000000000000,28260.000000000000000, , , ,638.268732399999976,1653108427.906769990921021,212321.545807882008376,Carroll,15,17580000,25859156.780000001192093,0,50,0,0,517183.135599999979604,48249,28260,21952,22.321302190000001
40,Madison,05087,087,19864.000000000000000,16056.000000000000000,14918.000000000000000,13334.000000000000000,14531.000000000000000,11734.000000000000000,9068.000000000000000,9453.000000000000000,11373.000000000000000,11618.000000000000000,14243.000000000000000,15717.000000000000000,16521.000000000000000, , , ,836.495724790000054,2166513981.264810085296631,215253.217071630991995,Madison,87,16350000,23955908.980000000447035,0,55,0,0,435561.981499999994412,41446,16521,14275,13.594818719999999
41,Sebastian,05131,131,36935.000000000000000,52278.000000000000000,56739.000000000000000,54426.000000000000000,62809.000000000000000,64202.000000000000000,66685.000000000000000,79237.000000000000000,95172.000000000000000,99590.000000000000000,115071.000000000000000,125744.000000000000000,127799.000000000000000, , , ,544.216345960000012,1409513865.292659997940063,216357.218689088011160,Sebastian,131,650000,856447.199999999953434,0,31,0,0,27627.329030000000785,47878,127799,86828,32.058936299999999
42,Sevier,05133,133,16339.000000000000000,16616.000000000000000,18301.000000000000000,16364.000000000000000,15248.000000000000000,12293.000000000000000,10156.000000000000000,11272.000000000000000,14060.000000000000000,13637.000000000000000,15757.000000000000000,17058.000000000000000,15839.000000000000000, , , ,581.014879909999991,1504821630.699810028076172,254402.171133230993291,Sevier,133,205100000,373174658.800000011920929,0,41,2,2,9101820.946000000461936,47872,15839,9594,39.427994190000000
45,Franklin,05047,047,17395.000000000000000,20638.000000000000000,19364.000000000000000,15762.000000000000000,15683.000000000000000,12358.000000000000000,10213.000000000000000,11301.000000000000000,14705.000000000000000,14897.000000000000000,17771.000000000000000,18125.000000000000000,17097.000000000000000, , , ,619.733937599999990,1605103529.734730005264282,219802.825678985012928,Franklin,47,880000,1168631.712000000057742,0,32,0,0,36519.741009999997914,37561,17097,15367,10.118734280000000
46,Logan,05083,083,20563.000000000000000,26350.000000000000000,25866.000000000000000,24110.000000000000000,25967.000000000000000,20260.000000000000000,15957.000000000000000,16789.000000000000000,20144.000000000000000,20557.000000000000000,22486.000000000000000,22353.000000000000000,21131.000000000000000, , , ,729.417171260000032,1889181800.782040119171143,259551.978278472990496,Logan,83,13240000,19001089.339999999850988,0,74,0,0,256771.477500000008149,44232,21131,18826,10.908144430000000
51,Nevada,05099,099,16609.000000000000000,19344.000000000000000,21934.000000000000000,20407.000000000000000,19869.000000000000000,14781.000000000000000,10700.000000000000000,10111.000000000000000,11097.000000000000000,10101.000000000000000,9955.000000000000000,8997.000000000000000,8310.000000000000000, , , ,620.183834729999944,1606268757.970060110092163,203916.143128564988729,Nevada,99,40060000,72898552.150000005960464,0,40,0,1,1822463.804000000003725,39946,8310,5218,37.208182909999998
52,Clark,05019,019,21289.000000000000000,23686.000000000000000,25632.000000000000000,24932.000000000000000,24402.000000000000000,22998.000000000000000,20950.000000000000000,21537.000000000000000,23326.000000000000000,21437.000000000000000,23546.000000000000000,22995.000000000000000,21446.000000000000000, , , ,882.253143949999981,2285025152.851659774780273,305325.379203566000797,Clark,19,1200000,1627532.128999999957159,0,48,0,0,33906.919349999996484,39500,21446,14316,33.246293020000003
53,Dallas,05039,039,11518.000000000000000,12621.000000000000000,14424.000000000000000,14671.000000000000000,14471.000000000000000,12416.000000000000000,10522.000000000000000,10022.000000000000000,10515.000000000000000,9614.000000000000000,9210.000000000000000,8116.000000000000000,6482.000000000000000, , , ,667.473228859999949,1728747726.485549926757812,248330.113630219013430,Dallas,39,235000,314620.842699999979232,0,48,0,0,6554.600891000000047,35134,6482,3487,46.204875039999997
