COUNTY,FIPS,DMG,DMGCPI,HS,WS,WW,IS,COUNT,County_low,INJ,DTH,HOURS,INJ2000,DTH2000,INJ2010,DTH2010,INJ2020,DTH2020,DMG2000,DMGCP2000,COUNT2000,HS2000,WS2000,WW2000,IS2000,HOURS00,DMG2010,DMGCP2010,COUNT2010,HS2010,WS2010,WW2010,IS2010,HOURS10,DMG2020,DMGCP2020,COUNT2020,HS2020,WS2020,WW2020,IS2020,HOURS20,POP2000,PNW2000,MICPI2000,MGRCP2000,POP2010,PNW2010,MICPI2010,MGRCP2010,POP2020,PNW2020,MICPI2020,MGRCP2020,AG01,FOR01,URB01,WAT01,AG11,FOR11,URB11,WAT11,AG21,FOR21,URB21,WAT21,ELEV,TMP2000,PCP2000,SNW2000,TMP2010,PCP2010,SNW2010,TMP2020,PCP2020,SNW2020,DMGPOP2000,DMGPOP2010,DMGPOP2020,DPC2000,DPC2010,DPC2020
ARKANSAS,57,355000.0,473210.0171989006,5.0,14.0,29.0,7.0,55.0,Arkansas,0.0,0.0,717.8666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,0.0,3.0,125.96666666666667,355000.0,473210.0171989006,27.0,2.0,6.0,18.0,1.0,277.0,0.0,0.0,20.0,2.0,4.0,11.0,3.0,314.9,20749.0,23.68788857294328,55162.24657894737,713.2735406698565,19019.0,28.18234397181765,53594.68997530024,823.4263407432644,17149.0,31.78610997725815,62403.255321972814,789.217640836715,55.55455043510288,0.3967180385673677,3.702369235897264,3.8285126949081594,55.39458240184402,0.3855579103639911,3.75403525110386,4.162912503767037,55.15237347769509,0.581570679448906,3.9597061580691046,3.81517524757491,56.87616905419187,290.6490289526967,0.1047448995753059,0.0008194133000893248,290.79528147870815,0.102995545536943,0.0010303479286769,291.3946865456043,0.1193089092200977,0.0007566460163515947,0.0,24.880909469420082,0.0,0.0,0.9215151655340771,0.0
ASHLEY,74,2065000.0,3473417.9821823225,9.0,4.0,4.0,7.0,24.0,Ashley,0.0,0.0,294.26666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1160000.0,2207175.088794845,6.0,2.0,1.0,0.0,3.0,120.75,820000.0,1166372.8433441373,11.0,5.0,0.0,2.0,4.0,100.01666666666667,85000.0,99870.0500433399,7.0,2.0,3.0,2.0,0.0,73.5,24209.0,29.69969845925069,57786.07424641149,753.3041985645933,21853.0,30.705166338717795,50289.46816000909,676.5915736876474,19062.0,32.02182352323995,53349.88892732032,648.5044180518744,22.925322798775827,1.1562011232842897,5.065886617091223,2.286940661930001,23.31693426287619,1.118632347379644,5.113991121198919,1.781831632812815,23.533303688811326,0.5582594278065369,5.294355700078962,1.6008670697410017,43.56993108329733,291.5380153236047,0.1101705380661284,0.0004681798701207885,291.67676627895014,0.1062363123329728,0.0005488215208947911,292.2904317513116,0.1249473185242595,0.0004719971756681089,91.17167536019022,53.3735799818852,5.239222014654281,15.19527922669837,4.852143634716836,0.7484602878077544
BAXTER,5,53935000.0,78511144.93215738,16.0,27.0,59.0,4.0,106.0,Baxter,2.0,1.0,1268.45,2.0,1.0,0.0,0.0,0.0,0.0,110000.0,193108.0784766301,17.0,4.0,11.0,0.0,2.0,183.56666666666666,53825000.0,78318036.85368076,47.0,5.0,12.0,28.0,2.0,643.0,0.0,0.0,42.0,7.0,4.0,31.0,0.0,441.8833333333333,38386.0,0.9091856405981348,52960.56039473684,791.5152811004785,41513.0,3.0881892419242165,51256.85015472845,842.1405757601568,41627.0,7.538376534460807,53231.20038288442,883.4343204404779,16.693623554429095,46.096147775998766,7.247095898099013,5.958501687155083,16.020637019058164,44.79450985349401,7.342272488945643,6.161972206772489,15.090205104211972,45.4636116110949,8.347731758366479,6.189073908533467,233.80383525972672,288.2967725276043,0.0862100894955858,0.0029485499073734,288.4229892384974,0.0886381512054113,0.0028388333791506,289.0064870227594,0.0994905379005196,0.0017868907435208,5.030690316173347,1886.590630734487,0.0,0.29592295977490274,40.14022618584015,0.0
BENTON,1,30280000.0,44353105.23010781,13.0,32.0,1.0,8.0,54.0,Benton,0.0,0.0,1047.7333333333333,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,187199.96000822567,19.0,12.0,1.0,1.0,5.0,306.73333333333335,30150000.0,44140246.4964593,24.0,1.0,20.0,0.0,3.0,557.0,25000.0,25658.773640283107,11.0,0.0,11.0,0.0,0.0,184.0,153406.0,8.967054743621501,73294.3150299043,960.7357894736842,221339.0,17.404072486095988,72602.59452630384,1029.2829259290804,284333.0,29.242121034139547,87555.43799645267,1156.295613318908,39.497387978869895,40.88767578770892,11.30696193401111,4.09579608471211,37.32565857690363,39.597819609147685,13.47630158229027,4.259608835971272,35.19135277009432,38.56007727995677,16.23790701730642,4.292456116797032,379.1474870813488,287.86068933227165,0.0920633509868622,0.0035841311606599,288.02610026076195,0.0882666214870156,0.0033266077326605,288.5642499712923,0.1072380477052355,0.001803708073816,1.2202909925832475,199.42371880445515,0.0902419826058991,0.06422584171490776,8.309321616852298,0.008203816600536281
BOONE,3,50340000.0,73641728.38705577,15.0,29.0,63.0,10.0,117.0,Boone,0.0,1.0,1359.0833333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,4.0,11.0,0.0,2.0,196.56666666666666,50340000.0,73641728.38705577,56.0,5.0,11.0,37.0,3.0,731.6,0.0,0.0,44.0,6.0,7.0,26.0,5.0,430.9166666666667,33948.0,1.846942382467303,54565.42586124402,753.3041985645933,36903.0,3.465842885402271,53230.48217074071,765.8440791528263,37373.0,8.682738875658899,56764.93766464633,780.6524881454638,40.50331007111021,42.9474057601916,5.751970386975593,1.800785717979174,39.82220315712163,40.177229211905946,5.80149661940739,1.9838392365502011,39.17021890827898,39.62689812669925,6.870655678309558,2.022707335027891,362.20460615310384,287.7035629632816,0.0869428313941367,0.003578916137304,287.8861193024209,0.0864312152366143,0.003142694678117,288.43356258298985,0.101347421047097,0.0020867710986217,0.0,1995.5485566771204,0.0,0.0,35.634795654948576,0.0
BRADLEY,68,50000.0,68139.73177090334,4.0,7.0,22.0,5.0,38.0,Bradley,0.0,0.0,490.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,138.5,50000.0,68139.73177090334,21.0,1.0,3.0,17.0,0.0,193.5,0.0,0.0,9.0,3.0,0.0,5.0,1.0,158.85,12600.0,35.93650793650794,45163.679982057416,593.181566985646,11508.0,39.74626346889121,43054.25699117054,787.4374272492406,10545.0,44.14414414414414,51155.98624511842,691.3301815081302,3.868435032856109,2.307553937705052,4.532874302676817,0.6713572554295268,3.3811643183918703,2.168391308415361,4.576462871568209,0.6592567289212738,3.3036944005048903,1.778883422679829,4.800432916544424,0.6819402331125302,52.97612555879413,291.3204593737782,0.1091715789619576,0.0006562397406546226,291.4383834667172,0.1074487607501305,0.0007453259327353415,292.0645315588765,0.1269790474616839,0.0006492196090653575,0.0,5.921075058298865,0.0,0.0,0.2819559551570888,0.0
CALHOUN,67,50000.0,68139.73177090334,3.0,9.0,21.0,4.0,37.0,Calhoun,0.0,0.0,470.48333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,143.5,50000.0,68139.73177090334,21.0,0.0,3.0,18.0,0.0,188.0,0.0,0.0,8.0,3.0,2.0,3.0,0.0,138.98333333333335,5744.0,24.094707520891365,51745.08405502393,669.6037320574163,5368.0,25.46572280178837,46713.609715242885,754.3276268347387,4739.0,25.321797847647183,61719.266699914326,791.6648273199296,2.7539553576156366,2.578594021792349,4.967173901069505,0.6446618655565423,2.4772879826261875,2.3447481647461434,4.981022730912231,0.6470358706349221,2.357770391749561,1.054178926747967,5.180118299407569,0.6524387415916454,55.8995515393185,291.2331787272304,0.1082336817401489,0.0007894056983527609,291.36828302080903,0.1069052747220473,0.0008087543822245363,291.96579439629136,0.12558320258909,0.0007010189939546522,0.0,12.693690717381397,0.0,0.0,0.6044614627324475,0.0
CARROLL,2,17580000.0,25859156.778565623,13.0,29.0,1.0,7.0,50.0,Carroll,0.0,0.0,910.9833333333333,0.0,0.0,0.0,0.0,0.0,0.0,505000.0,898440.1704114986,20.0,12.0,1.0,1.0,6.0,278.98333333333335,17000000.0,24883740.287233274,22.0,1.0,20.0,0.0,1.0,482.5,75000.0,76976.32092084932,8.0,0.0,8.0,0.0,0.0,149.5,25357.0,5.627637338801908,50809.82232057417,787.8761303827752,27446.0,10.39495737083728,49283.21813871618,800.3934361070892,28260.0,22.32130219391366,59037.150314311104,704.7897071658106,37.843646872373135,43.86567698769832,5.321031221919636,1.4568367323658262,37.25967263890614,41.95840842877656,5.348183112701389,1.4795103589184408,36.95774796642159,41.42436640402977,6.224720276311238,1.4914932952273792,413.07988549351353,287.6149238283744,0.0861109134965838,0.0036686960717004,287.80993497660234,0.0825763675534488,0.0032975294522457,288.3399216340878,0.1012374146042782,0.0021233397976216,35.43164295506166,906.643601516916,2.7238613206245335,1.771582147753083,41.211072796223455,0.3404826650780667
CHICOT,75,2185000.0,3606783.167228999,8.0,3.0,4.0,8.0,23.0,Chicot,0.0,0.0,282.8666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1155000.0,2198077.212000587,5.0,1.0,1.0,0.0,3.0,118.33333333333333,880000.0,1233144.1778187423,11.0,3.0,0.0,3.0,5.0,90.2,150000.0,175561.77740966988,7.0,4.0,2.0,1.0,0.0,74.33333333333334,14117.0,54.182900049585605,40074.327703349285,611.3773205741627,11800.0,58.77966101694916,31203.827555858392,666.5146779093207,10208.0,61.27547021943574,41018.516238401855,695.0009612329521,64.9920800930693,0.0103122889143257,3.165253663458144,11.517014792410803,65.9585543200297,0.010161377369238,3.20566126532284,10.25835431173133,68.19123894486381,0.0084510465249108,3.412821981839573,7.722624903651607,35.19716006998116,291.4817266712729,0.108449887014216,0.0004238309604930639,291.64662438666403,0.102879476970724,0.0005156239199636857,292.257586524184,0.119984364470313,0.0004336639158852249,155.70427229585513,104.50374388294426,17.19844998135481,31.140854459171027,9.500340352994932,2.45692142590783
CLARK,53,1200000.0,1627532.128826266,5.0,13.0,23.0,7.0,48.0,Clark,0.0,0.0,733.9666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,6.0,0.0,4.0,196.5,1200000.0,1627532.128826266,23.0,2.0,3.0,17.0,1.0,265.0,0.0,0.0,14.0,2.0,4.0,6.0,2.0,272.46666666666664,23546.0,23.88516096152213,52485.65122607656,720.5518421052632,22995.0,28.16699282452707,46019.743463078106,814.7890015046987,21446.0,33.24629301501445,48331.933043488745,734.1559449643861,11.461002379521256,10.816773393230491,4.269042898140964,2.062526050534982,10.790453792777065,9.486278614888104,4.305688284016554,2.0685984983787327,10.5624457248926,7.253034352715749,4.599315988916784,2.075083545436676,94.82964388852491,290.64854188385846,0.1037880487173931,0.0010655854848983,290.7959139689611,0.1062991675815458,0.0010941888336938,291.39067079752823,0.1226691934779067,0.0006723113785736871,0.0,70.77765291699352,0.0,0.0,3.077289257260588,0.0
