COUNTY,FIPS,DMG,DMGCPI,County_low,DMG2000,DMGCP2000,COUNT2000,DMG2010,DMGCP2010,COUNT2010,DMG2020,DMGCP2020,COUNT2020,POP2000,PNW2000,MICPI2000,POP2010,PNW2010,MICPI2010,POP2020,PNW2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,PCP2000,TMP2010,PCP2010,TMP2020,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020,DPC2000,DPC2010,DPC2020
ARKANSAS,57,75000.0,99143.04770429332,Arkansas,0.0,0.0,3.0,75000.0,99143.04770429332,1.0,0.0,0.0,3.0,20749.0,23.69,55162.0,19019.0,28.18,53595.0,17149.0,31.79,62403.0,55.15237347467278,3.770430726627768,3.959706158427237,3.815175248475936,56.87616905419187,290.6490289526967,0.1047448995753059,290.7952814787081,0.102995545536943,291.3946865456043,0.1193089092200977,0.0,4.778208477723906,0.0,0.0,4.778208477723906,0.0
ASHLEY,74,1195000.0,2165692.1860867613,Ashley,960000.0,1827149.1935346778,3.0,235000.0,338542.99255208345,4.0,0.0,0.0,0.0,24209.0,29.7,57786.0,21853.0,30.71,50289.0,19062.0,32.02,53350.0,23.533303688233524,35.27477264341118,5.294355700124628,1.6008670696202316,43.56993108329733,291.5380153236047,0.1101705380661284,291.67676627895014,0.1062363123329728,292.2904317513116,0.1249473185242595,75.47396396111685,13.984179129748583,0.0,25.15798798703895,3.4960447824371457,
BAXTER,5,50025000.0,73221018.50190341,Baxter,0.0,0.0,2.0,50025000.0,73221018.50190341,2.0,0.0,0.0,0.0,38386.0,0.91,52961.0,41513.0,3.09,51257.0,41627.0,7.54,53231.0,15.09020510208974,67.0270363635813,8.347731758508996,6.189073907064214,233.80383525972672,288.2967725276043,0.0862100894955858,288.4229892384974,0.0886381512054113,289.0064870227594,0.0994905379005196,0.0,1907.4927969026055,0.0,0.0,953.7463984513028,
BENTON,1,30100000.0,44090292.912424244,Benton,100000.0,177810.05260081825,5.0,30000000.0,43912482.85982343,3.0,0.0,0.0,0.0,153406.0,8.97,73294.0,221339.0,17.4,72603.0,284333.0,29.24,87555.0,35.191352770360425,41.95948101042695,16.23790701820207,4.292456115293406,379.1474870813488,287.86068933227165,0.0920633509868622,288.02610026076195,0.0882666214870156,288.5642499712923,0.1072380477052355,1.1590814740024395,286.2501001253108,0.0,0.2318162948004879,95.41670004177026,
BOONE,3,50025000.0,73221018.50190341,Boone,0.0,0.0,2.0,50025000.0,73221018.50190341,3.0,0.0,0.0,5.0,33948.0,1.85,54565.0,36903.0,3.47,53230.0,37373.0,8.68,56765.0,39.17021890771692,47.67418970049193,6.870655678327846,2.022707335336277,362.20460615310384,287.7035629632816,0.0869428313941367,287.8861193024209,0.0864312152366143,288.43356258298985,0.101347421047097,0.0,2156.858091843508,0.0,0.0,718.9526972811694,0.0
BRADLEY,68,0.0,0.0,Bradley,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,12600.0,35.94,45164.0,11508.0,39.75,43054.0,10545.0,44.14,51156.0,3.3036944003832405,46.38368824789583,4.8004329161132855,0.6819402331046526,52.97612555879413,291.3204593737782,0.1091715789619576,291.4383834667172,0.1074487607501305,292.0645315588765,0.1269790474616839,0.0,0.0,0.0,0.0,,0.0
CALHOUN,67,0.0,0.0,Calhoun,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5744.0,24.09,51745.0,5368.0,25.47,46714.0,4739.0,25.32,61719.0,2.3577703919055155,47.65715877477261,5.180118299524236,0.6524387417480343,55.8995515393185,291.2331787272304,0.1082336817401489,291.36828302080903,0.1069052747220473,291.96579439629136,0.12558320258909,0.0,0.0,0.0,0.0,,
CARROLL,2,17500000.0,25772790.550237365,Carroll,500000.0,889050.2630040912,6.0,17000000.0,24883740.287233274,1.0,0.0,0.0,0.0,25357.0,5.63,50810.0,27446.0,10.39,49283.0,28260.0,22.32,59037.0,36.957747967043325,52.1664108383694,6.224720276597877,1.4914932951800342,413.07988549351353,287.6149238283744,0.0861109134965838,287.80993497660234,0.0825763675534488,288.3399216340878,0.1012374146042782,35.06133466120169,981.3361315310673,0.0,5.843555776866949,981.3361315310673,
CHICOT,75,1355000.0,2382978.6054738746,Chicot,955000.0,1818051.3167404195,3.0,400000.0,564927.2887334552,5.0,0.0,0.0,0.0,14117.0,54.18,40074.0,11800.0,58.78,31204.0,10208.0,61.28,41019.0,68.19123894026144,0.8447651510500593,3.412821982134843,7.722624905068395,35.19716006998116,291.4817266712729,0.108449887014216,291.64662438666403,0.102879476970724,292.257586524184,0.119984364470313,128.7845375604179,40.01751708815295,0.0,42.92817918680597,8.00350341763059,
CLARK,53,75000.0,99143.04770429332,Clark,0.0,0.0,4.0,75000.0,99143.04770429332,1.0,0.0,0.0,2.0,23546.0,23.89,52486.0,22995.0,28.17,46020.0,21446.0,33.25,48332.0,10.562445727162457,58.245286448668864,4.599315989387099,2.075083545474888,94.82964388852491,290.64854188385846,0.1037880487173931,290.7959139689611,0.1062991675815458,291.39067079752823,0.1226691934779067,0.0,4.210611046644582,0.0,0.0,4.210611046644582,0.0
