Factors,mean,standard deviation,min,max
FIPS,38.0,21.79449471770337,1.0,75.0
DMG,20031561.333333332,29091617.33226407,50000.0,205100000.0
DMGCP,31661145.96,50178443.66673418,68140.0,373174659.0
INJ,0.36,0.7822351896277058,0.0,4.0
DTH,0.49333333333333335,1.0050323826076903,0.0,6.0
DMG2000,7273454.666666667,26237487.006977633,0.0,205050000.0
DMGCP2000,13225035.533333333,47744477.15314536,0.0,373108680.0
INJ2000,0.02666666666666667,0.23094010767585077,0.0,2.0
DTH2000,0.06666666666666667,0.2511236011669612,0.0,1.0
DMG2010,12737760.0,18420072.291902628,0.0,60325000.0
DMGCP2010,18412874.906666666,26748401.467169452,0.0,87040275.0
INJ2010,0.30666666666666664,0.7347243155223734,0.0,4.0
DTH2010,0.37333333333333335,0.7492939619678253,0.0,4.0
DMG2020,20346.666666666668,64983.46844522209,0.0,469000.0
DMGCP2020,23235.493333333332,75394.60237533192,0.0,546145.0
INJ2020,0.02666666666666667,0.2309401076758504,0.0,2.0
DTH2020,0.05333333333333334,0.4618802153517008,0.0,4.0
POP2000,35645.333333333336,48970.59247287237,5744.0,361474.0
PNW2000,17.622533333333333,17.006616128558445,0.0,59.64
POP2010,38878.90666666667,56654.89276744924,5368.0,382748.0
PNW2010,21.2516,17.31134974049793,2.49,64.99
POP2020,40153.653333333335,63779.749059724614,4739.0,399125.0
PNW2020,26.302933333333332,16.618471876062955,5.64,66.1
MINC2000,29057.68,4396.411012190296,20510.0,42569.0
MICPI2000,52872.6,7999.609791159243,37319.0,77458.0
MINC2010,34982.706666666665,5841.37499495724,21676.0,51589.0
MICPI2010,50359.58666666667,8408.999434475485,31204.0,74265.0
MINC2020,43624.306666666664,7333.104351617513,27902.0,71556.0
MICPI2020,53378.4,8972.672339883973,34141.0,87555.0
AGPER,33.6972,24.081330413548308,1.59,83.38
FORPER,42.31773333333334,24.772401195867324,0.02,84.92
URBPER,6.172533333333333,3.257842966257397,3.08,24.04
WATPER,2.2541333333333333,1.947363493695149,0.07,8.03
ELEV,160.90953333333331,117.15065503021744,35.197,508.278
