,min,max,mean,std
FIPS,1.0,75.0,38.0,21.79449471770337
DMG,50000.0,205100000.0,20031561.333333332,29091617.33226407
DMGCPI,68139.73177090334,373174658.7859384,31661145.960122235,50178443.68469462
INJ,0.0,4.0,0.36,0.7822351896277057
DTH,0.0,6.0,0.49333333333333335,1.0050323826076901
INJ2000,0.0,2.0,0.02666666666666667,0.23094010767585077
DTH2000,0.0,1.0,0.06666666666666667,0.2511236011669612
INJ2010,0.0,4.0,0.30666666666666664,0.7347243155223734
DTH2010,0.0,4.0,0.37333333333333335,0.7492939619678253
INJ2020,0.0,2.0,0.02666666666666667,0.2309401076758504
DTH2020,0.0,4.0,0.05333333333333334,0.4618802153517008
DMG2000,0.0,205050000.0,7273454.666666667,26237487.006977633
DMGCP2000,0.0,373108679.5274631,13225035.56155702,47744477.13865481
COUNT2000,4.0,20.0,10.52,3.9055054695868714
DMG2010,0.0,60325000.0,12737760.0,18420072.291902628
DMGCP2010,0.0,87040274.7584183,18412874.91969903,26748401.48341668
COUNT2010,11.0,56.0,29.653333333333332,9.401686641859094
DMG2020,0.0,469000.0,20346.666666666668,64983.46844522209
DMGCP2020,0.0,546144.9251509039,23235.478866183323,75394.57883657918
COUNT2020,7.0,52.0,18.946666666666665,9.564706143086864
POP2000,5744.0,361474.0,35645.333333333336,48970.59247287237
PNW2000,0.0,59.63698241633579,17.622066792820323,17.00679428933611
MICPI2000,37319.49061004785,77457.50345095694,52872.638513397134,7999.601145165613
MGRCP2000,509.4811004784689,980.7511184210528,712.1817954545454,101.59103689562883
POP2010,5368.0,382748.0,38878.90666666667,56654.89276744924
PNW2010,2.493315923646086,64.98598152318795,21.25160181776913,17.310801234711263
MICPI2010,31203.827555858392,74265.28232972774,50359.584160539045,8408.989575186793
MGRCP2010,506.72390199585504,1049.436717485734,779.0496111442336,107.44291678908483
POP2020,4739.0,399125.0,40153.653333333335,63779.749059724614
PNW2020,5.641836173721825,66.10333172380493,26.303078861615514,16.618290953710115
MICPI2020,34140.69862732717,87555.43799645267,53378.40680713805,8972.736924640343
MGRCP2020,621.5853667365135,1156.295613318908,792.1705791931273,111.07010454333431
AGPER,1.5908967930681246,83.38400458871683,33.69721665844447,24.08172982488215
FORPER,0.008451046526785,79.06444644228044,19.19892188112597,19.40941364761089
URBPER,3.080923137730957,24.03772157168423,6.1728333953142585,3.2574793769094366
WATPER,0.0651024181079397,8.030381235060089,2.2543700606967465,1.9469635972490467
ELEV,35.19716006998116,508.27779487936414,160.90952707108838,117.15065300311859
TMP2000,287.2377766782724,291.5556702647941,289.6570626040377,1.1785807770105479
PCP2000,0.0837887158383853,0.1104984028654259,0.09982491869524837,0.006678692642329763
TMP2010,287.41640252570375,291.6804185234432,289.81424257841707,1.178258883138739
PCP2010,0.0825763675534488,0.1089848975366396,0.09936546664116555,0.005976645919826397
TMP2020,287.9717873074802,292.2904317513116,290.3781432933784,1.1913949016414087
PCP2020,0.0969440398379795,0.1269790474616839,0.1154213788093012,0.007090543903265106
DMGPOP2000,0.0,23678.91600732773,811.3849475055692,3109.8048368805535
DMGPOP2010,0.0,9091.279381094784,887.5774881635399,1737.9674629507067
DMGPOP2020,0.0,17.19844998135481,1.030373150301292,3.1777361843046354
DPC2000,0.0,3946.486001221289,136.99753662463175,525.538590118143
DPC2010,0.0,193.4314761935061,23.00400415875089,41.03770881628344
DPC2020,0.0,2.45692142590783,0.10387564703569022,0.3499466302476381
